failure_code,gate,count
N001,naturalness,38368
E001,analytic_energy_lower_bound,32915
T_STATIC_G00_ZERO,analytic_precheck,20000
N002,eft,3275
T_FORCE_REVERSAL_LT_GRAVITY,analytic_precheck,256
T_COMPACT_ULTRALOCAL_SCREENING,analytic_precheck,128
T_NOT_REPULSIVE_CONCAVITY,analytic_precheck,128
T_EC_TORSION_NO_EXTERNAL_STANDOFF,analytic_precheck,64
T_HEALTHY_MAG_MINIMAL_MATTER_ONLY_GR,analytic_precheck,64
T_PFORM_10MJ_NO_TACHYON_TRIGGER,analytic_precheck,64
T_RANK3_STRESS_ONLY_NO_MONOPOLE,analytic_precheck,64
T_SOFT_DBI_STATIC_ATTRACTIVE,analytic_precheck,64
T_SPECIAL_GALILEON_STATIC_ATTRACTIVE,analytic_precheck,64
T_ULTRALOCAL_NO_EXTERNAL_STANDOFF,analytic_precheck,64
T_UV_COMPLETE_ON_YUKAWA_ATTRACTIVE,analytic_precheck,64
E002,historical_energy_control,7
N003,naturalness,2
E003,ordinary_electron_microscopic_source_rest_energy_floor,1
N004,axial_dirac_selfconsistent_source_cutoff_margin,1
N005,controlled_nr_stoner_loop_conflict,1
N006,axial_fixed_order_wavefunction_running_control,1
N007,sphere_geometry_demag_loop_remap,1
N008,sphere_fixed_order_wavefunction_running_control,1
P001,asymmetron_external_wall_sign,1
P002,kinetic_conformal_static_external_sign,1
P003,regular_static_shift_current_no_source,1
