radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
1.542838790745683395e+21,4.999999999999999584e-02,-5.575498043105363390e-11,5.042313264783828337e-15,-5.574993811778884982e-11
1.546397182719318295e+21,5.011531963011880281e-02,-5.549868171088753916e-11,5.053942818796588473e-15,-5.549362776806874186e-11
1.549963781741878444e+21,5.023090523257946194e-02,-5.524356116410520375e-11,5.065599195126696842e-15,-5.523849556491007958e-11
1.553538606742039167e+21,5.034675742081854560e-02,-5.498961337479000873e-11,5.077282455636941176e-15,-5.498453609233437353e-11
1.557121676692134822e+21,5.046287680968754991e-02,-5.473683295192150059e-11,5.088992662332796001e-15,-5.473174395925917044e-11
1.560713010608258154e+21,5.057926401545606576e-02,-5.448521452926104646e-11,5.100729877362750014e-15,-5.448011379938368255e-11
1.564312627550357291e+21,5.069591965581494997e-02,-5.423475276523814200e-11,5.112494163018619261e-15,-5.422964027107512140e-11
1.567920546622343217e+21,5.081284434987978077e-02,-5.398544234283660295e-11,5.124285581735896602e-15,-5.398031805725486999e-11
1.571536786972187558e+21,5.093003871819406364e-02,-5.373727796948196523e-11,5.136104196094079089e-15,-5.373214186528586994e-11
1.575161367792022454e+21,5.104750338273244398e-02,-5.349025437692919512e-11,5.147950068816983510e-15,-5.348510642686037690e-11
1.578794308318246732e+21,5.116523896690415574e-02,-5.324436632115059339e-11,5.159823262773105322e-15,-5.323920649788781944e-11
1.582435627831626564e+21,5.128324609555626190e-02,-5.299960858222457827e-11,5.171723840975937347e-15,-5.299443685838360144e-11
1.586085345657394037e+21,5.140152539497689493e-02,-5.275597596422508237e-11,5.183651866584296364e-15,-5.275079231235849896e-11
1.589743481165355680e+21,5.152007749289872623e-02,-5.251346329511089140e-11,5.195607402902681253e-15,-5.250826768770798610e-11
1.593410053769991291e+21,5.163890301850219966e-02,-5.227206542661608799e-11,5.207590513381586167e-15,-5.226685783610270460e-11
1.597085082930559058e+21,5.175800260241892464e-02,-5.203177723414061827e-11,5.219601261617857104e-15,-5.202655763287899817e-11
1.600768588151195697e+21,5.187737687673491666e-02,-5.179259361664174382e-11,5.231639711355006655e-15,-5.178736197693039025e-11
1.604460588981023932e+21,5.199702647499410135e-02,-5.155450949652546128e-11,5.243705926483574523e-15,-5.154926579059897776e-11
1.608161105014254731e+21,5.211695203220161748e-02,-5.131751981953880731e-11,5.255799971041454892e-15,-5.131226401956776841e-11
1.611870155890289017e+21,5.223715418482708511e-02,-5.108161955466271931e-11,5.267921909214234061e-15,-5.107635163275350264e-11
1.615587761293825409e+21,5.235763357080815833e-02,-5.084680369400500599e-11,5.280071805335542280e-15,-5.084152362219966941e-11
1.619313940954963771e+21,5.247839082955382123e-02,-5.061306725269411934e-11,5.292249723887385067e-15,-5.060777500297023292e-11
1.623048714649307185e+21,5.259942660194771857e-02,-5.038040526877346286e-11,5.304455729500487156e-15,-5.037510081304396027e-11
1.626792102198070477e+21,5.272074153035168076e-02,-5.014881280309583558e-11,5.316689886954638801e-15,-5.014349611320887836e-11
1.630544123468185076e+21,5.284233625860910305e-02,-4.991828493921864508e-11,5.328952261179042092e-15,-4.991295598695746757e-11
1.634304798372400202e+21,5.296421143204823462e-02,-4.968881678329974091e-11,5.341242917252642270e-15,-4.968347554038248866e-11
1.638074146869394538e+21,5.308636769748580758e-02,-4.946040346399320918e-11,5.353561920404489034e-15,-4.945504990207280327e-11
1.641852188963878732e+21,5.320880570323033992e-02,-4.923304013234611073e-11,5.365909336014075743e-15,-4.922767422301009912e-11
1.645638944706700247e+21,5.333152609908554942e-02,-4.900672196169568453e-11,5.378285229611680207e-15,-4.900134367646607403e-11
1.649434434194953994e+21,5.345452953635391330e-02,-4.878144414756658990e-11,5.390689666878725986e-15,-4.877605345789971048e-11
1.653238677572086661e+21,5.357781666784008912e-02,-4.855720190756906633e-11,5.403122713648123968e-15,-4.855179878485541602e-11
1.657051695028001309e+21,5.370138814785426623e-02,-4.833399048129753279e-11,5.415584435904613152e-15,-4.832857489686162902e-11
1.660873506799169044e+21,5.382524463221581568e-02,-4.811180513022927747e-11,5.428074899785128264e-15,-4.810637705532949556e-11
1.664704133168734142e+21,5.394938677825667633e-02,-4.789064113762400060e-11,5.440594171579139748e-15,-4.788520054345241862e-11
1.668543594466619687e+21,5.407381524482478274e-02,-4.767049380842378374e-11,5.453142317729000083e-15,-4.766504066610605329e-11
1.672391911069639770e+21,5.419853069228770803e-02,-4.745135846915318188e-11,5.465719404830316123e-15,-4.744589274974835359e-11
1.676249103401605399e+21,5.432353378253609172e-02,-4.723323046782013624e-11,5.478325499632283572e-15,-4.722775214232050468e-11
1.680115191933430661e+21,5.444882517898706753e-02,-4.701610517381733945e-11,5.490960669038044342e-15,-4.701061421314830095e-11
1.683990197183245976e+21,5.457440554658796183e-02,-4.679997797782369120e-11,5.503624980105052579e-15,-4.679447435284358877e-11
1.687874139716503470e+21,5.470027555181969370e-02,-4.658484429170662629e-11,5.516318500045420189e-15,-4.657932797320658160e-11
1.691767040146088919e+21,5.482643586270038311e-02,-4.637069954842455905e-11,5.529041296226279713e-15,-4.636517050712833022e-11
1.695668919132425814e+21,5.495288714878877184e-02,-4.615753920193023240e-11,5.541793436170128268e-15,-4.615199740849406543e-11
1.699579797383592018e+21,5.507963008118795661e-02,-4.594535872707382792e-11,5.554574987555207780e-15,-4.593980415208627569e-11
1.703499695655426720e+21,5.520666533254885849e-02,-4.573415361950704518e-11,5.567386018215853660e-15,-4.572858623348883176e-11
1.707428634751636341e+21,5.533399357707370625e-02,-4.552391939558774330e-11,5.580226596142838747e-15,-4.551833916899160239e-11
1.711366635523913286e+21,5.546161549051981110e-02,-4.531465159228427240e-11,5.593096789483766952e-15,-4.530905849549478578e-11
1.715313718872040014e+21,5.558953175020300841e-02,-4.510634576708109095e-11,5.605996666543408520e-15,-4.510073977041454629e-11
