radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.542838790745683395e+21,4.999999999999999584e-02,7.227910255061367546e-32,-3.613464896798701787e-32,9.804614639639725839e-36
1.544260736904966177e+21,5.004608213663707533e-02,7.207963285068397029e-32,-3.603491411802216528e-32,9.804614639639725839e-36
1.545683993590593749e+21,5.009220674454052669e-02,7.188071365510391289e-32,-3.593545452023213658e-32,9.804614639639725839e-36
1.547108562010401669e+21,5.013837386285362879e-02,7.168234344457010784e-32,-3.583626941496523406e-32,9.804614639639725839e-36
1.548534443373341704e+21,5.018458353075583994e-02,7.148452070397173527e-32,-3.573735804466604777e-32,9.804614639639725839e-36
1.549961638889476850e+21,5.023083578746262434e-02,7.128724392237987685e-32,-3.563871965387011856e-32,9.804614639639725839e-36
1.551390149769987883e+21,5.027713067222568111e-02,7.109051159303518882e-32,-3.554035348919777455e-32,9.804614639639725839e-36
1.552819977227171004e+21,5.032346822433286793e-02,7.089432221333682290e-32,-3.544225879934859159e-32,9.804614639639725839e-36
1.554251122474438623e+21,5.036984848310818025e-02,7.069867428483107362e-32,-3.534443483509571695e-32,9.804614639639725839e-36
1.555683586726323814e+21,5.041627148791196639e-02,7.050356631319934687e-32,-3.524688084927985357e-32,9.804614639639725839e-36
1.557117371198475600e+21,5.046273727814073323e-02,7.030899680824765014e-32,-3.514959609680400521e-32,9.804614639639725839e-36
1.558552477107666289e+21,5.050924589322738217e-02,7.011496428389424357e-32,-3.505257983462730192e-32,9.804614639639725839e-36
1.559988905671789904e+21,5.055579737264116053e-02,6.992146725815874706e-32,-3.495583132175955367e-32,9.804614639639725839e-36
1.561426658109860086e+21,5.060239175588761990e-02,6.972850425315113791e-32,-3.485934981925574909e-32,9.804614639639725839e-36
1.562865735642016907e+21,5.064902908250880353e-02,6.953607379505980688e-32,-3.476313459021008357e-32,9.804614639639725839e-36
1.564306139489522418e+21,5.069570939208312144e-02,6.934417441414089523e-32,-3.466718489975062775e-32,9.804614639639725839e-36
