target,target_acceleration_m_s2,target_g_fraction,separation_m,target_rate_s-2,model,w,energy_density_j_m3,equivalent_mass_density_kg_m3,pressure_pa,active_mass_density_kg_m3,energy_equivalent_mass_sphere_kg,nec,wec,sec,dec,reconstruction_relative_error
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,phantom_w_-1.2,-1.2,1.2125353268642784e+22,134912.74994025318,-1.455042392237134e+22,-350773.14984465827,565.1212054505284,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,vacuum_w_-1,-1.0,1.5762959249235618e+22,175386.57492232914,-1.5762959249235618e+22,-350773.14984465827,734.6575670856869,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471237e+22,350773.14984465827,-2.1017278998980824e+22,-350773.14984465827,1469.3151341713738,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,negative_pressure_w_-1_2,-0.5,6.305183699694247e+22,701546.2996893165,-3.1525918498471237e+22,-350773.14984465827,2938.6302683427475,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235603e+24,17538657.492232896,-5.359406144740106e+23,-350773.14984465827,73465.75670856862,True,True,False,True,9.501065521658573e-15
micro_g,9.806649999999999e-06,1e-06,0.1,9.806649999999999e-05,dust_negative_energy_route,0.0,-3.1525918498471237e+22,-350773.14984465827,-0.0,-350773.14984465827,-1469.3151341713738,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,phantom_w_-1.2,-1.2,1.2125353268642786e+21,13491.274994025322,-1.4550423922371343e+21,-35077.31498446583,56512.120545052836,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,vacuum_w_-1,-1.0,1.576295924923562e+21,17538.657492232916,-1.576295924923562e+21,-35077.31498446583,73465.75670856868,True,True,False,True,1.727466458483377e-16
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,negative_pressure_w_-2_3,-0.6666666666666666,3.152591849847124e+21,35077.31498446583,-2.1017278998980825e+21,-35077.31498446583,146931.51341713735,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,negative_pressure_w_-1_2,-0.5,6.305183699694248e+21,70154.62996893167,-3.152591849847124e+21,-35077.31498446583,293863.0268342747,True,True,False,True,3.454932916966754e-16
