target,target_acceleration_m_s2,rate_s-2,core_radius_m,energy_density_j_m3,pressure_pa,core_energy_mass_kg,compactness,de_sitter_horizon_radius_m,f_inside_boundary,f_outside_boundary,metric_value_abs_error,df_inside_per_m,df_outside_per_m,derivative_ratio_inside_outside,derivative_jump_per_m,tov_pressure_gradient_pa_per_m,weak_exterior_accel_surface_m_s2,weak_exterior_accel_2R_m_s2,shell_required_diagnostic
micro_g_over_1m,9.806649999999999e-06,9.806649999999999e-06,0.1,1.576295924923562e+21,-1.576295924923562e+21,73.46575670856869,1.0911369672198217e-24,95732712656.42737,1.0,1.0,0.0,-2.1822739344396433e-23,1.0911369672198215e-23,-2.0000000000000004,3.273410901659465e-23,0.0,-4.903324999999998e-07,-1.2258312499999996e-07,True
micro_g_over_1m,9.806649999999999e-06,9.806649999999999e-06,1.0,1.576295924923562e+21,-1.576295924923562e+21,73465.75670856868,1.0911369672198214e-22,95732712656.42737,1.0,1.0,0.0,-2.182273934439643e-22,1.0911369672198214e-22,-2.0,3.273410901659464e-22,0.0,-4.9033249999999985e-06,-1.2258312499999996e-06,True
micro_g_over_1m,9.806649999999999e-06,9.806649999999999e-06,10.0,1.576295924923562e+21,-1.576295924923562e+21,73465756.70856868,1.0911369672198215e-20,95732712656.42737,1.0,1.0,0.0,-2.182273934439643e-21,1.0911369672198217e-21,-1.9999999999999996,3.2734109016594646e-21,0.0,-4.9033249999999993e-05,-1.2258312499999998e-05,True
micro_g_over_1m,9.806649999999999e-06,9.806649999999999e-06,100.0,1.576295924923562e+21,-1.576295924923562e+21,73465756708.56868,1.0911369672198216e-18,95732712656.42737,1.0,1.0,0.0,-2.1822739344396427e-20,1.0911369672198215e-20,-1.9999999999999998,3.273410901659464e-20,0.0,-0.0004903324999999999,-0.00012258312499999996,True
one_percent_g_over_1m,0.0980665,0.0980665,0.1,1.576295924923562e+25,-1.576295924923562e+25,734657.567085687,1.0911369672198218e-20,957327126.5642736,1.0,1.0,0.0,-2.1822739344396436e-19,1.0911369672198216e-19,-2.0000000000000004,3.2734109016594654e-19,0.0,-0.004903324999999999,-0.0012258312499999998,True
one_percent_g_over_1m,0.0980665,0.0980665,1.0,1.576295924923562e+25,-1.576295924923562e+25,734657567.0856868,1.0911369672198214e-18,957327126.5642736,1.0,1.0,0.0,-2.1822739344396432e-18,1.0911369672198214e-18,-2.0000000000000004,3.2734109016594647e-18,0.0,-0.04903324999999999,-0.012258312499999997,True
one_percent_g_over_1m,0.0980665,0.0980665,10.0,1.576295924923562e+25,-1.576295924923562e+25,734657567085.6869,1.0911369672198216e-16,957327126.5642736,0.9999999999999999,0.9999999999999999,0.0,-2.1822739344396436e-17,1.0911369672198217e-17,-2.0000000000000004,3.273410901659465e-17,0.0,-0.49033249999999995,-0.12258312499999999,True
one_percent_g_over_1m,0.0980665,0.0980665,100.0,1.576295924923562e+25,-1.576295924923562e+25,734657567085686.8,1.0911369672198215e-14,957327126.5642736,0.9999999999999891,0.9999999999999891,0.0,-2.1822739344396434e-16,1.0911369672198215e-16,-2.0000000000000004,3.2734109016594647e-16,0.0,-4.903324999999999,-1.2258312499999997,True
one_g_over_1m,9.80665,9.80665,0.1,1.5762959249235622e+27,-1.5762959249235622e+27,73465756.7085687,1.091136967219822e-18,95732712.65642737,1.0,1.0,0.0,-2.1822739344396436e-17,1.0911369672198218e-17,-2.0,3.273410901659465e-17,0.0,-0.4903325,-0.122583125,True
one_g_over_1m,9.80665,9.80665,1.0,1.5762959249235622e+27,-1.5762959249235622e+27,73465756708.56868,1.0911369672198215e-16,95732712.65642737,0.9999999999999999,0.9999999999999999,0.0,-2.1822739344396434e-16,1.0911369672198215e-16,-2.0000000000000004,3.2734109016594647e-16,0.0,-4.903324999999999,-1.2258312499999997,True
one_g_over_1m,9.80665,9.80665,10.0,1.5762959249235622e+27,-1.5762959249235622e+27,73465756708568.7,1.0911369672198218e-14,95732712.65642737,0.9999999999999891,0.9999999999999891,0.0,-2.1822739344396432e-15,1.091136967219822e-15,-1.9999999999999993,3.2734109016594655e-15,0.0,-49.03325000000001,-12.258312500000002,True
one_g_over_1m,9.80665,9.80665,100.0,1.5762959249235622e+27,-1.5762959249235622e+27,7.346575670856869e+16,1.0911369672198217e-12,95732712.65642737,0.9999999999989089,0.9999999999989089,0.0,-2.1822739344396433e-14,1.0911369672198217e-14,-2.0,3.273410901659465e-14,0.0,-490.3324999999999,-122.58312499999998,True
