target,radius_m,rate_s-2,interior_volume_mass_kg,exterior_mass_ratio,exterior_adm_mass_kg,surface_energy_j_m2,surface_mass_density_kg_m2,shell_energy_mass_kg,surface_pressure_n_m,nec,wec,dec,exterior_acceleration_at_2r_m_s2,exterior_outward,mass_relation_residual_kg
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-2.0,-146931.51341713738,-1.576295924923562e+21,-17538.657492232916,-220397.27012570607,7.88147962461781e+20,False,False,False,2.4516624999999997e-06,True,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-1.0,-73465.75670856869,-1.0508639499490414e+21,-11692.438328155278,-146931.51341713738,7.88147962461781e+20,False,False,False,1.2258312499999998e-06,True,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-0.75,-55099.31753142652,-9.195059562054113e+20,-10230.88353713587,-128565.07423999521,7.881479624617811e+20,False,False,False,9.193734374999999e-07,True,-1.5829100210919565e-11
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-0.5,-36732.878354284345,-7.88147962461781e+20,-8769.328746116458,-110198.63506285303,7.88147962461781e+20,True,False,False,6.129156249999999e-07,True,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-0.49,-35998.220787198654,-7.828936427120358e+20,-8710.866554475682,-109463.97749576735,7.88147962461781e+20,True,False,False,6.006573124999999e-07,True,-1.5829100210919565e-11
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-0.25,-18366.439177142172,-6.567899687181509e+20,-7307.773955097049,-91832.19588571087,7.881479624617811e+20,True,False,False,3.0645781249999996e-07,True,-1.5829100210919565e-11
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,-0.1,-7346.57567085687,-5.7797517247197276e+20,-6430.841080485403,-80812.33237942556,7.88147962461781e+20,True,False,False,1.22583125e-07,True,4.946593815912364e-12
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,0.0,0.0,-5.254319749745207e+20,-5846.219164077639,-73465.75670856869,7.88147962461781e+20,True,False,False,-0.0,False,2.004030074237423e-18
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,0.25,18366.439177142172,-3.940739812308905e+20,-4384.664373058229,-55099.31753142652,7.88147962461781e+20,True,False,False,-3.0645781249999996e-07,False,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,0.5,36732.878354284345,-2.6271598748726034e+20,-2923.1095820388196,-36732.878354284345,7.881479624617811e+20,True,False,False,-6.129156249999999e-07,False,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,0.75,55099.31753142652,-1.3135799374363017e+20,-1461.5547910194098,-18366.439177142172,7.88147962461781e+20,True,False,False,-9.193734374999999e-07,False,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,1.0,73465.75670856869,0.0,0.0,0.0,7.88147962461781e+20,True,True,False,-1.2258312499999998e-06,False,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,1.25,91832.19588571085,1.3135799374363017e+20,1461.5547910194098,18366.439177142172,7.881479624617811e+20,True,True,False,-1.5322890624999998e-06,False,0.0
micro_g_over_1m,1.0,9.806649999999999e-06,73465.75670856869,2.0,146931.51341713738,5.254319749745207e+20,5846.219164077639,73465.75670856869,7.88147962461781e+20,True,True,False,-2.4516624999999997e-06,False,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-2.0,-1469315134.1713738,-1.5762959249235624e+25,-175386574.92232922,-2203972701.257061,7.881479624617812e+24,False,False,False,0.024516625,True,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-1.0,-734657567.0856869,-1.0508639499490416e+25,-116924383.2815528,-1469315134.171374,7.881479624617812e+24,False,False,False,0.0122583125,True,-2.5934397785570616e-07
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-0.75,-550993175.3142653,-9.195059562054112e+24,-102308835.37135868,-1285650742.399952,7.881479624617812e+24,False,False,False,0.009193734375,True,3.8901596678355927e-07
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-0.5,-367328783.54284346,-7.881479624617812e+24,-87693287.46116461,-1101986350.6285305,7.881479624617812e+24,True,False,False,0.00612915625,True,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-0.49,-359982207.87198657,-7.828936427120359e+24,-87108665.54475683,-1094639774.9576735,7.881479624617812e+24,True,False,False,0.006006573124999999,True,-6.483599446392654e-08
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-0.25,-183664391.77142173,-6.56789968718151e+24,-73077739.55097051,-918321958.8571088,7.881479624617812e+24,True,False,False,0.003064578125,True,-1.2967198892785308e-07
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,-0.1,-73465756.70856869,-5.779751724719729e+24,-64308410.80485404,-808123323.7942557,7.881479624617812e+24,True,False,False,0.00122583125,True,-1.2967198892785308e-07
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,0.0,0.0,-5.254319749745208e+24,-58462191.6407764,-734657567.085687,7.881479624617812e+24,True,False,False,-0.0,False,-1.2947158592042934e-07
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,0.25,183664391.77142173,-3.940739812308906e+24,-43846643.730582304,-550993175.3142653,7.881479624617812e+24,True,False,False,-0.003064578125,False,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,0.5,367328783.54284346,-2.627159874872604e+24,-29231095.8203882,-367328783.5428435,7.881479624617812e+24,True,False,False,-0.00612915625,False,-6.483599446392654e-08
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,0.75,550993175.3142653,-1.313579937436302e+24,-14615547.9101941,-183664391.77142176,7.88147962461781e+24,True,False,False,-0.009193734375,False,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,1.0,734657567.0856869,0.0,0.0,0.0,7.881479624617812e+24,True,True,False,-0.0122583125,False,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,1.25,918321958.8571086,1.313579937436301e+24,14615547.91019409,183664391.7714216,7.881479624617812e+24,True,True,False,-0.015322890624999998,False,0.0
one_percent_g_over_1m,1.0,0.0980665,734657567.0856869,2.0,1469315134.1713738,5.254319749745208e+24,58462191.6407764,734657567.085687,7.881479624617812e+24,True,True,False,-0.024516625,False,0.0
one_g_over_1m,1.0,9.80665,73465756708.5687,-2.0,-146931513417.1374,-1.5762959249235622e+27,-17538657492.232918,-220397270125.7061,7.881479624617811e+26,False,False,False,2.4516625,True,4.9794043748295586e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,-1.0,-73465756708.5687,-1.0508639499490415e+27,-11692438328.15528,-146931513417.1374,7.881479624617811e+26,False,False,False,1.22583125,True,2.4897021874147793e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,-0.75,-55099317531.42652,-9.195059562054111e+26,-10230883537.135868,-128565074239.99521,7.881479624617811e+26,False,False,False,0.9193734375,True,3.319602916553039e-05
