target,target_outward_acceleration_m_s2,radius_m,z_rrep_over_R,mass_kg,charge_c,repulsion_radius_m,repulsive_zone_width_m,surface_electric_field_v_m,surface_field_over_schwinger,em_field_energy_mass_outside_kg,em_field_mass_fraction_of_adm,shell_surface_energy_j_m2,shell_surface_pressure_n_m,shell_nec,shell_wec,shell_dec,reconstructed_surface_repulsion_m_s2
micro_g,9.806649999999999e-06,1.0,1.001,146931513.41715354,38350807.6643111,1.0009999999999997,0.0009999999999996678,3.4467987015804275e+17,0.2604727972497125,73539222.46528532,0.5004999999999998,5.249065429996041e+23,-2.6297870347477637e+23,True,True,True,9.806649999997627e-06
micro_g,9.806649999999999e-06,1.0,1.0014994994994995,97987037.31890813,31326341.755605496,1.0014994994994995,0.001499499499499457,2.8154711899057814e+17,0.21276370333854364,49066984.41616263,0.5007497497497497,3.4987946989389134e+23,-1.7546516692192012e+23,True,True,True,9.806649999999362e-06
micro_g,9.806649999999999e-06,1.0,1.0019989989989988,73502544.76902086,27138436.993007135,1.0019989989989988,0.001998998998998802,2.4390810803566816e+17,0.18432009720441497,36824738.141219,0.5009994994994994,2.6232211083904544e+23,-1.3168648739449718e+23,True,True,True,9.806649999999362e-06
micro_g,9.806649999999999e-06,1.0,1.0024984984984984,58807925.44219866,24280621.269547373,1.0024984984984981,0.0024984984984981473,2.1822334120833523e+17,0.1649102516014372,29477428.477807887,0.501249249249249,2.0977366377805974e+23,-1.0541226386400434e+23,True,True,True,9.806649999999362e-06
micro_g,9.806649999999999e-06,1.0,1.002997997997998,49009877.09640175,22171334.777829003,1.002997997997998,0.0029979979979979365,1.992660196192995e+17,0.15058430161081432,24578404.304909445,0.501498998998999,1.747355172736255e+23,-8.789319061178725e+22,True,True,True,9.806650000000229e-06
micro_g,9.806649999999999e-06,1.0,1.0034974974974973,42010469.92092997,20532267.632045858,1.003497497497497,0.0034974974974970596,1.8453481875557978e+17,0.1394520092200197,21078700.717173547,0.5017487487487485,1.4970540460189404e+23,-7.53781342759215e+22,True,True,True,9.806649999999362e-06
micro_g,9.806649999999999e-06,1.0,1.0039969969969968,36760476.30947299,19211300.78958659,1.003996996996997,0.003996996996997071,1.726625608431174e+17,0.1304802052480872,18453703.911445066,0.5019984984984984,1.3093125297357686e+23,-6.599105846176294e+22,True,True,True,9.806650000000229e-06
micro_g,9.806649999999999e-06,1.0,1.0044964964964964,32676888.224337235,18117345.20283931,1.0044964964964969,0.00449649649649686,1.628305783487928e+17,0.12305022686950456,16411909.86887719,0.5022482482482483,1.1632820627069677e+23,-5.8689535110322925e+22,True,True,True,9.806650000000663e-06
micro_g,9.806649999999999e-06,1.0,1.004995995995996,29409854.118156806,17192087.02149994,1.004995995995996,0.004995995995995983,1.545147725227918e+17,0.11676601536655035,14778392.81578697,0.502497997997998,1.0464518373320974e+23,-5.284802384157938e+22,True,True,True,9.806649999999795e-06
micro_g,9.806649999999999e-06,1.0,1.0054954954954953,26736718.015250403,16396234.175575672,1.005495495495495,0.005495495495495106,1.47362003851029e+17,0.11136070503276178,13441824.764333768,0.5027477477477476,9.508596019252317e+22,-4.806841207123608e+22,True,True,True,9.806649999999579e-06
micro_g,9.806649999999999e-06,1.0,1.005994994994995,24509030.205998108,15702216.947295075,1.005994994994995,0.0059949949949948955,1.411244880671356e+17,0.10664704657810649,12327980.859707624,0.5029974974974974,8.711967455358698e+22,-4.408526925176802e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.0064944944944945,22624010.774309643,15090043.828740142,1.0064944944944947,0.006494494494494685,1.356225504582931e+17,0.10248926075031362,11385471.143863391,0.5032472472472472,8.037878242076358e+22,-4.07148231853563e+22,True,True,True,9.806649999999795e-06
micro_g,9.806649999999999e-06,1.0,1.0069939939939938,21008241.29150195,14544817.906526642,1.0069939939939938,0.006993993993993808,1.307223042439159e+17,0.09878617000095857,10577586.402459541,0.5034969969969968,7.460073705315775e+22,-3.782580050155338e+22,True,True,True,9.806649999999795e-06
micro_g,9.806649999999999e-06,1.0,1.0074934934934934,19607878.96122396,14055180.704596508,1.0074934934934934,0.007493493493493375,1.2632166453215099e+17,0.09546062930464232,9877405.237320548,0.5037467467467467,6.95929948216531e+22,-3.5321929385801077e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.007992992992993,18382540.00046602,13612300.137667902,1.0079929929929932,0.007992992992993164,1.2234125249909414e+17,0.0924526524942143,9264735.75694158,0.5039964964964966,6.521114197612748e+22,-3.3131002963038264e+22,True,True,True,9.806650000000229e-06
micro_g,9.806649999999999e-06,1.0,1.0084924924924923,17301341.57281044,13209191.14735206,1.0084924924924923,0.008492492492492287,1.1871828957070442e+17,0.08971479812558818,8724136.543113789,0.5042462462462461,6.134474046721773e+22,-3.119780220858337e+22,True,True,True,9.806649999999795e-06
micro_g,9.806649999999999e-06,1.0,1.0089919919919919,16340262.93039324,12840247.051686518,1.0089919919919919,0.008991991991991855,1.1540238540246139e+17,0.08720898647572822,8243597.221905188,0.5044959959959959,5.790789130227744e+22,-2.9479377626113222e+22,True,True,True,9.806649999999795e-06
micro_g,9.806649999999999e-06,1.0,1.0094914914914914,15480339.791575754,12500908.4855802,1.0094914914914916,0.009491491491491644,1.1235256246446922e+17,0.08490425103698353,7813635.652496446,0.5047457457457457,5.483277757992421e+22,-2.7941820764936636e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.009990990990991,14706400.351039002,12187424.607508225,1.0099909909909912,0.009990990990991211,1.0953510987425846e+17,0.08277511666962362,7426665.932228071,0.5049954954954956,5.2065144420130814e+22,-2.655800418503993e+22,True,True,True,9.806650000000229e-06
micro_g,9.806649999999999e-06,1.0,1.0104904904904903,14006162.395393364,11896677.645925052,1.0104904904904903,0.010490490490490334,1.0692200649858712e+17,0.08080040794801567,7076546.95440525,0.5052452452452452,4.956107021963942e+22,-2.5305967084794225e+22,True,True,True,9.806649999999904e-06
micro_g,9.806649999999999e-06,1.0,1.01098998998999,13369576.637555463,11626051.842140544,1.0109899899899901,0.010989989989990123,1.0448974307075154e+17,0.07896235904076147,6758254.0754863005,0.505494994994995,4.7284618393870605e+22,-2.416774117190981e+22,True,True,True,9.806649999999904e-06
micro_g,9.806649999999999e-06,1.0,1.0114894894894895,12788341.340278838,11373334.096320992,1.0114894894894895,0.011489489489489468,1.0221842924137483e+17,0.07724593891359119,6467636.426847987,0.5057447447447446,4.52061016545382e+22,-2.3128482802243622e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.0119889889889888,12255538.27366806,11136637.634552475,1.0119889889889888,0.011988988988988813,1.0009110753218531e+17,0.07563833288777783,6201234.893542598,0.5059944944944943,4.330078018162178e+22,-2.21758220657854e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.0124884884884884,11765356.035886623,10914342.647552568,1.0124884884884884,0.01248848848848838,9.809321982336363e+16,0.07412853946738171,5956143.774651879,0.5062442442442441,4.154787220902281e+22,-2.1299368079485923e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.012987987987988,11312877.218013154,10705049.614640445,1.0129879879879882,0.01298798798798817,9.62121878503065e+16,0.07270705332282189,5729904.365715146,0.506493993993994,3.992979291901759e+22,-2.0490328434483317e+22,True,True,True,9.80665000000012e-06
micro_g,9.806649999999999e-06,1.0,1.0134874874874873,10893912.86208419,10507542.229032667,1.013487487487487,0.013487487487487071,9.44370799928025e+16,0.07136561348517774,5520422.187750664,0.5067437437437436,3.843156245871658e+22,-1.9741213204332805e+22,True,True,True,9.806649999999904e-06
micro_g,9.806649999999999e-06,1.0,1.0139869869869869,10504872.389874872,10320757.674460225,1.0139869869869869,0.01398698698698686,9.275834413458824e+16,0.0700970014695356,5325901.951646004,0.5069934934934933,3.704034080106147e+22,-1.904560237550526e+22,True,True,True,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.0144864864864864,10142660.441108404,10143762.590342743,1.0144864864864866,0.01448648648648665,9.116759164910675e+16,0.06889487803414232,5144795.977262772,0.5072432432432433,3.574505883483395e+22,-1.8397961392391497e+22,True,True,True,9.806650000000012e-06
