target,target_acceleration_m_s2,q_tension_over_energy,surface_energy_j_m2,surface_tension_n_m,surface_mass_equivalent_kg_m2,reconstructed_acceleration_m_s2,nec,wec,dec
micro_g,9.806649999999999e-06,0.51,1.0508639499490405e+23,5.3594061447401065e+22,1169243.8328155268,9.806650000000002e-06,True,True,True
micro_g,9.806649999999999e-06,0.6,1.0508639499490414e+22,6.305183699694249e+21,116924.38328155279,9.806650000000002e-06,True,True,True
micro_g,9.806649999999999e-06,0.75,4.2034557997961655e+21,3.152591849847124e+21,46769.75331262111,9.806649999999997e-06,True,True,True
micro_g,9.806649999999999e-06,0.9,2.627159874872603e+21,2.3644438873853426e+21,29231.095820388193,9.806649999999997e-06,True,True,True
micro_g,9.806649999999999e-06,1.0,2.1017278998980828e+21,2.1017278998980828e+21,23384.876656310556,9.806649999999999e-06,True,True,True
one_percent_g,0.0980665,0.51,1.0508639499490404e+27,5.359406144740106e+26,11692438328.155268,0.09806650000000001,True,True,True
one_percent_g,0.0980665,0.6,1.0508639499490416e+26,6.30518369969425e+25,1169243832.8155282,0.09806650000000001,True,True,True
one_percent_g,0.0980665,0.75,4.203455799796166e+25,3.152591849847124e+25,467697533.12621117,0.09806649999999997,True,True,True
one_percent_g,0.0980665,0.9,2.627159874872603e+25,2.364443887385343e+25,292310958.2038819,0.09806649999999997,True,True,True
one_percent_g,0.0980665,1.0,2.101727899898083e+25,2.101727899898083e+25,233848766.56310558,0.0980665,True,True,True
one_g,9.80665,0.51,1.0508639499490404e+29,5.359406144740106e+28,1169243832815.5266,9.806649999999992,True,True,True
one_g,9.80665,0.6,1.0508639499490414e+28,6.305183699694249e+27,116924383281.55278,9.806650000000001,True,True,True
one_g,9.80665,0.75,4.2034557997961654e+27,3.152591849847124e+27,46769753312.62111,9.806649999999998,True,True,True
one_g,9.80665,0.9,2.627159874872603e+27,2.3644438873853428e+27,29231095820.38819,9.80665,True,True,True
one_g,9.80665,1.0,2.1017278998980827e+27,2.1017278998980827e+27,23384876656.310555,9.80665,True,True,True
