target,stand_off,target_acceleration_m_s2,stand_off_m,optimal_q,optimal_radius_m,surface_energy_j_m2,total_rest_mass_kg,total_energy_j,total_active_mass_kg,compactness_GM_c2R,surface_acceleration_m_s2,target_reconstructed_m_s2,repulsive_zero_height_m,mass_scaling_prediction_kg
micro_g,1m,9.806649999999999e-06,1.0,1.0,4.006149670781332,6.962716689033968e+21,11718250.752466798,1.0531838549516144e+24,11718250.752466802,2.172200624360765e-21,3.248799505484323e-05,9.806649999999994e-06,1.5756983606161838,11718250.7524668
micro_g,1cm,9.806649999999999e-06,0.01,1.0,0.04006149670781333,6.962716689033968e+21,1171.8250752466802,1.0531838549516147e+20,1171.8250752466802,2.172200624360765e-23,3.248799505484323e-05,9.80665e-06,0.01575698360616184,1171.8250752466802
micro_g,1mm,9.806649999999999e-06,0.001,1.0,0.004006149670781333,6.962716689033968e+21,11.718250752466803,1.0531838549516148e+18,11.718250752466803,2.172200624360766e-24,3.248799505484323e-05,9.80665e-06,0.001575698360616184,11.718250752466801
micro_g,1um,9.806649999999999e-06,1e-06,1.0,4.0061496707813325e-06,6.962716689033968e+21,1.1718250752466798e-05,1053183854951.6145,1.1718250752466797e-05,2.172200624360765e-27,3.248799505484323e-05,9.80665e-06,1.5756983606161838e-06,1.17182507524668e-05
one_percent_g,1m,0.0980665,1.0,1.0,4.006149670781332,6.962716689033969e+25,117182507524.668,1.0531838549516146e+28,117182507524.668,2.1722006243607654e-17,0.32487995054843233,0.09806649999999995,1.5756983606161838,117182507524.66801
one_percent_g,1cm,0.0980665,0.01,1.0,0.04006149670781333,6.962716689033969e+25,11718250.752466803,1.053183854951615e+24,11718250.752466802,2.1722006243607657e-19,0.32487995054843233,0.0980665,0.01575698360616184,11718250.752466802
one_percent_g,1mm,0.0980665,0.001,1.0,0.004006149670781333,6.962716689033969e+25,117182.50752466804,1.053183854951615e+22,117182.50752466804,2.172200624360766e-20,0.32487995054843233,0.0980665,0.001575698360616184,117182.50752466802
one_percent_g,1um,0.0980665,1e-06,1.0,4.0061496707813325e-06,6.962716689033969e+25,0.117182507524668,1.0531838549516146e+16,0.117182507524668,2.1722006243607648e-23,0.32487995054843233,0.0980665,1.5756983606161838e-06,0.11718250752466801
one_g,1m,9.80665,1.0,1.0,4.006149670781332,6.962716689033968e+27,11718250752466.797,1.0531838549516144e+30,11718250752466.797,2.1722006243607647e-15,32.48799505484323,9.806649999999994,1.5756983606161838,11718250752466.8
one_g,1cm,9.80665,0.01,1.0,0.04006149670781333,6.962716689033968e+27,1171825075.2466803,1.0531838549516149e+26,1171825075.2466803,2.1722006243607654e-17,32.48799505484323,9.80665,0.01575698360616184,1171825075.2466803
one_g,1mm,9.80665,0.001,1.0,0.004006149670781333,6.962716689033968e+27,11718250.752466802,1.0531838549516147e+24,11718250.752466803,2.1722006243607655e-18,32.48799505484323,9.80665,0.001575698360616184,11718250.7524668
one_g,1um,9.80665,1e-06,1.0,4.0061496707813325e-06,6.962716689033968e+27,11.7182507524668,1.0531838549516146e+18,11.718250752466798,2.172200624360765e-21,32.48799505484323,9.80665,1.5756983606161838e-06,11.718250752466801
