target,distance,acceleration_m_s2,minimum_distance_m,pointwise_dec_mass_bound_kg,static_laue_dec_mass_bound_kg,static_laue_dec_energy_bound_j,005b_disk_mass_kg,005b_over_static_bound
micro_g,1m,9.806649999999999e-06,1.0,73465.75670856869,146931.51341713738,1.3205545860329042e+22,11718250.75246676,79.75314811601199
micro_g,1cm,9.806649999999999e-06,0.01,7.346575670856869,14.693151341713738,1.3205545860329042e+18,1171.825075246676,79.75314811601199
micro_g,1mm,9.806649999999999e-06,0.001,0.07346575670856868,0.14693151341713737,1.320554586032904e+16,11.718250752466762,79.75314811601201
micro_g,1um,9.806649999999999e-06,1e-06,7.346575670856869e-08,1.4693151341713738e-07,13205545860.329042,1.1718250752466763e-05,79.75314811601201
micro_g,1nm,9.806649999999999e-06,1e-09,7.34657567085687e-14,1.469315134171374e-13,13205.545860329043,1.1718250752466763e-11,79.753148116012
one_percent_g,1m,0.0980665,1.0,734657567.0856869,1469315134.1713738,1.3205545860329042e+26,117182507524.66763,79.75314811601201
one_percent_g,1cm,0.0980665,0.01,73465.7567085687,146931.5134171374,1.3205545860329044e+22,11718250.752466764,79.753148116012
one_percent_g,1mm,0.0980665,0.001,734.657567085687,1469.315134171374,1.3205545860329044e+20,117182.50752466764,79.753148116012
one_percent_g,1um,0.0980665,1e-06,0.000734657567085687,0.001469315134171374,132055458603290.44,0.11718250752466762,79.75314811601199
one_percent_g,1nm,0.0980665,1e-09,7.346575670856869e-10,1.4693151341713739e-09,132055458.60329042,1.1718250752466764e-07,79.75314811601201
one_g,1m,9.80665,1.0,73465756708.5687,146931513417.1374,1.3205545860329043e+28,11718250752466.762,79.753148116012
one_g,1cm,9.80665,0.01,7346575.670856869,14693151.341713738,1.3205545860329042e+24,1171825075.2466762,79.753148116012
one_g,1mm,9.80665,0.001,73465.75670856869,146931.51341713738,1.3205545860329042e+22,11718250.75246676,79.75314811601199
one_g,1um,9.80665,1e-06,0.0734657567085687,0.1469315134171374,1.3205545860329044e+16,11.718250752466762,79.753148116012
one_g,1nm,9.80665,1e-09,7.34657567085687e-08,1.469315134171374e-07,13205545860.329044,1.1718250752466763e-05,79.753148116012
