q,z_over_r,independent_factor,production_factor,absolute_error,relative_error
0.51,0.05,-0.03180809825685298,-0.031808098256852976,6.938893903907228e-18,2.1814865660546869e-16
0.51,0.1,-0.08247897873826046,-0.08247897873826046,0.0,0.0
0.51,0.2,-0.17626699370367496,-0.17626699370367493,2.7755575615628914e-17,1.574632608887017e-16
0.51,0.3,-0.25464130934221896,-0.25464130934221896,0.0,0.0
0.51,0.5,-0.35387056583796483,-0.35387056583796483,0.0,0.0
0.51,1.0,-0.3547665940288702,-0.3547665940288702,0.0,0.0
0.6,0.05,0.13023677553125074,0.13023677553125074,0.0,0.0
0.6,0.1,0.06187701577481135,0.06187701577481136,1.3877787807814457e-17,2.242801730826807e-16
0.6,0.2,-0.06551107526400299,-0.06551107526400302,2.7755575615628914e-17,4.2367760724086343e-16
0.6,0.3,-0.1738158731496127,-0.17381587314961267,2.7755575615628914e-17,1.596837798107092e-16
0.6,0.5,-0.31876777077995133,-0.3187677707799512,1.1102230246251565e-16,3.482858451808652e-16
0.6,1.0,-0.365685424949238,-0.36568542494923795,5.551115123125783e-17,1.5180028364259668e-16
0.75,0.05,0.4003115651780904,0.4003115651780904,0.0,0.0
0.75,0.1,0.30247033996326445,0.30247033996326445,0.0,0.0
0.75,0.2,0.11908212213545022,0.11908212213545022,0.0,0.0
0.75,0.3,-0.03910681282860218,-0.03910681282860212,5.551115123125783e-17,1.4194752069045562e-15
0.75,0.5,-0.2602631123499285,-0.2602631123499284,1.1102230246251565e-16,4.265771720782473e-16
0.75,1.0,-0.38388347648318444,-0.3838834764831843,1.1102230246251565e-16,2.892083386334e-16
0.9,0.05,0.67038635482493,0.67038635482493,0.0,0.0
0.9,0.1,0.5430636641517175,0.5430636641517177,2.220446049250313e-16,4.088739858371336e-16
0.9,0.2,0.3036753195349035,0.3036753195349035,0.0,0.0
0.9,0.3,0.09560224749240831,0.09560224749240837,5.551115123125783e-17,5.806469271098034e-16
0.9,0.5,-0.20175845391990588,-0.20175845391990566,2.220446049250313e-16,1.1005467211459632e-15
0.9,1.0,-0.4020815280171308,-0.4020815280171307,1.1102230246251565e-16,2.7611888317780545e-16
1.0,0.05,0.8504362145894897,0.8504362145894898,1.1102230246251565e-16,1.305474773509107e-16
1.0,0.1,0.7034592136106863,0.7034592136106863,0.0,0.0
1.0,0.2,0.426737451134539,0.426737451134539,0.0,0.0
1.0,0.3,0.18540828770641526,0.18540828770641538,1.1102230246251565e-16,5.987990280041518e-16
1.0,0.5,-0.1627553482998907,-0.16275534829989058,1.1102230246251565e-16,6.821422682709482e-16
1.0,1.0,-0.414213562373095,-0.4142135623730949,5.551115123125783e-17,1.340157741654466e-16
