source,lambda_E6_over_E0,min_A,all_320_outward,worst_orientation_index,C_worst_fixed_field,headroom_vs_lambda0
EXACT_HIGH,0.0,18.373486979354396,True,156,662.2337731600285,1.0
EXACT_HIGH,0.0001,18.309513371216852,True,156,664.6140788173565,0.9964185145437129
EXACT_HIGH,0.0003,18.181566154941763,True,156,669.4249421532319,0.9892576918779382
EXACT_HIGH,0.001,17.73375089797895,True,156,686.8096446218287,0.9642173466050666
EXACT_HIGH,0.003,16.45427873522805,True,156,741.6943905989268,0.8928660935742915
EXACT_HIGH,0.01,11.976126165599918,True,156,1026.143084550025,0.6453620193234799
EXACT_HIGH,0.03,-0.8185954619090339,False,156,inf,0.0
EXACT_HIGH,0.1,-45.60012115819038,False,156,inf,0.0
EXACT_HIGH,0.3,-173.54733743327992,False,156,inf,0.0
EXACT_HIGH,1.0,-621.3625943960933,False,156,inf,0.0
EXACT_HIGH,3.0,-1900.8347571469887,False,156,inf,0.0
N65,0.0,5.601853299485973,True,17,2121.711768426323,1.0
N65,0.0001,5.534346507856796,True,17,2147.8067203507026,0.9878504189054225
N65,0.0003,5.399332924598441,True,17,2201.954184335204,0.9635585442786553
N65,0.001,4.9267853831942,True,17,2414.8410501441913,0.8786134260470827
N65,0.003,3.5766495506106524,True,17,3333.0563858831038,0.6365664191619035
N65,0.01,-1.148825863431763,False,17,inf,0.0
N65,0.03,-14.650184189267232,False,17,inf,0.0
N65,0.1,-61.90493832969138,False,17,inf,0.0
N65,0.3,-196.91852158804608,False,17,inf,0.0
N65,1.0,-669.4660629922877,False,17,inf,0.0
N65,3.0,-2019.6018955758345,False,17,inf,0.0
