family,p,q,best_refined_C,beats_006D,beats_024D_scalar
IDEAL_DEC_ORBIT_SPIN_CEILING,1,0,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,0,1,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,1,1,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,2,1,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,3,1,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,1,2,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,2,3,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,3,2,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,5,2,inf,False,False
IDEAL_DEC_ORBIT_SPIN_CEILING,5,3,inf,False,False
ORBIT_SCALAR_NO_SPIN,1,0,inf,False,False
ORBIT_SCALAR_NO_SPIN,0,1,inf,False,False
ORBIT_SCALAR_NO_SPIN,1,1,inf,False,False
ORBIT_SCALAR_NO_SPIN,2,1,inf,False,False
ORBIT_SCALAR_NO_SPIN,3,1,inf,False,False
ORBIT_SCALAR_NO_SPIN,1,2,inf,False,False
ORBIT_SCALAR_NO_SPIN,2,3,inf,False,False
ORBIT_SCALAR_NO_SPIN,3,2,inf,False,False
ORBIT_SCALAR_NO_SPIN,5,2,inf,False,False
ORBIT_SCALAR_NO_SPIN,5,3,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,1,0,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,0,1,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,1,1,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,2,1,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,3,1,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,1,2,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,2,3,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,3,2,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,5,2,inf,False,False
ORBIT_KINETIC_LIMITED_NO_SPIN,5,3,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,1,0,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,0,1,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,1,1,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,2,1,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,3,1,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,1,2,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,2,3,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,3,2,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,5,2,inf,False,False
ORBIT_PLUS_SPIN_SCALAR,5,3,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,1,0,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,0,1,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,1,1,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,2,1,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,3,1,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,1,2,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,2,3,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,3,2,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,5,2,inf,False,False
ORBIT_PLUS_SPIN_KINETIC_LIMITED,5,3,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,1,0,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,0,1,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,1,1,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,2,1,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,3,1,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,1,2,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,2,3,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,3,2,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,5,2,inf,False,False
ELASTIC_TORUS_KNOT_SCALAR,5,3,inf,False,False
