stage,family,p,q,positive_cases,best_C,beats_006D,beats_024D_scalar
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,0,0,inf,False,False
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0,1,55705,2.0612038056417914,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,1,57390,1.8792207297325796,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,2,1,57651,1.7759473822991498,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,3,1,57774,1.8412961722362302,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,2,56830,1.9801956572990376,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,2,3,57054,1.9515399990169686,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,3,2,57594,1.8658358688085692,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,5,2,57729,1.785004804824441,True,True
POINT_BOUND,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,5,3,57614,1.865827508433138,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,1,0,0,inf,False,False
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,0,1,26599,3.0413563855556536,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,1,1,29920,3.1703927226025654,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,2,1,30933,3.613783096121852,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,3,1,31366,2.7046926877849233,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,1,2,28617,2.777269329601812,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,2,3,29075,3.638358446279828,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,3,2,30654,3.6924768253858455,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,5,2,31139,2.6674068115066523,True,True
POINT_BOUND,SCALAR_DEC_FLOOR_NO_SPIN,5,3,30715,2.9678426911841163,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,1,0,0,inf,False,False
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,0,1,21555,3.4289176655088305,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,1,1,23736,3.7660395006657468,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,2,1,20397,4.05780486588417,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,3,1,17653,2.867155404693951,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,1,2,17692,3.2358758812593327,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,2,3,14479,3.7056816887973105,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,3,2,16186,3.8876180235105062,True,True
POINT_BOUND,SCALAR_CURVATURE_PROXY_NO_SPIN,5,2,13378,2.7280777314655804,True,True
