potential,a,b,chi,qbar,negative_duty,gross_negative_q,gross_positive_q
027A_rank1,0.9884588225092739,1.1226674255818845,0.1343755027701059,-1.4744752567365287,0.9014074266803556,1.697895426850905,0.2234201701143764
027A_rank2,0.99178865,1.0565072,0.13628659018418957,-1.4673213885655625,0.8999950612407273,1.6939212928356697,0.2265999042701073
027A_rank3,0.9943639179505408,0.9764195133049375,0.14033136484119577,-1.4521617637658508,0.8970490703615082,1.6854696931467277,0.23330792938087683
027A_rank4,0.96766212,1.31771112,0.14338758297256532,-1.4378732692300593,0.8948071225647528,1.6762545363354344,0.23838126710537497
027A_rank5,0.98736931,1.09825616,0.14541546292507823,-1.430909774152546,0.8932770997489494,1.672712519283353,0.24180274513080693
027A_rank6,0.98522712,1.12658802,0.14628858860278976,-1.4272334688308261,0.8926329447387094,1.6704906850073777,0.2432572161765515
027A_rank7,0.9756915,1.23550641,0.14694738899828672,-1.4239687384695303,0.8921661438773216,1.6683065773083294,0.24433783883879895
027A_rank8,0.98080928,1.17179208,0.14935344340886386,-1.414726943729651,0.8903767260728335,1.6630862343320547,0.2483592906024036
027A_rank9,0.99091627,1.0093234,0.1509579214756777,-1.4098891528181692,0.8892182715850114,1.6609016131259897,0.25101246030782054
027A_rank10,0.97098871,1.26800795,0.15062380182811447,-1.4090825651387322,0.8894588803663241,1.659537250991121,0.2504546858523889
027A_point_survivor,0.7703859870461747,0.1542352065658195,0.506447990783089,-0.14726435935440363,0.6392615976919933,0.9771891868224982,0.8299248274680946
