potential,shift_fraction,qbar_reference,qbar_shifted,difference
027A_rank1,0.0,-1.4744752567365287,-1.4744752567365287,0.0
027A_rank1,0.125,-1.4744752567365287,-1.4744752567365287,0.0
027A_rank1,0.25,-1.4744752567365287,-1.4744752567365287,0.0
027A_rank1,0.375,-1.4744752567365287,-1.4744752567365287,0.0
027A_rank1,0.5,-1.4744752567365287,-1.4744752567365287,0.0
027A_rank2,0.0,-1.4673213885655625,-1.4673213885655625,0.0
027A_rank2,0.125,-1.4673213885655625,-1.4673213885655625,0.0
027A_rank2,0.25,-1.4673213885655625,-1.4673213885655625,0.0
027A_rank2,0.375,-1.4673213885655625,-1.4673213885655625,0.0
027A_rank2,0.5,-1.4673213885655625,-1.4673213885655625,0.0
027A_rank3,0.0,-1.4521617637658508,-1.4521617637658508,0.0
027A_rank3,0.125,-1.4521617637658508,-1.4521617637658508,0.0
027A_rank3,0.25,-1.4521617637658508,-1.4521617637658508,0.0
027A_rank3,0.375,-1.4521617637658508,-1.4521617637658508,0.0
027A_rank3,0.5,-1.4521617637658508,-1.4521617637658508,0.0
027A_rank4,0.0,-1.4378732692300593,-1.4378732692300593,0.0
027A_rank4,0.125,-1.4378732692300593,-1.4378732692300593,0.0
027A_rank4,0.25,-1.4378732692300593,-1.4378732692300593,0.0
027A_rank4,0.375,-1.4378732692300593,-1.4378732692300593,0.0
027A_rank4,0.5,-1.4378732692300593,-1.4378732692300593,0.0
027A_rank5,0.0,-1.4309097741525467,-1.4309097741525467,0.0
027A_rank5,0.125,-1.4309097741525467,-1.4309097741525467,0.0
027A_rank5,0.25,-1.4309097741525467,-1.4309097741525467,0.0
027A_rank5,0.375,-1.4309097741525467,-1.4309097741525467,0.0
027A_rank5,0.5,-1.4309097741525467,-1.4309097741525467,0.0
027A_rank6,0.0,-1.4272334688308264,-1.4272334688308264,0.0
027A_rank6,0.125,-1.4272334688308264,-1.4272334688308264,0.0
027A_rank6,0.25,-1.4272334688308264,-1.4272334688308264,0.0
027A_rank6,0.375,-1.4272334688308264,-1.4272334688308264,0.0
027A_rank6,0.5,-1.4272334688308264,-1.4272334688308264,0.0
027A_rank7,0.0,-1.4239687384695303,-1.4239687384695303,0.0
027A_rank7,0.125,-1.4239687384695303,-1.4239687384695303,0.0
027A_rank7,0.25,-1.4239687384695303,-1.4239687384695303,0.0
027A_rank7,0.375,-1.4239687384695303,-1.4239687384695303,0.0
027A_rank7,0.5,-1.4239687384695303,-1.4239687384695303,0.0
027A_rank8,0.0,-1.4147269437296508,-1.4147269437296508,0.0
027A_rank8,0.125,-1.4147269437296508,-1.4147269437296508,0.0
027A_rank8,0.25,-1.4147269437296508,-1.4147269437296508,0.0
027A_rank8,0.375,-1.4147269437296508,-1.4147269437296508,0.0
027A_rank8,0.5,-1.4147269437296508,-1.4147269437296508,0.0
027A_rank9,0.0,-1.4098891528181696,-1.4098891528181696,0.0
027A_rank9,0.125,-1.4098891528181696,-1.4098891528181696,0.0
027A_rank9,0.25,-1.4098891528181696,-1.4098891528181696,0.0
027A_rank9,0.375,-1.4098891528181696,-1.4098891528181696,0.0
027A_rank9,0.5,-1.4098891528181696,-1.4098891528181696,0.0
027A_rank10,0.0,-1.4090825651387329,-1.4090825651387329,0.0
027A_rank10,0.125,-1.4090825651387329,-1.4090825651387329,0.0
027A_rank10,0.25,-1.4090825651387329,-1.4090825651387329,0.0
027A_rank10,0.375,-1.4090825651387329,-1.4090825651387329,0.0
027A_rank10,0.5,-1.4090825651387329,-1.4090825651387329,0.0
027A_point_survivor,0.0,-0.14726435935440363,-0.14726435935440363,0.0
027A_point_survivor,0.125,-0.14726435935440363,-0.14726435935440363,0.0
027A_point_survivor,0.25,-0.14726435935440363,-0.14726435935440363,0.0
027A_point_survivor,0.375,-0.14726435935440363,-0.14726435935440363,0.0
027A_point_survivor,0.5,-0.14726435935440363,-0.14726435935440363,0.0
