seed,g_path,status,C_payload,selection_role
2703,0.625,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2703,1.6,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2703,1.875,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2703,3.125,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2703,5.0,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2704,0.625,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2704,1.6,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2704,1.875,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2704,3.125,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
2704,5.0,NO_STRICT_SURVIVOR,,BLIND_NON_EVIDENTIARY_EXCLUDED
