selection_role,mode,budget_factor,status,solver,nr,nz,rmax,zmin,link_model,feasible,green_numerics,product_only_C,support_energy,total_energy,acceleration_center_COM,surface_minimum_acceleration,surface_minimum_location,all_payload_samples_outward,C_center,C_robust,support_DEC_violation,total_DEC_violation,conservation_relative_residual,laue_relative_residual,g_eff_energy_proxy
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,1.5,-4.585965790472221,ISOTROPIC_LINK,True,False,2.4271237648833246,2.1052463471914056,4.228140954890537,-1.5486343146597354,-4.168851329553576,R0.50_MU-1.0000,False,inf,inf,1.4812387723034822e-11,1.4812387723034822e-11,0.0009962203991056829,4.968840871013165e-16,0.08108908522499829
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,1.5,-4.585965790472221,AXIAL_LINK,True,False,2.4187156822067517,2.369308836257737,4.4922034439568685,-1.5679429247649044,-4.148219786712385,R0.50_MU-1.0000,False,inf,inf,9.030490025104452e-11,9.030490025104452e-11,0.018241708740451192,1.4421086346869454e-16,0.09126014464005977
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,2.5,-4.585965790472221,ISOTROPIC_LINK,True,False,2.5373737033071286,2.264271536448956,4.387166144148088,-1.505345602035877,-3.961503413029055,R0.50_MU-1.0000,False,inf,inf,5.178428521879757e-11,5.178428521879757e-11,0.02515166081689164,2.4041033300180836e-16,0.08721435752001042
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,2.5,-4.585965790472221,AXIAL_LINK,True,False,2.3724045598903603,2.423281903871518,4.54617651157065,-1.5185531628364504,-3.9538874908834525,R0.50_MU-1.0000,False,inf,inf,1.0248478120023655e-10,1.0248478120023655e-10,0.05766310957804628,7.893432639927611e-15,0.09333905891316957
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,3.5,-4.585965790472221,ISOTROPIC_LINK,True,False,1.3586816570728975,2.9637713516083464,5.086665959307478,-1.7373841072407086,-4.555993234770048,R0.50_MU-1.0000,False,inf,inf,1.3556991690565853e-10,1.3556991690565853e-10,0.006617770874142075,1.0696453279514131e-16,0.11415742772269834
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,3.5,-4.585965790472221,AXIAL_LINK,True,False,1.3403901344726425,3.0237005110784643,5.146595118777595,-1.7355715641370066,-4.548179180694573,R0.50_MU-1.0000,False,inf,inf,1.9418445258872314e-10,1.9418445258872314e-10,0.023427022304676127,9.838804019492918e-15,0.11646575649677177
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,5.0,-4.585965790472221,ISOTROPIC_LINK,True,False,1.664187600464663,3.2121615601447764,5.3350561678439075,-1.6863845804234951,-4.438075158730779,R0.50_MU-1.0000,False,inf,inf,8.921423479622366e-11,8.921423479622366e-11,0.2728534437636597,1.9270802047705007e-14,0.12372482814400135
PHYSICAL_PREFILTER,MIN_SUPPORT,,optimal,CLARABEL,10,26,5.0,-4.585965790472221,AXIAL_LINK,True,False,1.6652338079987934,3.42850382122995,5.551398428929081,-1.7132803137643668,-4.477154983706871,R0.50_MU-1.0000,False,inf,inf,2.4730363787439697e-11,2.4730363787439697e-11,0.18229930575033151,3.3318012476336834e-14,0.1320578178059041
PHYSICAL_MINIMUM_CLOSURE,MIN_SUPPORT,,optimal,CLARABEL,14,34,1.5,-4.585965790472221,ISOTROPIC_LINK,True,False,2.7136577874760612,1.9010310642617783,4.02392567196091,-1.4657433973533318,-3.937092200551592,R0.50_MU-1.0000,False,inf,inf,0.0,0.0,0.013648265851047153,1.8357509312026284e-15,0.07322319793640626
PHYSICAL_BUDGET_SCAN,MAX_FORCE_AT_SUPPORT_BUDGET,1.0,optimal,CLARABEL,14,34,1.5,-4.585965790472221,ISOTROPIC_LINK,True,False,2.7136577874760612,1.9010314502875163,4.023926057986648,-1.4656792434265158,-3.9368039041305285,R0.50_MU-1.0000,False,inf,inf,3.437969064989943e-08,3.0519604978841353e-10,0.6749252587017841,1.116597934636313e-11,0.07322321280520012
