source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,B_dimensionless,x_opt_ln_Gamma,Gamma_opt,energy_reduction_factor,E_baseline_J,E_min_J
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,0.25,859195525552320.8,5.819397158505712e-16,1.0000000000000007,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,0.5,429597762776160.4,1.1638794317011417e-15,1.000000000000001,1.0000000000000007,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,1.0,214798881388080.2,2.3277588634022806e-15,1.0000000000000022,1.0000000000000013,1.320554586032904e+28,1.3205545860329025e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,2.0,107399440694040.1,4.65551772680455e-15,1.0000000000000047,1.0000000000000024,1.320554586032904e+28,1.320554586032901e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,5.0,42959776277616.04,1.1638794317011294e-14,1.0000000000000115,1.000000000000006,1.320554586032904e+28,1.3205545860328964e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,21479888138808.02,2.3277588634022316e-14,1.0000000000000233,1.0000000000000118,1.320554586032904e+28,1.3205545860328887e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,0.25,1718391051104641.5,2.9096985792528566e-16,1.0000000000000002,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,0.5,859195525552320.8,5.819397158505712e-16,1.0000000000000007,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,1.0,429597762776160.4,1.1638794317011417e-15,1.000000000000001,1.0000000000000007,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,2.0,214798881388080.2,2.3277588634022806e-15,1.0000000000000022,1.0000000000000013,1.320554586032904e+28,1.3205545860329025e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,5.0,85919552555232.08,5.819397158505681e-15,1.0000000000000058,1.0000000000000029,1.320554586032904e+28,1.3205545860329003e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.5,10.0,42959776277616.04,1.1638794317011294e-14,1.0000000000000115,1.000000000000006,1.320554586032904e+28,1.3205545860328964e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,0.25,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,0.5,1718391051104641.5,2.9096985792528566e-16,1.0000000000000002,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,1.0,859195525552320.8,5.819397158505712e-16,1.0000000000000007,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,2.0,429597762776160.4,1.1638794317011417e-15,1.000000000000001,1.0000000000000007,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,5.0,171839105110464.16,2.909698579252849e-15,1.0000000000000029,1.0000000000000016,1.320554586032904e+28,1.320554586032902e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,1.0,10.0,85919552555232.08,5.819397158505681e-15,1.0000000000000058,1.0000000000000029,1.320554586032904e+28,1.3205545860329003e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,2.0,0.25,6873564204418566.0,7.274246448132143e-17,1.0,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,2.0,0.5,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
