source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,Gamma,ln_Gamma,B_actual,B_max_beneficial,localization_burden_ratio,localization_burden_orders,E_wall_J,E_total_J
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,21479888138808.02,0.1697505273104525,126537975929370.67,14.102220883309982,1.5039027397876652e+42,1.5039027397876664e+42
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,21479888138808.02,0.020935898368289147,1025983588616518.8,15.01114041396265,1.3535124658088982e+43,1.3535124658088982e+43
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,21479888138808.02,0.005239208566664359,4099834519946129.0,15.612766327811293,5.414049863235593e+43,5.414049863235593e+43
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,21479888138808.02,0.002328539466950645,9224618454475740.0,15.96494841206225,1.2181612192280084e+44,1.2181612192280084e+44
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,21479888138808.02,0.0013098034514682315,1.6399321680462834e+16,16.21482588484499,2.165619945294237e+44,2.165619945294237e+44
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,21479888138808.02,0.0006526356297979721,3.2912527539229308e+16,16.517361235505856,4.346278917986352e+44,4.346278917986352e+44
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,2.1479888138808016e+16,0.1697505273104525,1.2653797592937066e+17,17.102220883309982,1.5039027397876653e+40,1.5039027397876653e+40
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,2.1479888138808016e+16,0.020935898368289147,1.0259835886165187e+18,18.01114041396265,1.3535124658088984e+41,1.3535124658088984e+41
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,2.1479888138808016e+16,0.005239208566664359,4.0998345199461284e+18,18.612766327811293,5.414049863235594e+41,5.414049863235594e+41
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,2.1479888138808016e+16,0.002328539466950645,9.224618454475737e+18,18.964948412062252,1.2181612192280087e+42,1.2181612192280087e+42
