gamma_opt,E_source_J,E_gradient_J,E_no_cancel_J,budget_ratio,meets_budget,compactness_proxy,Qt,Z1,Z2,Z3,c1_sq,c2_sq,c3_sq,x1,x2,x3,EOM_residual,bare_cutoff_eV,effective_soft_cutoff_eV,E_bulk_signed_J,signed_over_gradient,case,C_source,acceleration_m_s2,h_m,budget_J,region_ratio,safety,selection_role
81057773.58142078,1629152304197494.5,325830218544749.25,1954982522742243.8,1.9549825227422437,False,6.546816773422605e-20,60793329.6860656,60793330.18606559,60793330.18606559,1.2336879682434426e-08,1.0000000082245863,1.0000000082245863,2.029314687341785e-16,-0.12499999845789005,-0.12499999845789005,15198332.421516396,0.0,0.3553152119896452,3.946539608e-05,-1.9808303571843523e+22,-60793328.686065584,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,0.5,1.0,PHYSICAL
8105778.522316627,1.6291520702140906e+16,3258304042913169.5,1.9549824745054076e+16,19.549824745054075,False,6.546819992037774e-20,6079333.391737562,6079333.8917375,6079333.8917375,1.2336877910577312e-07,1.0000000822458495,1.0000000822458495,2.029314254642523e-14,-0.12499998457890261,-0.12499998457890261,1519833.3479343597,0.0,1.1236054378805254,0.0003946539608,-1.980831331021082e+22,-6079332.391737358,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,0.5,10.0,PHYSICAL
810578.0312455052,1.62915171042051e+17,3.2583028171736852e+16,1.9549819921378787e+17,195.49819921378787,False,6.546804436912446e-20,607933.0234350541,607933.5234344373,607933.5234344373,1.233687518601307e-06,1.0000008224580077,1.0000008224580077,2.0293148604273883e-12,-0.12499984578906018,-0.12499984578906018,151983.25585845512,0.0,3.5531527674051353,0.003946539608,-1.980826624601836e+22,-607932.023432998,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,0.5,100.0,PHYSICAL
90984298.102195,1451409324001859.0,290282100016933.75,1741691424018792.8,1.7416914240187928,False,3.273413482161908e-20,68238223.07664627,68238223.57664625,68238223.57664625,1.099090745170979e-08,1.0000000073272715,1.0000000073272715,1.6106672999624605e-16,-0.12499999862613657,-0.12499999862613657,17059555.769161563,0.0,0.1882217013291402,1.973269804e-05,-1.9808334405830764e+22,-68238222.07664625,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,1.0,1.0,PHYSICAL
9098428.528898777,1.4514095284020844e+16,2902818573310874.0,1.7416913857331718e+16,17.416913857331718,False,3.273409636885269e-20,6823820.8966741655,6823821.396674111,6823821.396674111,1.0990908999546038e-07,1.0000000732727239,1.0000000732727239,1.6106678598353678e-14,-0.12499998626136376,-0.12499998626136376,1705955.224168514,0.0,0.5952092393607267,0.0001973269804,-1.980831113699352e+22,-6823819.896673981,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,1.0,10.0,PHYSICAL
909843.0372093179,1.4514092343700582e+17,2.902817685077392e+16,1.7416910028777974e+17,174.16910028777974,False,3.2734028223956283e-20,682381.7779078127,682382.2779072633,682382.2779072633,1.0990906772966167e-06,1.0000007327268499,1.0000007327268499,1.6106682694054878e-12,-0.12499986261366534,-0.12499986261366534,170595.4444766784,0.0,1.8822170714095718,0.001973269804,-1.9808269900623494e+22,-682380.7779059808,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,1.0,100.0,PHYSICAL
51063204.06675413,2586117753806761.0,517223554376053.75,3103341308182815.0,3.103341308182815,False,1.6367053981630337e-20,38297402.550065614,38297403.0500656,38297403.0500656,1.9583573304423193e-08,1.0000000130557154,1.0000000130557154,5.113551311690626e-16,-0.12499999755205334,-0.12499999755205334,9574350.637516398,1.862645149230957e-09,0.14100694425681823,1.973269804e-05,-1.980831815309191e+22,-38297401.550065584,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,2.0,1.0,PHYSICAL
5106320.63264626,2.5861176393628668e+16,5172235472709291.0,3.103341186633796e+16,31.03341186633796,False,1.6367048711631187e-20,3829739.974484842,3829740.4744847436,3829740.4744847436,1.9583572437788102e-07,1.0000001305571409,1.0000001305571409,5.113551459958425e-14,-0.12499997552053445,-0.12499997552053445,957434.9936211614,1.1641532182693481e-10,0.4459031196182565,0.0001973269804,-1.9808311775046115e+22,-3829738.974484516,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,2.0,10.0,PHYSICAL
510632.21364164766,2.5861168777723168e+17,5.172230933716031e+16,3.10333997114392e+17,310.333997114392,False,1.636698147377978e-20,382973.6602327045,382974.1602317253,382974.1602317253,1.9583566670585764e-06,1.0000013055702592,1.0000013055702592,5.113554456639732e-12,-0.12499975520541662,-0.12499975520541662,95743.41505768654,0.0,1.4100696813952258,0.001973269804,-1.9808230400062315e+22,-382972.6602294405,IDEAL_SMALL,1.0,0.980665,0.01,1000000000000000.0,2.0,100.0,PHYSICAL
137273778.19107217,2.269477673725925e+16,4538955693970818.0,2.7233732431230064e+16,27.233732431230063,False,1.5444992109977765e-18,102955333.14330412,102955333.64330412,102955333.64330412,7.284712442372601e-09,1.000000004856475,1.000000004856475,7.075604750103588e-17,-0.12499999908941095,-0.12499999908941095,25738833.28582603,-3.725290298461914e-09,0.46239194428783587,3.946539608e-05,-4.673096910565071e+23,-102955332.14330414,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,0.5,1.0,PHYSICAL
