feasible,status,solver,nr,nz,rmax,depth,mu_h,energy,fp_near,fp_center,fp_far,fp_min,gr_center,C_FP_alpha1,DEC_violation,Laue_relative_residual,FP_total_over_E,negative_FP_energy_participation,numerical_green
False,infeasible,CLARABEL,10,14,1.5,1.0,0.03,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,1.5,1.0,0.1,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,1.5,1.0,0.25,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,1.5,1.0,0.5,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,1.5,1.0,1.0,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,2.5,1.5,0.03,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,2.5,1.5,0.1,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,2.5,1.5,0.25,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,2.5,1.5,0.5,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,2.5,1.5,1.0,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,4.0,2.0,0.03,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,4.0,2.0,0.1,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,4.0,2.0,0.25,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,4.0,2.0,0.5,,,,,,,,,,,,
False,infeasible,CLARABEL,10,14,4.0,2.0,1.0,,,,,,,,,,,,
