waveform,angle,unit_derivative_integral,endpoint_derivative_max,amplitude,radial_velocity,tangential_velocity,signed_chi,predicted_signed_chi,chi_error,amplitude_squared_scaling,outward_radial
0,0.0,1.0,5.0696586633707326e-17,0.001,-2.4999966431084107e-07,-2.8148503755943944e-12,-0.24999966431084109,-0.25,3.3568915891457607e-07,3.99999728965347,False
0,0.37,1.0,5.0696586633707326e-17,0.001,-2.500016487617166e-07,-2.301030743691743e-12,-0.2500016487617166,-0.25,-1.648761716599445e-06,4.000013164553539,False
0,1.11,1.0,5.0696586633707326e-17,0.001,-2.500024360713883e-07,1.439320522553379e-12,-0.2500024360713883,-0.25,-2.4360713882787266e-06,4.000019462844224,False
0,2.07,1.0,5.0696586633707326e-17,0.001,-2.4999780655928116e-07,1.8023617803965653e-12,-0.24999780655928117,-0.25,2.1934407188339833e-06,3.9999824282949974,False
1,0.0,1.0000000000000002,7.844992837910056e-17,0.001,-2.499932627776677e-07,2.365122374664352e-13,-0.24999326277766765,-0.25,6.737222332353632e-06,3.999946082466404,False
1,0.37,1.0000000000000002,7.844992837910056e-17,0.001,-2.4999486507856034e-07,-4.364953422444171e-12,-0.2499948650785603,-0.25,5.134921439692297e-06,3.9999589015514516,False
1,1.11,1.0000000000000002,7.844992837910056e-17,0.001,-2.5000387880401323e-07,-5.504062445632194e-12,-0.2500038788040132,-0.25,-3.878804013202064e-06,4.000031011205843,False
1,2.07,1.0000000000000002,7.844992837910056e-17,0.001,-2.500038402249469e-07,5.533734395412731e-12,-0.25000384022494687,-0.25,-3.84022494687164e-06,4.000030703480957,False
2,0.0,1.0,2.0759781235381098e-17,0.001,-2.499963855972608e-07,9.234737296452812e-13,-0.24999638559726078,-0.25,3.6144027392159828e-06,3.9999710647738063,False
2,0.37,1.0,2.0759781235381098e-17,0.001,-2.499967062356965e-07,-1.7527609988340417e-12,-0.2499967062356965,-0.25,3.2937643034969266e-06,3.999973636579291,False
2,1.11,1.0,2.0759781235381098e-17,0.001,-2.5000144157306583e-07,-3.436100500111887e-12,-0.25000144157306586,-0.25,-1.4415730658634551e-06,4.000011519610649,False
2,2.07,1.0,2.0759781235381098e-17,0.001,-2.5000272837920255e-07,2.5324004781434094e-12,-0.25000272837920257,-0.25,-2.728379202565634e-06,4.000021800242612,False
3,0.0,1.0,5.640669323780152e-17,0.001,-2.5000445077719845e-07,-3.782028666832084e-12,-0.25000445077719846,-0.25,-4.450777198461431e-06,4.0000355751549375,False
3,0.37,1.0,5.640669323780152e-17,0.001,-2.5000583562109186e-07,2.1265057412534156e-13,-0.25000583562109185,-0.25,-5.835621091854204e-06,4.000046664208698,False
3,1.11,1.0,5.640669323780152e-17,0.001,-2.5000031205528553e-07,5.837976925407868e-12,-0.25000031205528556,-0.25,-3.120552855562231e-07,4.000002448686394,False
3,2.07,1.0,5.640669323780152e-17,0.001,-2.4999439943833336e-07,-1.6972111352986535e-12,-0.24999439943833338,-0.25,5.600561666624371e-06,3.999955164566608,False
4,0.0,1.0,6.814005964890184e-17,0.001,-2.500003132443431e-07,-1.9062406575505266e-12,-0.2500003132443431,-0.25,-3.132443430753362e-07,4.000002483282916,False
4,0.37,1.0,6.814005964890184e-17,0.001,-2.5000151614033344e-07,-1.1921741082669813e-12,-0.25000151614033345,-0.25,-1.5161403334462698e-06,4.000012107566896,False
4,1.11,1.0,6.814005964890184e-17,0.001,-2.500013215294995e-07,1.4084965741759023e-12,-0.2500013215294995,-0.25,-1.321529499498375e-06,4.0000105509645705,False
4,2.07,1.0,6.814005964890184e-17,0.001,-2.499982187768254e-07,7.669437359717884e-13,-0.2499982187768254,-0.25,1.7812231745961693e-06,3.999985727290193,False
5,0.0,1.0,5.912987135968308e-17,0.001,-2.500086861361073e-07,-5.895281328503571e-12,-0.25000868613610727,-0.25,-8.686136107272091e-06,4.000069473733944,False
5,0.37,1.0,5.912987135968308e-17,0.001,-2.500103875193995e-07,1.5052506764691978e-12,-0.2500103875193995,-0.25,-1.0387519399523981e-05,4.000083084300112,False
5,1.11,1.0,5.912987135968308e-17,0.001,-2.499994380689321e-07,1.0482925027886172e-11,-0.2499994380689321,-0.25,5.619310678994793e-07,3.9999954904073203,False
5,2.07,1.0,5.912987135968308e-17,0.001,-2.499903359641119e-07,-4.113972845719686e-12,-0.24999033596411188,-0.25,9.664035888118372e-06,3.9999226720744083,False
6,0.0,0.9999999999999999,5.038139796497363e-17,0.001,-2.4999573966167333e-07,-3.896025121989217e-12,-0.2499957396616734,-0.25,4.260338326594892e-06,3.999965882794567,False
6,0.37,0.9999999999999999,5.038139796497363e-17,0.001,-2.499994792573754e-07,-5.74619653150796e-12,-0.24999947925737548,-0.25,5.207426245212865e-07,3.9999958008094376,False
6,1.11,0.9999999999999999,5.038139796497363e-17,0.001,-2.5000566984451537e-07,-1.034648342951864e-12,-0.25000566984451544,-0.25,-5.669844515443501e-06,4.000045337630077,False
6,2.07,0.9999999999999999,5.038139796497363e-17,0.001,-2.4999902446997305e-07,5.686087374869082e-12,-0.2499990244699731,-0.25,9.75530026897653e-07,3.9999921805670993,False
7,0.0,0.9999999999999998,4.2905029174595654e-17,0.001,-2.49999448588008e-07,2.068438532499137e-12,-0.24999944858800804,-0.25,5.514119919558524e-07,3.999995536205328,False
7,0.37,0.9999999999999998,4.2905029174595654e-17,0.001,-2.4999819648116915e-07,1.159407032824232e-12,-0.24999819648116922,-0.25,1.803518830778561e-06,3.9999855375782807,False
7,1.11,0.9999999999999998,4.2905029174595654e-17,0.001,-2.499986765498654e-07,-1.6855159796070438e-12,-0.2499986765498655,-0.25,1.3234501345105176e-06,3.999989400659706,False
7,2.07,0.9999999999999998,4.2905029174595654e-17,0.001,-2.500020288907143e-07,-6.618168158432127e-13,-0.2500020288907144,-0.25,-2.028890714378395e-06,4.000016214407071,False
8,0.0,0.9999999999999997,2.4729771037359617e-17,0.001,-2.4999902017044974e-07,8.94184249865548e-12,-0.24999902017044986,-0.25,9.798295501350918e-07,3.9999921446307467,False
8,0.37,0.9999999999999997,2.4729771037359617e-17,0.001,-2.4999324492713955e-07,5.947097945185618e-12,-0.24999324492713967,-0.25,6.755072860326061e-06,3.999945927761038,False
8,1.11,0.9999999999999997,2.4729771037359617e-17,0.001,-2.499934584882241e-07,-6.1822243665392546e-12,-0.2499934584882242,-0.25,6.541511775787212e-06,3.9999475986115893,False
