C006D_energy_gap,C006D_peak_energy_J,C1_energy_gap,C1_peak_energy_J,C_required,RAW_TEACHER_ORACLE_energy_gap,RAW_TEACHER_ORACLE_peak_energy_J,acceleration_m_s2,budget_metric_weakness,chi_required_to_meet_power_budget,duty,dynamic_power_budget_W,energy_budget_J,h_m,mission_seconds,near_zone_006D_gap,near_zone_006D_peak_J,near_zone_C1_gap,near_zone_C1_peak_J,paired_memory_beta,paired_memory_power_W_chi0p25,paired_memory_power_gap_chi0p25,paired_memory_weak_chi,selection_role,target
3.11539774792643e+17,3.11539774792643e+29,1.320554586032904e+16,1.320554586032904e+28,7.572576026592839e-17,323594803078534.2,3.235948030785342e+26,9.80665,1.6525435279396073e-32,2.4743269079373557e+21,,1000000000000.0,1000000000000.0,1.0,1.0,,,,,0.010000000000000002,9.897307631749423e+33,9.897307631749423e+21,0.25,,MACRO_1G_1M_1TJ_1S
,,,,,,,9.80665,,,1.0,,1000000000000.0,1.0,,3.11539774792643e+17,3.11539774792643e+29,1.320554586032904e+16,1.320554586032904e+28,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_1
,,,,,,,9.80665,,,0.75,,1000000000000.0,1.0,,4.1538636639019066e+17,4.1538636639019066e+29,1.7607394480438722e+16,1.7607394480438722e+28,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_0.75
,,,,,,,9.80665,,,0.5,,1000000000000.0,1.0,,6.23079549585286e+17,6.23079549585286e+29,2.641109172065808e+16,2.641109172065808e+28,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_0.5
,,,,,,,9.80665,,,0.25,,1000000000000.0,1.0,,1.246159099170572e+18,1.246159099170572e+30,5.282218344131616e+16,5.282218344131616e+28,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_0.25
,,,,,,,9.80665,,,0.1,,1000000000000.0,1.0,,3.1153977479264297e+18,3.11539774792643e+30,1.320554586032904e+17,1.320554586032904e+29,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_0.1
,,,,,,,9.80665,,,0.01,,1000000000000.0,1.0,,3.11539774792643e+19,3.11539774792643e+31,1.3205545860329042e+18,1.320554586032904e+30,,,,,PHYSICAL_DUTY_CONTROL,MACRO_1G_1M_1TJ_1S__DUTY_0.01
3115397747.92643,3.11539774792643e+24,132055458.60329045,1.3205545860329045e+23,7.572576026592837e-09,3235948.030785342,3.235948030785342e+21,0.980665,1.6525435279396074e-27,2474326907937355.5,,1000000000000000.0,1000000000000000.0,0.01,1.0,,,,,0.010000000000000002,9.897307631749424e+30,9897307631749424.0,0.25,,SUBSCALE_0P1G_1CM_1PJ_1S
,,,,,,,0.980665,,,1.0,,1000000000000000.0,0.01,,3115397747.92643,3.11539774792643e+24,132055458.60329045,1.3205545860329045e+23,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_1
,,,,,,,0.980665,,,0.75,,1000000000000000.0,0.01,,4153863663.901907,4.1538636639019067e+24,176073944.80438727,1.7607394480438725e+23,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_0.75
,,,,,,,0.980665,,,0.5,,1000000000000000.0,0.01,,6230795495.85286,6.23079549585286e+24,264110917.2065809,2.641109172065809e+23,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_0.5
,,,,,,,0.980665,,,0.25,,1000000000000000.0,0.01,,12461590991.70572,1.246159099170572e+25,528221834.4131618,5.282218344131618e+23,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_0.25
,,,,,,,0.980665,,,0.1,,1000000000000000.0,0.01,,31153977479.2643,3.11539774792643e+25,1320554586.0329044,1.3205545860329045e+24,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_0.1
,,,,,,,0.980665,,,0.01,,1000000000000000.0,0.01,,311539774792.643,3.11539774792643e+26,13205545860.329044,1.3205545860329045e+25,,,,,PHYSICAL_DUTY_CONTROL,SUBSCALE_0P1G_1CM_1PJ_1S__DUTY_0.01
