target,wildcard_chi,power_gap,selection_role
MACRO_1G_1M_1TJ_1S,0.625,3.9589230526997694e+21,BLIND_NON_EVIDENTIARY_EXCLUDED
MACRO_1G_1M_1TJ_1S,1.6,1.5464543174608473e+21,BLIND_NON_EVIDENTIARY_EXCLUDED
MACRO_1G_1M_1TJ_1S,1.875,1.31964101756659e+21,BLIND_NON_EVIDENTIARY_EXCLUDED
MACRO_1G_1M_1TJ_1S,3.125,7.917846105399538e+20,BLIND_NON_EVIDENTIARY_EXCLUDED
MACRO_1G_1M_1TJ_1S,5.0,4.948653815874712e+20,BLIND_NON_EVIDENTIARY_EXCLUDED
SUBSCALE_0P1G_1CM_1PJ_1S,0.625,3958923052699769.0,BLIND_NON_EVIDENTIARY_EXCLUDED
SUBSCALE_0P1G_1CM_1PJ_1S,1.6,1546454317460847.5,BLIND_NON_EVIDENTIARY_EXCLUDED
SUBSCALE_0P1G_1CM_1PJ_1S,1.875,1319641017566590.0,BLIND_NON_EVIDENTIARY_EXCLUDED
SUBSCALE_0P1G_1CM_1PJ_1S,3.125,791784610539953.8,BLIND_NON_EVIDENTIARY_EXCLUDED
SUBSCALE_0P1G_1CM_1PJ_1S,5.0,494865381587471.1,BLIND_NON_EVIDENTIARY_EXCLUDED
