target,chi,beta,power_W,power_gap,meets_budget,selection_role
MACRO_1G_1M_1TJ_1S,0.25,0.010000000000000002,9.897307631749423e+33,9.897307631749423e+21,False,OUTWARD_MEMORY_ORACLE
MACRO_1G_1M_1TJ_1S,1.0,0.010000000000000002,2.4743269079373558e+33,2.4743269079373557e+21,False,OUTWARD_MEMORY_ORACLE
MACRO_1G_1M_1TJ_1S,1000.0,0.010000000000000002,2.474326907937356e+30,2.474326907937356e+18,False,OUTWARD_MEMORY_ORACLE
MACRO_1G_1M_1TJ_1S,1000000.0,0.010000000000000002,2.4743269079373557e+27,2474326907937355.5,False,OUTWARD_MEMORY_ORACLE
MACRO_1G_1M_1TJ_1S,1000000000000.0,0.010000000000000002,2.4743269079373557e+21,2474326907.9373555,False,OUTWARD_MEMORY_ORACLE
SUBSCALE_0P1G_1CM_1PJ_1S,0.25,0.010000000000000002,9.897307631749424e+30,9897307631749424.0,False,OUTWARD_MEMORY_ORACLE
SUBSCALE_0P1G_1CM_1PJ_1S,1.0,0.010000000000000002,2.474326907937356e+30,2474326907937356.0,False,OUTWARD_MEMORY_ORACLE
SUBSCALE_0P1G_1CM_1PJ_1S,1000.0,0.010000000000000002,2.474326907937356e+27,2474326907937.356,False,OUTWARD_MEMORY_ORACLE
SUBSCALE_0P1G_1CM_1PJ_1S,1000000.0,0.010000000000000002,2.474326907937356e+24,2474326907.937356,False,OUTWARD_MEMORY_ORACLE
SUBSCALE_0P1G_1CM_1PJ_1S,1000000000000.0,0.010000000000000002,2.474326907937356e+18,2474.326907937356,False,OUTWARD_MEMORY_ORACLE
