success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
False,True,0.7,0.625,64.87218990546637,40.54511869091648,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.7,1.05,64.87218990546637,68.11579940073969,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.7,1.25,64.87218990546637,81.09023738183296,,0.05,59.310059305796756,10.368264003519641,-2.0636138159949236e+16,1588921736.5424368,10.0,0.003819709514830815,1.2747433375017887e-33,6245331207.369682,544823354.1916362,47206628044.44954,54553774585.21399,53996782606.01086,54553774585.21399,1.1556380289192951,1.8,2.7647337362896276,3.410791601799678,2.758441210727965,2.2507798444985667,2.2507798444985667
False,True,0.7,1.6,64.87218990546637,103.7955038487462,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.7,1.875,64.87218990546637,121.63535607274945,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.7,3.125,64.87218990546637,202.7255934545824,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.7,5.0,64.87218990546637,324.36094952733185,,0.05,175.88149172970384,34.92038696873654,-6.119560164994477e+16,2916009984.01709,10.0,0.0011341156299893868,2.8774079481941116e-33,65433805980.87722,6088861150.848751,50361297174.32569,218215098340.85596,121883964306.05167,218215098340.85596,4.332992011415118,1.8,9.311642904152613,11.487570394053378,9.290449633268565,7.5806425380990925,7.5806425380990925
True,,0.7,7.5,64.87218990546637,486.5414242909978,,0.05,195.53910630101336,39.75492885222996,-6.803520449196936e+16,3111322094.4669156,10.0,0.000996197397654262,3.3624225666149743e-33,83597283994.92287,7868257101.221304,50963130635.43023,327322647511.28394,142428671731.5744,327322647511.28394,6.42273430674459,1.8,10.600790348725994,13.077963428911527,10.576662982185184,8.63014218674396,8.63014218674396
True,,0.7,9.0,64.87218990546637,583.8497091491973,,0.05,203.60659130906143,41.79082849588681,-7.084217749415497e+16,3189994786.6334257,10.0,0.0009476662246698404,3.582302526176388e-33,91852836264.84406,8684355185.433668,51205363340.39481,392787177013.5407,151742554790.67255,392787177013.5407,7.670821011510709,1.8,11.143670085064436,13.747702297861483,11.118307125897488,9.072102565242155,9.072102565242155
True,,0.7,10.0,64.87218990546637,648.7218990546637,,0.05,208.08889030985986,42.93428569619935,-7.240173320084835e+16,3233341702.7936506,10.0,0.0009224272868251686,3.709831738079436e-33,96646149862.6098,9160025449.624125,51338382319.68512,436430196681.7119,157144557631.91907,436430196681.7119,8.501050811536143,1.8,11.448576933176533,14.123859214247815,11.422520006952118,9.320328345241245,9.320328345241245
