alpha_m_cap,mx_scale,M_X_gev,energy_max_J,backreaction_max,predicted_adverse_min_mps2,energy_target_pass,backreaction_pass,joint_pass,blind_wildcard,classification
6.25,1.597963555344532,133.67996361236547,1545232445775.0054,0.00032592129925811087,9.80665,False,True,False,True,FAIL_ONE_OR_MORE
10.0,0.9987272220903325,83.54997725772841,603606424130.8616,0.0008343585261007638,9.80665,False,True,False,False,FAIL_ONE_OR_MORE
15.0,0.6658181480602217,55.69998483848561,268269521835.93848,0.0018773066837267183,9.80665,False,True,False,False,FAIL_ONE_OR_MORE
16.0,0.6242045138064578,52.21873578608026,235783759426.11777,0.002135957826817955,9.80665,False,True,False,True,FAIL_ONE_OR_MORE
18.75,0.5326545184481773,44.55998787078849,171692493975.00064,0.0029332916933229977,9.80665,False,True,False,True,FAIL_ONE_OR_MORE
20.0,0.49936361104516624,41.77498862886421,150901606032.7154,0.003337434104403055,9.80665,False,True,False,False,FAIL_ONE_OR_MORE
25.0,0.399490888836133,33.41999090309137,96577027860.93784,0.005214740788129774,9.80665,False,True,False,False,FAIL_ONE_OR_MORE
27.0,0.3698989711445676,30.944436021380895,82799235134.5489,0.006082473655274568,9.80665,False,True,False,False,FAIL_ONE_OR_MORE
27.007903507182004,0.3697907250833996,30.93538053981517,82750782014.30058,0.006086035130106012,9.80665,True,True,True,False,JOINT_PASS
30.0,0.33290907403011083,27.849992419242806,67067380458.98462,0.007509226734906873,9.80665,True,True,True,False,JOINT_PASS
31.25,0.3195927110689064,26.735992722473092,61809297831.00023,0.00814803248145277,9.80665,True,True,True,True,JOINT_PASS
34.61972756004626,0.2884850033432782,24.133632222499436,50362416638.884674,0.009999999999879501,9.80665,True,True,True,False,JOINT_PASS
35.0,0.28535063488295215,23.87142207363669,49273993806.600945,0.010220891944734356,9.80665,True,False,False,False,FAIL_ONE_OR_MORE
40.0,0.24968180552258312,20.887494314432104,37725401508.17885,0.01334973641761222,9.80665,True,False,False,False,FAIL_ONE_OR_MORE
50.0,0.1997454444180665,16.709995451545684,24144256965.23446,0.020858963152519096,9.80665,True,False,False,True,FAIL_ONE_OR_MORE
