success,omega,epsilon,chi,m_x_gev,m_x_eV,F_gev,M_c_gev,M_m_gev,y_center,u_center,E_x_on_J,E_on_J,E_inventory_J,noether_charge,E_over_QmX,source_leak_fraction,payload_x_overlap_fraction,payload_backreaction_ratio,surface_min_acceleration_mps2,surface_max_acceleration_mps2,a_cm_mps2,scalar_charge_kg,alpha_eff_tail,scalar_energy_identity_relerr,scalar_fixed_x_hessian,DEC_margin_normalized,conservation_rel,source_containment_pass,payload_overlap_pass,backreaction_pass,noether_decay_pass,scalar_identity_pass,scalar_fixed_x_stability_pass,DEC_pass,conservation_pass,finite_payload_1g_pass,prefilter_pass,target_83gj_pass,target_1tj_pass,chi_factor,chi_critical
True,0.4,0.01,0.8468838209810764,5.979605466666666e-15,5.979605466666666e-06,124.24335433318916,146.70649179394982,1258781646.4499874,2.9010867338267396,2.4598780233025463,220803035534.09787,307790341515.26373,588424176155.8805,5.41069916897824e+35,0.5937705798702798,4.0910963349507316e-16,6.17203557862113e-40,0.0060860363903121745,9.80665,14.29344048681292,11.821779707157019,-17110496107.100382,6964644734079224.0,1.824801106251408e-10,0.0018309844094271273,0.0,9.098446851465779e-07,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.16937676419621528
True,0.4,0.01,0.5293023881131728,5.979605466666666e-15,5.979605466666666e-06,89.59776287091549,169.2751910496919,1258781646.4499874,4.501860009929221,2.1657252975430232,276648902118.61505,365106492147.2197,575435983960.7528,6.565230317823691e+35,0.5804792034116718,1.0613135047174227e-16,1.344895532538101e-40,0.006086036390312174,9.80665,14.293440486812916,11.821779707157033,-17110496107.100388,5558723302078802.0,1.9507414050503966e-10,0.001802319576495611,0.0,9.058371963589501e-07,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.16937676419621528
True,0.4,0.01,0.33875352839243056,5.979605466666666e-15,5.979605466666666e-06,72.13107154016254,212.93083464684085,1258781646.449988,6.653356104351563,1.7664935815189369,400462422081.39966,490671317823.32275,645517043848.5128,9.158143518695641e+35,0.5592426731079749,2.3655251676368035e-17,2.468092576834919e-41,0.00608603639031217,9.80665,14.293440486812921,11.821779707157017,-17110496107.100393,3840097382192532.0,1.83957855525706e-10,0.0017452687042479895,0.0,9.183605462522268e-07,True,True,True,True,True,True,True,True,True,True,False,True,2.0,0.16937676419621528
True,0.4,0.01,0.31758143286790363,5.979605466666666e-15,5.979605466666666e-06,70.85353215203222,223.10350927065494,1258781646.4499876,7.022105267899898,1.6944131067523,432682885377.5658,523199785018.0092,671190135329.7218,9.835747003067308e+35,0.5552355740450013,1.880693387870808e-17,1.9046167309222713e-41,0.006086036390312171,9.80665,14.293440486812917,11.821779707157027,-17110496107.100388,3554138031966164.0,1.805704893024508e-10,0.001731469831871609,0.0,9.216571230379905e-07,True,True,True,True,True,True,True,True,True,True,False,True,1.875,0.16937676419621528
True,0.4,0.01,0.27100282271394444,5.979605466666666e-15,5.979605466666666e-06,69.54703146159503,256.628439383471,1258781646.4499874,7.992077683674467,1.4940599791507732,548381692954.3288,639744284769.7656,772159483368.1171,1.2272424375048483e+36,0.5441180414951055,1.0625274126278318e-17,9.988209697992693e-42,0.0060860363903121745,9.80665,14.293440486812909,11.821779707157026,-17110496107.100386,2804277966349503.0,1.707685050984359e-10,0.0016844773291351913,0.0,9.311795029025138e-07,True,True,True,True,True,True,True,True,True,True,False,True,1.6,0.16937676419621528
True,0.4,0.01,0.2117209552452691,5.979605466666666e-15,5.979605466666666e-06,77.6503521480875,366.7579907625729,1258781646.4499876,9.674546997877473,1.075766313517542,1034823258393.2502,1127843188025.0374,1239483450476.4595,2.253348402452426e+36,0.5224412396574999,4.350927225940672e-18,3.6353999724554524e-42,0.006086036390312171,9.80665,14.293440486812914,11.821779707157026,-17110496107.100388,1486065070753239.2,1.5299514898507107e-10,0.0015147782184367175,0.0,9.495105019220479e-07,True,True,True,True,True,True,True,True,True,True,False,False,1.25,0.16937676419621528
True,0.4,0.01,0.18631444061583682,5.979605466666666e-15,5.979605466666666e-06,100.55533284674048,539.7076711518905,1258781646.449988,10.616852528940035,0.7450525666371336,2136386405389.4011,2230495973431.83,2332935304452.727,4.578073345158466e+36,0.5085524763015709,2.767161813484232e-18,2.1754004219016206e-42,0.00608603639031217,9.80665,14.293440486812921,11.821779707157026,-17110496107.100393,719820485106000.6,1.4398129983919617e-10,0.0012301124621580276,0.0,1.0016584821242939e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.1,0.16937676419621528
True,0.4,0.02,0.8625031119088957,2.989802733333333e-15,2.989802733333333e-06,59.55907420406622,69.05374993053627,1258781646.4502428,2.9926110357305644,2.476275684616328,106620229272.09973,147371063185.00153,279449763674.53796,5.227703935372203e+35,0.5885024896809533,1.2413847403028518e-05,4.857607119130887e-17,0.006086036390309704,9.806650000000001,14.293440486796879,11.82177970713338,-17110496107.157053,1.4423291988819328e+16,2.389255437485619e-10,0.0021333104118265397,0.0,9.013088784701622e-07,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.17250062238177916
True,0.4,0.02,0.5390644449430598,2.989802733333333e-15,2.989802733333333e-06,43.06502252359814,79.88844919673194,1258781646.450243,4.620738603951269,2.1775641355438373,133470380054.02603,174940960045.69714,273463999986.86847,6.339439103952321e+35,0.5760865592878646,5.466944873097568e-06,1.465572974925841e-17,0.006086036390309703,9.80665,14.293440486796882,11.82177970713339,-17110496107.15705,1.1521767586814992e+16,2.453908104874185e-10,0.002104241319269306,0.0,8.994727173893154e-07,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.17250062238177916
True,0.4,0.02,0.3450012447635583,2.989802733333333e-15,2.989802733333333e-06,34.84323982978902,100.99453366804035,1258781646.450243,6.791299918737511,1.772716433193983,193617412552.60593,235987634223.09235,308409196865.4615,8.860913296009255e+35,0.5559782870476644,2.240624852602785e-06,3.926442422250128e-18,0.006086036390309703,9.80665,14.293440486796886,11.821779707133379,-17110496107.15705,7942543381982912.0,2.2529649910601919e-10,0.0020451965865293325,0.0,9.144749728732246e-07,True,True,True,True,True,True,True,True,True,True,False,True,2.0,0.17250062238177916
