h_target,h,cells,rmax,epsilon_rmax,ell,max_real_growth,translation_sector,beta_x,beta_u
0.5,0.5,120,60.0,0.6,0,5.19707138204766e-15,False,0.9404254356406998,0.009999999999999998
0.5,0.5,120,60.0,0.6,1,0.00844714709433477,True,0.9407156666196288,0.02041666666666667
0.5,0.5,120,60.0,0.6,2,1.869932543974547e-15,False,0.9412958691428344,0.0351937984496124
0.5,0.5,120,60.0,0.6,3,2.0675439873711358e-15,False,0.94216552548003,0.051173794358507746
0.5,0.5,120,60.0,0.6,4,1.748501972993421e-15,False,0.9433238618718306,0.06751527162908819
0.5,0.5,120,60.0,0.6,5,1.209413996673051e-15,False,0.9447698519010177,0.08399624963955249
0.5,0.5,120,60.0,0.6,6,2.9211785985873688e-15,False,0.9465022209348636,0.10054348933848326
0.5,0.5,120,60.0,0.6,7,2.2263658783821156e-15,False,0.948519451594538,0.11712705029623155
0.5,0.5,120,60.0,0.6,8,1.8513239256337235e-15,False,0.9508197901981315,0.13373259807353235
0.375,0.375,160,60.0,0.6,0,2.5780258126927757e-15,False,0.9404254356406998,0.009999999999999998
0.375,0.375,160,60.0,0.6,1,0.006342699670257854,True,0.9407156666196288,0.02041666666666667
0.375,0.375,160,60.0,0.6,2,5.538917537378312e-15,False,0.9412958691428344,0.0351937984496124
0.375,0.375,160,60.0,0.6,3,3.5447476026169335e-15,False,0.94216552548003,0.051173794358507746
0.375,0.375,160,60.0,0.6,4,5.288104802766304e-15,False,0.9433238618718306,0.06751527162908819
0.375,0.375,160,60.0,0.6,5,7.494088154590365e-15,False,0.9447698519010177,0.08399624963955249
0.375,0.375,160,60.0,0.6,6,2.1175773936226564e-15,False,0.9465022209348636,0.10054348933848326
0.375,0.375,160,60.0,0.6,7,3.55271367880023e-15,False,0.948519451594538,0.11712705029623155
0.375,0.375,160,60.0,0.6,8,7.616645914501832e-15,False,0.9508197901981315,0.13373259807353235
