epsilon,omega,chi_factor,chi,chi_critical,X_MATCH,centered_E_J,max_shift_m,source_leak,payload_overlap,promoted_E_J,promoted_backreaction,ceiling_alpha_m,ceiling_E_J,ceiling_backreaction,surface_min_mps2,a_cm_mps2,E_over_QmX,scalar_hessian,conservation_rel,DEC_pass,PASS83
0.004,0.34,2.0,0.26394710823819745,0.13197355411909872,200.0,1405726052757.4666,0.8004578595584957,0.00010000000000013312,2.541452271496062e-67,209263343344.39066,0.007296000077117729,31.619023864637644,152678536917.86493,0.0099999999999996,9.80665,12.894452328294165,0.48160493181161174,0.0002707339796238916,6.001831406768484e-06,True,False
0.004,0.34,2.5,0.3299338852977468,0.13197355411909872,200.0,1297920569487.9133,0.798015554795861,0.00010000000016884158,6.027700150286632e-67,194578708752.39615,0.007291226647708128,31.62937236228003,141871746633.21674,0.009999999999999593,9.80665,12.888856297900318,0.4927434938875629,0.0002731826870239302,5.333435973552721e-06,True,False
0.004,0.34,3.125,0.4124173566221835,0.13197355411909872,200.0,1266950013196.975,0.795360661703951,0.00010000000000002245,1.3018557896515644e-66,191391378257.27127,0.007286045599385652,31.640616059734974,139448630931.18027,0.009999999999999594,9.80665,12.882800473060756,0.5016658840603114,0.00027475956053918773,4.527643276148621e-06,True,False
0.004,0.34,4.0,0.5278942164763949,0.13197355411909872,200.0,1283747576800.373,0.7922800821983081,0.00010000000000981106,2.7300130543312314e-66,195651606747.32797,0.007280044129154544,31.653655204350688,142435233106.05975,0.009999999999999587,9.80665,12.87580905598199,0.5094473741336067,0.0002759629811106036,4.195811231008709e-06,True,False
0.004,0.34,5.0,0.6598677705954936,0.13197355411909872,200.0,1328734485259.031,0.7894632454192715,0.00010000000000026998,4.833613879789128e-66,204149357671.03998,0.0072745661846318815,31.66557098955942,148509801392.81277,0.009999999999999589,9.80665,12.86944924428936,0.5149214919861211,0.000276757001691643,3.875062100644119e-06,True,False
0.004,0.37,2.0,0.29595171672569087,0.14797585836284544,200.0,1538450739353.1816,0.8092677945429861,0.0001000000000036132,9.749612356355554e-67,223264926764.70773,0.007313276415411729,31.581654571115223,163279812329.7028,0.009999999999999606,9.80665,12.914840935054793,0.5212519341728133,0.000269783321414757,6.3949377004162095e-06,True,False
0.004,0.37,2.5,0.3699396459071136,0.14797585836284544,200.0,1415643863458.3083,0.8067807863924239,0.00010000000001364141,2.0895551129153582e-66,206927238188.22452,0.007308390273764681,31.592210018245638,151230501495.18677,0.009999999999999603,9.80665,12.909052948843225,0.5331075362969281,0.0002720388344327422,5.3930489216843634e-06,True,False
0.004,0.37,3.125,0.462424557383892,0.14797585836284544,200.0,1375677022215.8396,0.8041152394732629,9.999999927184123e-05,4.1071812774271106e-66,202640506732.20346,0.007303161305518136,31.603517799724706,147991630769.7275,0.009999999999999601,9.80665,12.902877811248048,0.5425352042664228,0.0002734874217840457,5.091708656120165e-06,True,False
0.004,0.37,4.0,0.5919034334513817,0.14797585836284544,200.0,1384824016969.884,0.8010671330265333,0.00010000000000152397,7.832955810471827e-66,205790023607.382,0.007297191969440808,31.616441500696958,150168930765.88815,0.009999999999999598,9.80665,12.895852121465268,0.5506702329893692,0.00027459043200058896,5.080023951215932e-06,True,False
0.004,0.37,5.0,0.7398792918142272,0.14797585836284544,200.0,1422635765021.6501,0.7983214701406345,9.999999977509855e-05,1.2845477907261358e-65,213087776198.95193,0.007291824172025584,31.6280764104115,155379859725.07584,0.009999999999999596,9.80665,12.889555916709993,0.5563109407907783,0.00027531648225167675,5.091081064978235e-06,True,False
0.004,0.4,2.0,0.3296029785010349,0.16480148925051746,200.0,1671940582123.2131,0.8165262861888224,0.00010000000001186917,4.675630630249448e-66,237577803779.13455,0.00732757769217658,31.550820467888816,174086981512.83588,0.009999999999999613,9.80665,12.93188121071121,0.5603057899322658,0.0002689693008593411,6.368571344705208e-06,True,False
0.004,0.4,2.5,0.41200372312629363,0.16480148925051746,200.0,1533174347048.239,0.8139973767599313,9.999999898112925e-05,9.19294661826809e-66,219467192794.13724,0.007322588149677667,31.561567853149388,160706786519.74362,0.00999999999999961,9.80665,12.925919131268374,0.5728032289219354,0.00027106364478100007,6.080049817922328e-06,True,False
0.004,0.4,3.125,0.5150046539078671,0.16480148925051746,200.0,1483147553381.4053,0.8113230485467299,0.00010000000000169354,1.6679780855863015e-65,213960635863.23108,0.007317319691830582,31.57292794653889,156561837407.86755,0.009999999999999606,9.80665,12.91964350379406,0.5826594740905886,0.0002724051353784556,6.049344034903617e-06,True,False
0.004,0.4,4.0,0.6592059570020699,0.16480148925051746,200.0,1483270163492.9165,0.8083084986684678,0.00010000000000000723,2.9363304744784115e-65,215855822780.5458,0.007311390872407141,31.585726623213223,157820629243.36792,0.009999999999999603,9.806649999999998,12.91260533924611,0.5910631078062737,0.00027342406441698355,6.05312559092059e-06,True,False
0.004,0.4,5.0,0.8240074462525873,0.16480148925051746,200.0,1512549055140.2234,0.8056328304576933,0.00010000000102670208,4.514262387713367e-65,221827211810.89368,0.007306137335240366,31.59708056869181,162070007418.39078,0.009999999999999603,9.80665,12.906389951651796,0.5967969625037222,0.0002740927911212415,6.085385066473134e-06,True,False
0.004,0.43,2.0,0.3649991872451007,0.18249959362255036,200.0,1806204489421.37,0.8225344329872996,0.00010000000002067955,2.7965106640794723e-65,252200954239.04968,0.007339461145724287,31.525267870086648,185101910455.2164,0.009999999999999622,9.80665,12.946154862944947,0.5987209660981124,0.0002682596805968536,7.254937187586634e-06,True,False
0.004,0.43,2.5,0.45624898405637593,0.18249959362255036,200.0,1650476500017.4165,0.8199655640624929,9.999999999839034e-05,5.105176471701515e-65,232190364810.7145,0.007334375156363986,31.536196503195175,170297124321.48605,0.009999999999999619,9.80665,12.940033079317057,0.61177721664107,0.00027021802325415134,7.191663435768351e-06,True,False
0.004,0.43,3.125,0.5703112300704699,0.18249959362255036,200.0,1589314774220.8564,0.8172831473318453,0.00010000000000714841,8.649937402657869e-65,225340051583.89612,0.007329072406884235,31.547603015700957,165153355422.94672,0.009999999999999617,9.806650000000001,12.933670825026613,0.6219783135449244,0.0002714689325592699,7.1643562313542865e-06,True,False
0.004,0.43,4.0,0.7299983744902014,0.18249959362255036,200.0,1579100465685.8076,0.8143006713556127,0.00010000000000282634,1.4221410626745807e-64,225842219839.5034,0.007323186162883377,31.56027916409495,165388461932.35806,0.009999999999999613,9.80665,12.926632744908094,0.6305598570532563,0.00027241636972246173,7.174656825765001e-06,True,False
0.004,0.43,5.0,0.9124979681127519,0.18249959362255036,200.0,1598662036906.8406,0.8116940950468721,0.00010000000000467765,2.0697285954297193e-64,230376794866.67117,0.007318050165941983,31.571352131839387,168590894190.32916,0.009999999999999605,9.80665,12.920512417262357,0.6363112216942157,0.0002730358589076692,7.215790389941052e-06,True,False
0.005,0.34,2.0,0.2653679788190646,0.1326839894095323,160.0,1116789541538.6929,0.7626342366956097,0.00010000000000453852,5.5754963288540595e-55,185178212525.86267,0.007222859527759976,31.77871184161559,133751621667.60466,0.009999999999999572,9.80665,12.81041317615044,0.48141054831615593,0.00042632663231649277,3.522086608479724e-06,True,False
0.005,0.34,2.5,0.33170997352383075,0.1326839894095323,160.0,1031739989217.3872,0.7595761513355465,9.999999999664403e-05,1.2520161439725634e-54,172556154856.93353,0.007217019885521263,31.79156609353524,124534120097.16289,0.009999999999999573,9.80665,12.803855860937293,0.49244137315996406,0.0004311641214071716,3.017268037090405e-06,True,False
0.005,0.34,3.125,0.4146374669047884,0.1326839894095323,160.0,1007479799804.081,0.7562556058614139,0.00010000000000035466,2.5697632120631607e-54,170079488826.29242,0.007210691657215328,31.805513449534963,122639075114.3247,0.00999999999999957,9.806650000000001,12.79677448120045,0.5012690407111131,0.00043428911027784185,2.6822706352959597e-06,True,False
0.005,0.34,4.0,0.5307359576381292,0.1326839894095323,160.0,1021124631917.8727,0.752407720948998,0.0001000000000003118,5.1186106230023586e-54,174254597685.2533,0.007203374867524165,31.821662490271834,125522118951.6542,0.00999999999999957,9.80665,12.78861848859938,0.5089601431414512,0.00043667871416147553,2.6342040492854233e-06,True,False
0.005,0.34,5.0,0.6634199470476615,0.1326839894095323,160.0,1057132432819.1005,0.7488933332720266,9.999999983061463e-05,8.692140832090859e-54,182183649748.02164,0.007196707658469739,31.836399267916008,131112246738.96126,0.009999999999999568,9.80665,12.7812158501508,0.5143648714328197,0.0004382572837657155,2.4733018118137247e-06,True,False
0.005,0.37,2.0,0.297413014378426,0.148706507189213,160.0,1222959828300.591,0.7736802742040843,9.999999992137683e-05,1.5605562732749922e-54,196544580744.92917,0.007244045223146351,31.73220833056654,142377783128.06668,0.009999999999999577,9.806650000000001,12.834387718699839,0.5210648096008276,0.00042443415389016917,3.656964634231999e-06,True,False
0.005,0.37,2.5,0.37176626797303247,0.148706507189213,160.0,1125942598905.8506,0.770568632769447,0.00010000000000000864,3.190809842091283e-54,182556105976.59238,0.007238062636606905,31.745319675423428,132135252975.36798,0.009999999999999577,9.80665,12.827587919542948,0.5328155910341085,0.0004288839465667494,3.210058785579546e-06,True,False
0.005,0.37,3.125,0.4647078349662906,0.148706507189213,160.0,1094519937866.124,0.7672376656332647,0.00010000000000209051,6.003406851046834e-54,179142033415.55078,0.007231671070634087,31.759345305881485,129549626058.58594,0.009999999999999572,9.80665,12.820349173677785,0.5421515686010039,0.00043175002492931876,3.1905000373624393e-06,True,False
0.005,0.37,4.0,0.594826028756852,0.148706507189213,160.0,1102091951345.8467,0.7634330846853916,0.00010000000236460027,1.0958770336256067e-53,182329900823.89993,0.0072243868189115785,31.77535253153991,131722173220.56937,0.009999999999999573,9.80665,12.81213177638211,0.5501998135715809,0.00043393626521931103,3.18463655652039e-06,True,False
