scan_type,tail_definition,leak_cap,back_cap,success,shift_m,alpha_m,energy_J,backreaction,surface_min_mps2,surface_max_mps2,a_cm_mps2,conservative_leak,conservative_overlap,leak_on_energy,leak_off_energy,leak_noether,overlap_on_energy,overlap_off_energy,overlap_noether
tail_definition,on_energy,0.0001,0.01,True,0.5569448030038426,32.62020055372396,96140744336.06923,0.009999999999999997,9.80665,15.879085035552675,12.4346060906074,0.00010000000000309027,5.070650651849089e-30,0.00010000000000309027,6.797022209980991e-05,1.7491729953327576e-05,5.070650651849089e-30,2.8261999133950505e-30,6.4940399177126036e-31
tail_definition,off_energy,0.0001,0.01,True,0.5654338701753061,32.58649316635868,94290044097.30588,0.010000000000000005,9.806649999999998,15.914602856304668,12.447864771709018,0.0001457340415148993,8.276529311142746e-30,0.0001457340415148993,9.999999993627609e-05,2.587693615813818e-05,8.276529311142746e-30,4.613865284972829e-30,1.0602180548765863e-30
tail_definition,noether,0.0001,0.01,True,0.5953471338502125,32.46697376529199,87989207777.23454,0.010000000000001867,9.80665,16.043819991026623,12.495938017658787,0.000529493613193285,4.6463327390261874e-29,0.000529493613193285,0.0003774663018450247,0.00010000000005866318,4.6463327390261874e-29,2.5918699891873107e-29,5.956827110586981e-30
threshold,,0.0001,0.01,True,0.5569448030038426,32.62020055372396,96140744336.06923,0.009999999999999997,9.80665,15.879085035552675,12.4346060906074,0.00010000000000309027,5.070650651849089e-30,0.00010000000000309027,6.797022209980991e-05,1.7491729953327576e-05,,,
threshold,,0.0001,0.008,True,0.5569448030038426,29.1763943527836,120175930406.39207,0.008000000000911625,9.80665,15.879085035552675,12.4346060906074,0.00010000000000309027,5.070650651849089e-30,0.00010000000000309027,6.797022209980991e-05,1.7491729953327576e-05,,,
threshold,,0.0001,0.005,True,0.5569448030038426,23.06596501555761,192281488666.23276,0.005000000000153568,9.80665,15.879085035552675,12.434606090607408,0.00010000000000309027,5.070650651849089e-30,0.00010000000000309027,6.797022209980991e-05,1.7491729953327576e-05,,,
threshold,,0.0001,0.0025,True,0.5569448030038426,16.310100276854524,384562977344.6287,0.0024999999999977124,9.80665,15.879085035552675,12.4346060906074,0.00010000000000309027,5.070650651849089e-30,0.00010000000000309027,6.797022209980991e-05,1.7491729953327576e-05,,,
threshold,,8e-05,0.01,True,0.5519499085056424,32.63998964296817,97242869608.21834,0.010000000001672272,9.80665,15.858416441952716,12.426881626387772,8.000000000078348e-05,3.803743046901642e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,,,
threshold,,8e-05,0.008,True,0.5519499085056424,29.194094249756294,121553587017.51826,0.00800000000086097,9.80665,15.858416441952716,12.426881626387777,8.000000000078348e-05,3.803743046901642e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,,,
threshold,,8e-05,0.005,True,0.5519499085056424,23.079958012774622,194485739243.8543,0.0050000000001312606,9.80665,15.858416441952718,12.426881626387772,8.000000000078348e-05,3.803743046901642e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,,,
threshold,,8e-05,0.0025,True,0.5519499085056424,16.319994820104366,388971478498.642,0.0024999999999953597,9.806650000000001,15.858416441952722,12.426881626387772,8.000000000078348e-05,3.803743046901642e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,,,
threshold,,5e-05,0.01,True,0.5415412745961462,32.68112201068146,99571279273.80482,0.009999999999999804,9.80665,15.815882978691636,12.410964825167987,4.99999999985678e-05,2.0862390959394075e-30,4.99999999985678e-05,3.3450405685958026e-05,8.529991584124185e-06,,,
threshold,,5e-05,0.008,True,0.5415412745961462,29.23088416012544,124464099080.45213,0.008000000000758548,9.80665,15.815882978691635,12.410964825167985,4.99999999985678e-05,2.0862390959394075e-30,4.99999999985678e-05,3.3450405685958026e-05,8.529991584124185e-06,,,
