scan_type,label,payload_radius_m,payload_center_m,success,pass,shift_m,alpha_m,energy_J,backreaction,surface_min_mps2,surface_max_mps2,a_cm_mps2,conservative_leak,conservative_overlap,leak_on_energy,leak_off_energy,leak_noether,overlap_on_energy,overlap_off_energy,overlap_noether,omega,epsilon,chi
geometry,nominal,0.1,2.05,True,True,0.5519499085056424,29.194094249756294,121553587017.51826,0.00800000000086097,9.80665,15.858416441952716,12.426881626387777,8.000000000078348e-05,3.803743046901642e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,3.803743046901642e-30,2.119853161175648e-30,4.870881978997646e-31,,,
geometry,radius_minus10pct,0.09,2.05,True,True,0.5519499085056424,28.570776644231383,118807728708.42366,0.007999999999312647,9.80665,15.112696408570223,12.139317633446275,8.000000000078348e-05,1.8886238283268643e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,1.8886238283268643e-30,1.0523400678450928e-30,2.4179038841323863e-31,,,
geometry,radius_plus10pct,0.11,2.05,True,True,0.5519499085056424,29.830846821155696,124348816811.87856,0.008000000000003832,9.80665,16.641526663643457,12.720575711470833,8.000000000078348e-05,7.543360315960144e-30,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,7.543360315960144e-30,4.204808299033094e-30,9.66202549208867e-31,,,
geometry,center_minus5cm,0.1,2.0,True,True,0.5519499085056424,29.01560978879638,108304706213.8018,0.007999999998594623,9.80665,16.07322672086763,12.506842833022919,8.000000000078348e-05,6.802240337347106e-29,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,6.802240337347106e-29,3.795082190420834e-29,8.72248895284336e-30,,,
geometry,center_plus5cm,0.1,2.1,True,True,0.5519499085056424,29.369648535260776,136037114425.776,0.008000000000422445,9.80665,15.660445120279455,12.352557456889528,8.000000000078348e-05,2.1232495911586954e-31,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,2.1232495911586954e-31,1.1821604859957517e-31,2.7157558431023095e-32,,,
geometry,adverse_large_close,0.11,2.0,True,True,0.5519499085056424,29.665017757243362,110859711986.49596,0.00800000000004919,9.80665,16.889904125975825,12.810289024249492,8.000000000078348e-05,1.3474215721034753e-28,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,1.3474215721034753e-28,7.519187777286178e-29,1.728290258171948e-29,,,
geometry,benign_small_far,0.09,2.1,True,True,0.5519499085056424,28.757574701901195,133037547885.79616,0.00799999999887281,9.80665,14.94293734810295,12.073702864931965,8.000000000078348e-05,1.0552150576016093e-31,8.000000000078348e-05,5.408805512436084e-05,1.3876584942423182e-05,1.0552150576016093e-31,5.87411440630011e-32,1.3494069927325478e-32,,,
parameter_perturbation,omega_minus,,,True,True,0.5471173945094764,29.21119095051263,121055194412.9803,0.008000000000812843,9.80665,15.838579605786672,12.419461803367653,8.000000004431682e-05,3.7888672546289525e-30,8.000000004431682e-05,5.365634494523764e-05,1.3611107791757161e-05,3.7888672546289525e-30,2.0828760724768845e-30,4.711226312059248e-31,0.335,0.01,0.42601826862576553
parameter_perturbation,omega_plus,,,True,True,0.5566486182082206,29.177444724734467,122106068440.7672,0.008000000000908596,9.80665,15.877854719149767,12.434146469526004,7.999999999769059e-05,3.8395719332681494e-30,7.999999999769059e-05,5.451348998838699e-05,1.4144011497653033e-05,3.8395719332681494e-30,2.1686485127696613e-30,5.0615204936570995e-31,0.34500000000000003,0.01,0.42601826862576553
parameter_perturbation,epsilon_minus2pct,,,True,True,0.560143210201392,29.1650451658596,121883457455.45718,0.008000000000944495,9.80665,15.89240894121337,12.439582133239282,7.99999999898955e-05,1.2454051361155453e-30,7.99999999898955e-05,5.410259092738496e-05,1.389699014625488e-05,1.2454051361155453e-30,6.934810060402767e-31,1.5944821049301975e-31,0.34,0.0098,0.42601826862576553
parameter_perturbation,epsilon_plus2pct,,,True,True,0.5437422468893394,29.223115361766517,121267909570.98549,0.00800000000077981,9.80665,15.824817153560748,12.41431048243357,7.999999999999941e-05,1.1098231038868892e-29,7.999999999999941e-05,5.4073356708933145e-05,1.3856153238769482e-05,1.1098231038868892e-29,6.1903936911907344e-30,1.4214714976402921e-30,0.34,0.0102,0.42601826862576553
parameter_perturbation,chi_minus2pct,,,True,True,0.552602315778318,29.19178403270193,121416905320.7713,0.008000000000867534,9.80665,15.861106484630692,12.427887347547115,8.000000001694825e-05,3.643331877176062e-30,8.000000001694825e-05,5.46026754378513e-05,1.3832487052947675e-05,3.643331877176062e-30,2.0550123503062524e-30,4.67102339418142e-31,0.34,0.01,0.4174979032532502
parameter_perturbation,chi_plus2pct,,,True,True,0.5513263303212507,29.196301915944353,121715723480.6173,0.008000000000854707,9.80665,15.855847947298948,12.425921243661966,8.000000000822033e-05,3.967136466625009e-30,8.000000000822033e-05,5.358318216306487e-05,1.3918643084221955e-05,3.967136466625009e-30,2.1849290413650746e-30,5.0742384257460775e-31,0.34,0.01,0.43453863399828085
