epsilon_rmax,growth_dimensionless,h,h_target,intervals,lambda0,lambda1,lambda2,potential_center_proxy,potential_min,rmax
1.2,0.3544517673641268,0.5,0.5,240,-0.12563605538755307,0.0008516395433434704,0.0031049222204829383,-0.3797520827419547,-0.3797520827419547,120.0
1.2,0.35388837286724,0.25,0.25,480,-0.12523698045062268,0.00085192949024825,0.0031061926466550748,-0.3810341412822604,-0.3810341412822604,120.0
1.2,0.3537478797706236,0.125,0.125,960,-0.12513756244221158,0.0008520014084552573,0.0031065079545804855,-0.38135423535093227,-0.38135423535093227,120.0
3.0,0.35445176736412526,0.5,0.5,600,-0.12563605538755196,0.0002137340806003474,0.0005549196475727175,-0.3797520827419547,-0.3797520827419547,300.0
3.0,0.35388837286722585,0.25,0.25,1200,-0.12523698045061268,0.00021375080318303063,0.0005549890130834606,-0.3810341412822604,-0.3810341412822604,300.0
3.0,0.35374787977065303,0.125,0.125,2400,-0.1251375624422324,0.0002137549495860839,0.000555006217343049,-0.38135423535093227,-0.38135423535093227,300.0
5.0,0.35445176736412776,0.5,0.5,1000,-0.12563605538755374,0.000140348461988686,0.00026139243233078906,-0.3797520827419547,-0.3797520827419547,500.0
5.0,0.35388837286723557,0.25,0.25,2000,-0.12523698045061954,0.00014035197748084522,0.0002614068034422454,-0.3810341412822604,-0.3810341412822604,500.0
5.0,0.35374787977066324,0.125,0.125,4000,-0.1251375624422396,0.00014035284907761017,0.0002614103670806304,-0.38135423535093227,-0.38135423535093227,500.0
8.0,0.35445176736412715,0.5,0.5,1600,-0.1256360553875533,0.00011563238091433559,0.0001625293682968171,-0.3797520827419547,-0.3797520827419547,800.0
8.0,0.35388837286722785,0.25,0.25,3200,-0.1252369804506141,0.00011563322630909836,0.0001625327960686444,-0.3810341412822604,-0.3810341412822604,800.0
8.0,0.3537478797706095,0.125,0.125,6400,-0.1251375624422016,0.0001156334358993356,0.00016253364596732843,-0.38135423535093227,-0.38135423535093227,800.0
