candidate_pass,g_s,gate_energy_fraction,gate_gradient_floor_J,gate_radius_m,gate_total_positive_floor_J,gate_volume_energy_J,lambda_on_max,lambda_s,lambda_width_min,m_s_out_eV,naive_naturalness_cutoff_eV,naturalness_cutoff_over_mX,off_phi_mass_eV,off_phi_range_m,on_curvature_ratio,phi_boundary_eV,required_delta_m2_hat,source_scale_naturalness_pass,v_s_eV,wall_cap_m,wall_width_actual_m
True,1e-06,1.631207884814767e-20,8.093072560963962e-10,1.6980500914943577,1.982791695704937e-09,1.173484439608541e-09,18321815.406698287,3.8073100570426745e-13,3.6260095781358803e-13,2.0219998529542743e-06,25.40919953440316,4249310.372740617,2.3179366180618384e-06,0.08513044699427397,5.774727605220493e+19,10865053608.782568,0.1501650749306419,True,2.317165207143905,0.1,0.09759000729485333
True,1.0879024922894468e-06,1.378254339853875e-20,6.838069190161821e-10,1.6980500914943577,1.6753175883170016e-09,9.915106693008195e-10,25664238.941797663,4.5060726495815174e-13,4.2914977615062067e-13,2.0219998529542743e-06,23.356136891395963,3905966.2082381253,2.3179366180618384e-06,0.08513044699427397,6.834573946120764e+19,10865053608.782568,0.1501650749306419,True,2.1299383203613442,0.1,0.09759000729485333
True,1.1835318327295895e-06,1.164526632693263e-20,5.777680837186377e-10,1.6980500914943577,1.4155238938129807e-09,8.37755810094343e-10,35949121.08004786,5.33308042137189e-13,5.079124210830372e-13,2.0219998529542743e-06,21.468961655050467,3590364.243047351,2.3179366180618384e-06,0.08513044699427397,8.088935828378208e+19,10865053608.782568,0.1501650749306419,True,1.9578393610248799,0.1,0.09759000729485333
True,1.287567230530417e-06,9.839419612462008e-21,4.881728296112884e-10,1.6980500914943577,1.1960167480652764e-09,7.078439184539883e-10,50355645.04206644,6.311870445200562e-13,6.011305185905297e-13,2.0219998529542743e-06,19.734270127343773,3300262.9082056563,2.3179366180618384e-06,0.08513044699427397,9.573513045792504e+19,10865053608.782568,0.1501650749306419,True,1.7996459930013455,0.1,0.09759000729485333
True,1.4007475990842613e-06,8.31360791519166e-21,4.1247122900396434e-10,1.6980500914943577,1.010548863148778e-09,5.980776341448136e-10,70535548.8930139,7.470299595959957e-13,7.114571043771387e-13,2.0219998529542743e-06,18.139741628694864,3033601.753462653,2.3179366180618384e-06,0.08513044699427397,1.1330557440747436e+20,10865053608.782568,0.1501650749306419,True,1.654234644884454,0.1,0.09759000729485333
True,1.5238768041122235e-06,7.024405837921529e-21,3.4850877483597566e-10,1.6980500914943577,8.538417262661579e-10,5.053329514301821e-10,98802500.76197891,8.841337371845561e-13,8.420321306519582e-13,2.0219998529542743e-06,16.67405099010349,2788486.8128930996,2.3179366180618384e-06,0.08513044699427397,1.341007541369565e+20,10865053608.782568,0.1501650749306419,True,1.5205725298075086,0.1,0.09759000729485333
True,1.6578293731357647e-06,5.935122016719297e-21,2.9446506228075577e-10,1.6980500914943577,7.214353705188776e-10,4.2697030823812175e-10,138397365.72586283,1.046400422348099e-12,9.965718308077133e-13,2.0219998529542743e-06,15.3267881159217,2563177.152967857,2.3179366180618384e-06,0.08513044699427397,1.587125113141322e+20,10865053608.782568,0.1501650749306419,True,1.3977103100550172,0.1,0.09759000729485333
True,1.8035567068250495e-06,5.014754865554461e-21,2.488019790744694e-10,1.6980500914943577,6.095614419216972e-10,3.607594628472278e-10,193859777.7600888,1.2384482096306623e-12,1.1794744853625356e-12,2.0219998529542743e-06,14.08838404595167,2356072.507540409,2.3179366180618384e-06,0.08513044699427397,1.8784130939273062e+20,10865053608.782568,0.1501650749306419,True,1.2847753543735272,0.1,0.09759000729485333
True,1.9620938363403183e-06,4.237110254980542e-21,2.1021993003826116e-10,1.6980500914943577,5.150359500815964e-10,3.0481602004333516e-10,271548618.25645274,1.4657428792848564e-12,1.3959455993189107e-12,2.021999852954274e-06,12.950042991723674,2165701.911926086,2.3179366180618384e-06,0.08513044699427397,2.2231616916790434e+20,10865053608.782568,0.1501650749306419,True,1.1809655400915293,0.1,0.09759000729485336
True,2.134566774660394e-06,3.580056013540809e-21,1.7762084992123042e-10,1.6980500914943577,4.351686501695223e-10,2.5754780024829194e-10,380371075.057375,1.734753356230353e-12,1.652146053552717e-12,2.0219998529542747e-06,11.903679864241175,1990713.2553474111,2.3179366180618384e-06,0.08513044699427397,2.6311826314071124e+20,10865053608.782568,0.1501650749306419,True,1.0855435560279258,0.1,0.09759000729485331
