cells,common_translation_growth,common_translation_overlap,ell,h,h_target,max_physical_growth,near_complete,relative_translation_imag,relative_translation_overlap,relative_translation_real,right_complete,rmax
1200,nan,0.0,0,0.5,0.5,8.189621356006807e-12,True,-0.01422349138128376,0.4677845311407137,-2.6520899812480125e-12,False,600.0
1200,0.008467401407963432,0.9757271415152373,1,0.5,0.5,4.163017410768846e-05,True,0.0,0.9768182085218917,4.163017410768846e-05,False,600.0
1200,nan,0.0,2,0.5,0.5,3.801427016934146e-14,True,-0.011674325878950188,0.8340394803558377,-4.571225058094645e-18,True,600.0
1200,nan,0.0,3,0.5,0.5,1.4184605840098885e-11,True,-0.019486086446895094,0.7680474662116274,5.792667743859028e-17,True,600.0
1200,nan,0.0,4,0.5,0.5,2.390558545371503e-13,True,-0.02666014415321194,0.7051321549674413,1.6443027088574105e-17,True,600.0
1200,nan,0.0,5,0.5,0.5,8.019674986756098e-13,True,-0.033145866558514064,0.556729406390754,-1.0468691953352711e-17,True,600.0
1200,nan,0.0,6,0.5,0.5,7.334750652629782e-14,True,-0.038965023201515896,0.4030839521148816,8.111822777617621e-18,True,600.0
1200,nan,0.0,7,0.5,0.5,3.4093236112451084e-12,True,-0.046154139519324185,0.36074491816719184,-1.882600605490831e-16,True,600.0
1200,nan,0.0,8,0.5,0.5,4.304689778682121e-13,True,-0.05190309545103067,0.2991489869072919,4.304689778682121e-13,True,600.0
1600,nan,0.0,0,0.375,0.375,1.0256263138130729e-11,True,-0.014223743974966821,0.4677826368369723,-3.8490999828023616e-12,False,600.0
1600,0.006347924817435824,0.9762836445758709,1,0.375,0.375,3.123474911763488e-05,True,0.0,0.9768214049955557,3.123474911763488e-05,False,600.0
1600,nan,0.0,2,0.375,0.375,5.701141598743464e-16,True,-0.011674407432874729,0.8340388686750471,2.135010071025508e-17,False,600.0
1600,nan,0.0,3,0.375,0.375,9.177291392400454e-12,True,-0.019486162248781833,0.7680472738154729,5.053038574316573e-17,True,600.0
1600,nan,0.0,4,0.375,0.375,4.314691700661706e-13,True,-0.02666021265275838,0.7051318720598161,-1.8046248699489682e-17,True,600.0
1600,nan,0.0,5,0.375,0.375,4.188272753178496e-14,True,-0.03314590896397512,0.5567187508095035,2.022460568159093e-17,True,600.0
1600,nan,0.0,6,0.375,0.375,9.952765921174143e-12,True,-0.03896505888524749,0.40308291368729027,-7.8073144330797e-18,True,600.0
1600,nan,0.0,7,0.375,0.375,2.4698707820135864e-12,True,-0.04615425102303165,0.3607449190569168,-2.992486934519454e-16,True,600.0
1600,nan,0.0,8,0.375,0.375,4.019638576731927e-13,True,-0.05190329996320585,0.29915395074510337,5.6671577263392036e-14,True,600.0
2400,0.0042332204920800766,0.976616766278686,1,0.25,0.25,2.0846296933721084e-05,True,0.0,0.9768236734720107,2.0846296933721084e-05,False,600.0
1600,0.008467401474285721,0.9757271944767576,1,0.5,0.5,4.163017410768983e-05,True,0.0,0.9768182122205531,4.163017410768983e-05,False,800.0
