N,companion_dimension,ell,interior_nodes,low_translation_overlap_max_real,max_physical_real,projected_k0,rmax,translation_K_residual,translation_imag,translation_overlap,translation_real
112,1110,0,111,8.356518082666671e-08,1.072125305891608e-15,nan,600.0,nan,nan,nan,nan
112,1110,1,111,1.2320209311143427e-06,1.2320209311143427e-06,-0.37091435706955517,600.0,2.1332795400112848e-05,0.02179088781746082,0.8646773876006965,3.1749128165662496e-17
112,1110,2,111,7.861117305042891e-16,7.861117305042891e-16,nan,600.0,nan,nan,nan,nan
144,1430,0,143,0.0017311592353021893,1.0542968053797276e-15,nan,600.0,nan,nan,nan,nan
144,1430,1,143,1.344473482819862e-06,1.344473482819862e-06,-1.0147378221900651,600.0,8.329432198595512e-06,0.0,0.9906713093488594,0.009520720417891666
144,1430,2,143,1.281795243462203e-15,1.281795243462203e-15,nan,600.0,nan,nan,nan,nan
176,1750,0,175,3.38435211025322e-07,6.0140044425044885e-15,nan,600.0,nan,nan,nan,nan
176,1750,1,175,9.221236221346516e-07,9.221236221346516e-07,-2.265644556921603,600.0,6.678582191287896e-06,0.0038674129405869896,0.991790843748253,6.201529278910617e-16
176,1750,2,175,1.7526975808747281e-15,1.7526975808747281e-15,nan,600.0,nan,nan,nan,nan
208,2070,1,207,1.3058824563665842e-06,1.3058824563665842e-06,-4.421051569523006,600.0,6.125624887233026e-06,0.0,0.9919526779469249,-0.0015988305416063666
224,2230,1,223,1.2010834969626634e-06,1.2010834969626634e-06,-3.345228571641475,800.0,8.772627396902353e-07,0.0,0.992096006513371,0.0021373452238779393
