E_R_J,E_Y_J,E_source_J,E_stabilizer_J,E_total_path_J,QR_fraction,QY_fraction,Qtotal_fraction,q,source_branch,source_path_valid,unscalarized_lambda0
36966482341.05615,0.0,90815960813.65141,0.0,127782443154.70757,1.0,0.0,1.0,0.0,UNSCALARIZED,True,0.00013947840758249226
36896875214.57889,37689716.18126326,90815960813.65141,0.3241027420466344,127750525744.73566,0.99768922,0.00231078,1.0,0.00231078,UNSCALARIZED,True,0.00013903405825165517
36746195327.293846,112967831.00094275,nan,1.020248221619018,nan,0.99268922,0.00731078,1.0,0.00731078,MISSING_STABLE_SCALARIZED,False,-1.6290744181991485e-07
36665115525.37851,150705208.2379043,89875914811.28683,1.3917589417165819,126691735546.295,0.99,0.01,1.0,0.01,SCALARIZED,True,-0.004431227918818159
36595424575.60838,181900405.49628237,88490817771.88571,1.7093646156271765,125268142754.69974,0.98768922,0.01231078,1.0,0.01231078,SCALARIZED,True,-0.011076725724468297
36444562182.37492,246157756.36558604,85562280416.90872,2.3914519240711094,122253000358.04068,0.98268922,0.01731078,1.0,0.01731078,SCALARIZED,True,-0.02802898901387763
36142559310.22734,364466486.6741751,81451317980.29611,3.7345392842663006,117958343780.93217,0.97268922,0.02731078,1.0,0.02731078,SCALARIZED,True,-0.059228799949252224
36061280185.20792,394461002.7984909,80678961378.38475,4.0909277983790435,117134702570.48209,0.97,0.03,1.0,0.03,SCALARIZED,True,-0.06616569990183228
35234267143.21847,670038389.7530165,76775789909.01746,7.595103311310469,112680095449.58406,0.94268922,0.05731078,1.0,0.05731078,SCALARIZED,True,-0.10717819255156541
34849019983.4084,785440482.2033873,76130952447.64825,9.15186940462116,111765412922.41191,0.9299999999999999,0.07,1.0,0.07,SCALARIZED,True,-0.1149803548169638
32404516481.709263,1418993189.748878,75335679850.33405,17.92416818877416,109159189539.71634,0.85,0.15,1.0,0.15,SCALARIZED,True,-0.12498499224397683
27735180871.399353,2412346424.3935704,75313284147.87823,29.522159369745676,105460811473.19331,0.7,0.3,1.0,0.3,SCALARIZED,True,-0.12526777051673899
21266080205.880013,3583188265.0731153,75313256862.57805,35.14542782112581,100162525368.67662,0.5,0.5,1.0,0.5,SCALARIZED,True,-0.12526810150084836
14317180414.833849,4673187259.568013,75313256859.02528,29.52215936974568,94303624562.9493,0.30000000000000004,0.7,1.0,0.7,SCALARIZED,True,-0.12526810154161577
8421668369.6059,5459938215.885037,75313256859.02483,17.924168188774164,89194863462.43993,0.15000000000000002,0.85,1.0,0.85,SCALARIZED,True,-0.12526810154162016
4661558134.5637865,5871820254.403996,75313256859.02483,9.151869404621154,85846635257.14447,0.06999999999999995,0.93,1.0,0.93,SCALARIZED,True,-0.12526810154161555
2341110401.401593,6076077766.398045,75313256859.02483,4.090927798379047,83730445030.91539,0.030000000000000027,0.97,1.0,0.97,SCALARIZED,True,-0.1252681015416159
894429423.6659939,6177819870.999699,75313256859.02483,1.3917589417165832,82385506155.08228,0.010000000000000009,0.99,1.0,0.99,SCALARIZED,True,-0.12526810154161724
0.0,6228598108.122351,75313256859.02483,0.0,81541854967.14717,0.0,1.0,1.0,1.0,SCALARIZED,True,-0.12526810154162102
