E_source_scalarized_J,E_source_unscalarized_J,I_source_scalarized,bvp_rms,nodes,omega_x,q,success,u0,unscalarized_lambda0
75313256859.02483,90815960813.65141,3292.7340093907637,7.679432670649218e-06,1859,0.3400000003847928,1.0,True,2.215821433969285,-0.12526810154161852
75313256859.02483,90815960813.65141,3292.7340093907637,7.679432670649218e-06,1859,0.3400000003847928,0.99,True,2.215821433969285,-0.12526810154161944
75313256859.02483,90815960813.65141,3292.7340093907637,7.679432670649218e-06,1859,0.3400000003847928,0.97,True,2.215821433969285,-0.12526810154161303
75313256859.02483,90815960813.65141,3292.7340093907637,7.679432670649218e-06,1859,0.3400000003847928,0.93,True,2.215821433969285,-0.12526810154162038
75313256859.02483,90815960813.65141,3292.7340093907637,7.679432670649218e-06,1859,0.3400000003847928,0.85,True,2.215821433969285,-0.1252681015416179
75313256859.02528,90815960813.65141,3292.7340093907837,7.679432628316827e-06,1859,0.3400000003847963,0.7,True,2.2158214339692885,-0.12526810154161258
75313256862.57805,90815960813.65141,3292.7340095461122,7.679432611222758e-06,1859,0.3400000004098679,0.5,True,2.2158214340061746,-0.12526810150084777
75313284147.87823,90815960813.65141,3292.7352024733555,7.679441267153722e-06,1859,0.3400001815040609,0.3,True,2.21582177890268,-0.12526777051674293
75335679850.33405,90815960813.65141,3293.7143540094326,7.686163264618298e-06,1859,0.34014202588374004,0.15,True,2.2161421724355215,-0.12498499224397751
76130952447.64825,90815960813.65141,3328.4840776560236,7.91998340562198e-06,1859,0.34508939046100534,0.07,True,2.2276826077224365,-0.11498035481696241
76775789909.01746,90815960813.65141,3356.6767004176977,6.498312211485229e-06,1863,0.3491284382895276,0.05731078,True,2.2363611967125903,-0.10717819255156419
80678961378.38475,90815960813.65141,3527.3253481813526,7.5593751105903935e-06,2479,0.3748696262078532,0.03,True,2.267609085785804,-0.06616569990182831
81451317980.29611,90815960813.65141,3561.093172818806,7.785286570247837e-06,1865,0.3803192752553951,0.02731078,True,2.267742872901691,-0.05922879994925116
85562280416.90872,90815960813.65141,3740.8265476707293,7.461918323941898e-06,2522,0.41262588888099216,0.01731078,True,2.2038479865427094,-0.028028989013875058
88490817771.88571,90815960813.65141,3868.8636947636246,6.9957642037465425e-06,2094,0.4423352747104744,0.01231078,True,1.9964022001504809,-0.011076725724470712
89875914811.28683,90815960813.65141,3929.4208439051044,7.459693745378844e-06,1870,0.4622699156257731,0.01,True,1.7081639940740174,-0.004431227918818732
90815960836.75414,90815960813.65141,3970.5201356837456,7.923007393675367e-06,3059,0.49396039187296686,0.00731078,True,7.438555308024617e-80,-1.629074428718589e-07
90815960837.17044,90815960813.65141,3970.5201357019464,7.923007392519277e-06,1871,0.4939603918467582,0.00231078,True,-1.1397432395636579e-225,0.0001390340582513907
90815960837.17044,90815960813.65141,3970.5201357019464,7.923007392519277e-06,1871,0.4939603918467582,0.0,True,1.413e-321,0.00013947840758302496
