barrier_max_J,chirp_margin,compliance,compliance_identity_relerr,compliance_pass,coupling_pass,gate_energy_J,ghat,lambda,lambda_pass,radiation_threshold_pass,sigma,sigma_energy,threshold_Hz,total_control_inventory_J
8.535191448910792e-13,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1.137819047229958e+16,1e-10,3.75e-24,True,False,80.0,98.65809608852153,6183868704.255293,1.137819047229958e+16
9.576642316678238e-13,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1.014082293270143e+16,1.0592537251772898e-10,4.20756920363237e-24,True,False,80.0,98.65809608852153,6183868704.255293,1.014082293270143e+16
1.0745169409562106e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,9038017952218336.0,1.1220184543019652e-10,4.7209702942281415e-24,True,False,80.0,98.65809608852153,6183868704.255293,9038017952218336.0
1.205627837212954e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,8055141978784278.0,1.1885022274370164e-10,5.297015792335311e-24,True,False,80.0,98.65809608852153,6183868704.255293,8055141978784278.0
1.3527366823730999e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,7179152845391995.0,1.2589254117941662e-10,5.943349471729166e-24,True,False,80.0,98.65809608852153,6183868704.255293,7179152845391995.0
1.517795521433834e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,6398426708461151.0,1.333521432163324e-10,6.66854778764596e-24,True,False,80.0,98.65809608852153,6183868704.255293,6398426708461151.0
1.702994584905636e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,5702603806496004.0,1.4125375446227556e-10,7.482233681133311e-24,True,False,80.0,98.65809608852153,6183868704.255293,5702603806496004.0
1.910791351840439e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,5082450992344624.0,1.496235656094436e-10,8.395204269631302e-24,True,False,80.0,98.65809608852153,6183868704.255293,5082450992344624.0
2.143943159085554e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,4529739214945963.0,1.584893192461111e-10,9.419574118160893e-24,True,False,80.0,98.65809608852153,6183868704.255293,4529739214945963.0
2.405543789468446e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,4037134324821799.0,1.6788040181225588e-10,1.0568935992241682e-23,True,False,80.0,98.65809608852153,6183868704.255293,4037134324821799.0
2.699064524415078e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,3598099754369366.5,1.778279410038923e-10,1.1858541225631422e-23,True,False,80.0,98.65809608852153,6183868704.255293,3598099754369366.5
3.028400205745475e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,3206809781580492.5,1.8836490894898022e-10,1.3305502096259103e-23,True,False,80.0,98.65809608852153,6183868704.255293,3206809781580492.5
3.3979209178582913e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2858072226250081.0,1.9952623149688828e-10,1.4929018895756195e-23,True,False,80.0,98.65809608852153,6183868704.255293,2858072226250081.0
3.812529976095644e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2547259552899404.0,2.1134890398366433e-10,1.675063470566106e-23,True,False,80.0,98.65809608852153,6183868704.255293,2547259552899404.0
4.277728990758743e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2270247466191735.5,2.2387211385683377e-10,1.8794521261022678e-23,True,False,80.0,98.65809608852153,6183868704.255293,2270247466191735.5
4.799690870133831e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2023360184039140.0,2.371373705661655e-10,2.108779969463809e-23,True,False,80.0,98.65809608852153,6183868704.255293,2023360184039140.0
5.385341731234815e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1803321662207348.0,2.511886431509582e-10,2.3660900418007284e-23,True,False,80.0,98.65809608852153,6183868704.255293,1803321662207348.0
6.042452805167957e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1607212123199201.8,2.660725059798814e-10,2.6547966914405256e-23,True,False,80.0,98.65809608852153,6183868704.255293,1607212123199201.8
6.779743556647072e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1432429312581226.8,2.8183829312644494e-10,2.9787308802160467e-23,True,False,80.0,98.65809608852153,6183868704.255293,1432429312581226.8
7.606997385992852e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1276653968648292.8,2.985382618917957e-10,3.34219101800154e-23,True,False,80.0,98.65809608852153,6183868704.255293,1276653968648292.8
8.535191448910792e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1137819047229958.0,3.1622776601683795e-10,3.7500000000000005e-23,True,False,80.0,98.65809608852153,6183868704.255293,1137819047229958.0
9.576642316678239e-12,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1014082293270143.1,3.349654391578279e-10,4.2075692036323695e-23,True,False,80.0,98.65809608852153,6183868704.255293,1014082293270143.1
1.0745169409562111e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,903801795221833.8,3.5481338923357605e-10,4.720970294228143e-23,True,False,80.0,98.65809608852153,6183868704.255293,903801795221833.8
1.2056278372129539e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,805514197878427.8,3.7583740428844356e-10,5.297015792335311e-23,True,False,80.0,98.65809608852153,6183868704.255293,805514197878427.8
1.3527366823730998e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,717915284539199.2,3.9810717055349694e-10,5.943349471729165e-23,True,False,80.0,98.65809608852153,6183868704.255293,717915284539199.2
1.5177955214338344e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,639842670846115.0,4.2169650342858224e-10,6.668547787645961e-23,True,False,80.0,98.65809608852153,6183868704.255293,639842670846115.0
1.7029945849056356e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,570260380649600.6,4.4668359215096347e-10,7.482233681133309e-23,True,False,80.0,98.65809608852153,6183868704.255293,570260380649600.6
1.9107913518404387e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,508245099234462.44,4.731512589614812e-10,8.3952042696313e-23,True,False,80.0,98.65809608852153,6183868704.255293,508245099234462.44
2.143943159085554e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,452973921494596.3,5.011872336272714e-10,9.419574118160893e-23,True,False,80.0,98.65809608852153,6183868704.255293,452973921494596.3
2.4055437894684462e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,403713432482179.8,5.30884444230988e-10,1.0568935992241685e-22,True,False,80.0,98.65809608852153,6183868704.255293,403713432482179.8
2.699064524415078e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,359809975436936.7,5.623413251903491e-10,1.1858541225631423e-22,True,False,80.0,98.65809608852153,6183868704.255293,359809975436936.7
3.028400205745475e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,320680978158049.1,5.95662143529011e-10,1.3305502096259103e-22,True,False,80.0,98.65809608852153,6183868704.255293,320680978158049.1
3.397920917858291e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,285807222625008.06,6.309573444801942e-10,1.4929018895756194e-22,True,False,80.0,98.65809608852153,6183868704.255293,285807222625008.06
3.8125299760956444e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,254725955289940.38,6.683439175686135e-10,1.6750634705661063e-22,True,False,80.0,98.65809608852153,6183868704.255293,254725955289940.38
4.277728990758742e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,227024746619173.53,7.079457843841373e-10,1.8794521261022677e-22,True,False,80.0,98.65809608852153,6183868704.255293,227024746619173.53
4.799690870133831e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,202336018403913.97,7.498942093324559e-10,2.1087799694638093e-22,True,False,80.0,98.65809608852153,6183868704.255293,202336018403913.97
5.385341731234816e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,180332166220734.78,7.943282347242822e-10,2.366090041800729e-22,True,False,80.0,98.65809608852153,6183868704.255293,180332166220734.78
6.042452805167957e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,160721212319920.12,8.413951416451964e-10,2.6547966914405256e-22,True,False,80.0,98.65809608852153,6183868704.255293,160721212319920.12
6.779743556647072e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,143242931258122.66,8.912509381337441e-10,2.9787308802160465e-22,True,False,80.0,98.65809608852153,6183868704.255293,143242931258122.66
7.606997385992853e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,127665396864829.25,9.440608762859226e-10,3.3421910180015398e-22,True,False,80.0,98.65809608852153,6183868704.255293,127665396864829.25
8.535191448910793e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,113781904722995.78,1e-09,3.7500000000000004e-22,True,False,80.0,98.65809608852153,6183868704.255293,113781904722995.78
9.576642316678238e-11,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,101408229327014.3,1.0592537251772898e-09,4.2075692036323697e-22,True,False,80.0,98.65809608852153,6183868704.255293,101408229327014.3
1.074516940956211e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,90380179522183.36,1.1220184543019653e-09,4.720970294228143e-22,True,False,80.0,98.65809608852153,6183868704.255293,90380179522183.36
1.205627837212954e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,80551419787842.81,1.1885022274370164e-09,5.297015792335311e-22,True,False,80.0,98.65809608852153,6183868704.255293,80551419787842.81
1.3527366823731001e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,71791528453919.92,1.2589254117941663e-09,5.943349471729166e-22,True,False,80.0,98.65809608852153,6183868704.255293,71791528453919.92
1.5177955214338338e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,63984267084611.516,1.333521432163324e-09,6.668547787645959e-22,True,False,80.0,98.65809608852153,6183868704.255293,63984267084611.516
1.702994584905636e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,57026038064960.05,1.4125375446227555e-09,7.482233681133311e-22,True,False,80.0,98.65809608852153,6183868704.255293,57026038064960.05
1.9107913518404386e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,50824509923446.25,1.4962356560944358e-09,8.3952042696313e-22,True,False,80.0,98.65809608852153,6183868704.255293,50824509923446.25
2.1439431590855542e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,45297392149459.625,1.584893192461111e-09,9.419574118160895e-22,True,False,80.0,98.65809608852153,6183868704.255293,45297392149459.625
2.405543789468446e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,40371343248217.984,1.6788040181225589e-09,1.0568935992241682e-21,True,False,80.0,98.65809608852153,6183868704.255293,40371343248217.984
2.699064524415078e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,35980997543693.664,1.7782794100389228e-09,1.1858541225631422e-21,True,False,80.0,98.65809608852153,6183868704.255293,35980997543693.664
3.0284002057454745e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,32068097815804.93,1.883649089489802e-09,1.33055020962591e-21,True,False,80.0,98.65809608852153,6183868704.255293,32068097815804.93
3.3979209178582905e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,28580722262500.812,1.9952623149688828e-09,1.4929018895756193e-21,True,False,80.0,98.65809608852153,6183868704.255293,28580722262500.812
3.8125299760956433e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,25472595528994.043,2.113489039836643e-09,1.675063470566106e-21,True,False,80.0,98.65809608852153,6183868704.255293,25472595528994.043
4.277728990758743e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,22702474661917.35,2.2387211385683377e-09,1.879452126102268e-21,True,False,80.0,98.65809608852153,6183868704.255293,22702474661917.35
4.799690870133831e-10,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,20233601840391.395,2.3713737056616553e-09,2.108779969463809e-21,True,False,80.0,98.65809608852153,6183868704.255293,20233601840391.395
