E_doublet_exact_J,E_source_exact_J,E_stabilizer_J,E_total_exact_J,QR_fraction,QY_fraction,Qtotal_fraction,chemical_detuning_eV,chirp_Hz,dE_dq_J,q,source_branch
6228597769.672653,90815960813.65141,0.0,97044558583.32407,1.0,0.0,1.0,9.721330531364512e-15,2.3506072648842022,342.93726575543116,0.0,UNSCALARIZED
6228597769.672653,90815960813.65141,0.7906141859950452,97044558584.11469,0.99768922,0.00231078,1.0,9.667486347857827e-15,2.337587799234493,341.0378161884155,0.00231078,UNSCALARIZED
6228597769.672653,90815960813.65141,2.488787080771286,97044558585.81285,0.99268922,0.00731078,1.0,0.0,0.0,0.0,0.00731078,UNSCALARIZED
6228597769.672653,89875914811.28683,3.395047989591692,96104512584.35454,0.99,0.01,1.0,-1.2601679462030307e-05,-3047072537.8198533,-444546709392.5112,0.01,SCALARIZED
6228597769.672653,88490817771.88571,4.169813268529387,94719415545.72818,0.98768922,0.01231078,1.0,-1.6818961572468796e-05,-4066806815.4353943,-593318854440.6509,0.01231078,SCALARIZED
6228597769.672653,85562280416.90872,5.833692749269347,91790878192.41507,0.98268922,0.01731078,1.0,-1.3966637631315804e-05,-3377117954.816407,-492698042271.79803,0.01731078,SCALARIZED
6228597769.672653,81451317980.29611,9.11001158969485,87679915759.07878,0.97268922,0.02731078,1.0,-9.270056150172005e-06,-2241489604.964626,-327017757423.48785,0.02731078,SCALARIZED
6228597769.672653,80678961378.38475,9.979383484557397,86907559158.03679,0.97,0.03,1.0,-5.957034284099818e-06,-1440404481.6902082,-210145004617.36777,0.03,SCALARIZED
6228597769.672653,76775789909.01746,18.527447142535998,83004387697.21756,0.94268922,0.05731078,1.0,-2.0089912996277984e-06,-485771935.10273707,-70870749739.24413,0.05731078,SCALARIZED
6228597769.672653,76130952447.64825,22.325012537618097,82359550239.64592,0.9299999999999999,0.07,1.0,-5.630850915117775e-07,-136153369.39580297,-19863830475.435062,0.07,SCALARIZED
6228597769.672653,75335679850.33405,43.72410289625664,81564277663.7308,0.85,0.15,1.0,-9.25014160346261e-09,-2236674.288993119,-326315236.28450954,0.15,SCALARIZED
6228597769.672653,75313284147.87823,72.0161694761874,81541881989.56706,0.7,0.3,1.0,-8.109136155392153e-12,-1960.7803990720226,-286064.2349106873,0.3,SCALARIZED
6228597769.672653,75313256862.57805,85.73353509069929,81541854717.98424,0.5,0.5,1.0,-4.892508707403794e-15,-1.183003342395185,-172.5919670551714,0.5,SCALARIZED
6228597769.672653,75313256859.02528,72.01616947618741,81541854700.71411,0.30000000000000004,0.7,1.0,-3.4187409980413797e-15,-0.8266478956585344,-120.60218366320083,0.7,SCALARIZED
6228597769.672653,75313256859.02483,43.72410289625664,81541854672.42159,0.15000000000000002,0.85,1.0,-6.38334096260248e-15,-1.5434849779580742,-225.18373272431776,0.85,SCALARIZED
6228597769.672653,75313256859.02483,22.325012537618083,81541854651.02249,0.06999999999999995,0.93,1.0,-8.189174040194896e-15,-1.9801334735175722,-288.88771398925,0.93,SCALARIZED
6228597769.672653,75313256859.02483,9.979383484557406,81541854638.67686,0.030000000000000027,0.97,1.0,-9.063833331309328e-15,-2.1916251492052488,-319.74287983250673,0.97,SCALARIZED
6228597769.672653,75313256859.02483,3.395047989591695,81541854632.09253,0.010000000000000009,0.99,1.0,-9.49219654032131e-15,-2.2952029123379813,-334.85415571957117,0.99,SCALARIZED
6228597769.672653,75313256859.02483,0.0,81541854628.69748,0.0,1.0,1.0,-9.721249797505145e-15,-2.350587743523856,-342.93441772460903,1.0,SCALARIZED
