kind,loop_coefficient,epsilon,delta_m2_over_target,partial_energy_j,naturalness_energy_overlap
CURRENT_COUPLING_NDA,1.0,1.0,4.246658588793539e+22,,False
CURRENT_COUPLING_NDA,0.001,1.0,4.24665858879354e+19,,False
CURRENT_COUPLING_NDA,1e-06,1.0,4.246658588793539e+16,,False
CURRENT_COUPLING_NDA,1e-09,1.0,42466585887935.4,,False
CURRENT_COUPLING_NDA,1e-12,1.0,42466585887.9354,,False
HYPOTHETICAL_EPSILON_ESCAPE,1.0,4.852620475871404e-12,1.0,971808920964221.6,False
HYPOTHETICAL_EPSILON_ESCAPE,0.001,1.5345333324123792e-10,1.0,30731296952337.277,False
HYPOTHETICAL_EPSILON_ESCAPE,1e-06,4.852620475871404e-09,1.0,971809483366.0864,False
HYPOTHETICAL_EPSILON_ESCAPE,1e-09,1.534533332412379e-07,1.0,30731859354.202206,False
HYPOTHETICAL_EPSILON_ESCAPE,1e-12,4.852620475871404e-06,1.0,972371885.231012,False
