source_id,portal_id,field_sector,metric_structure,status,exact_a12c_kernel_reuse,conditional_a12c_kernel_reuse,priority_score_not_probability,source_next_gate,complete_energy_certified
ELECTRON_PAULI_MAGNETIZATION,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,True,False,150,032H17A12D1_PAULI_SOURCE_ENERGY_UV_EMPIRICAL_GATE,False
COMPOSITE_ATOMIC_NUCLEAR_MAGNETIZATION,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,True,110,CANONICAL_CURRENT_PER_JOULE_BOUND,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,True,105,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,85,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,85,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,85,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,85,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,85,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,True,75,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
INTERACTING_BOUND_STATE_DIRAC,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,70,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
INTERACTING_BOUND_STATE_DIRAC,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,60,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
INTERACTING_BOUND_STATE_DIRAC,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,60,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
INTERACTING_BOUND_STATE_DIRAC,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,60,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,55,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,55,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,55,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,55,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,55,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
PSEUDOTENSOR_DERIVATIVE_CURRENT,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
PSEUDOTENSOR_DERIVATIVE_CURRENT,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
