stage,grid_spacing_m,portal_scale_ev,portal_scale_kev,density_model,z_max,unit_source_payload_acceleration_min_m_s2,unit_source_payload_acceleration_max_m_s2,whole_payload_outward_sign,normalizable_to_whole_payload_1g,canonical_field_energy_j,payload_interaction_energy_j,loaded_quadratic_capacity_j,source_work_j,source_work_relative_error,integrated_canonical_source_ev_m,integrated_source_ratio_vs_a12c,payload_sigma_max,exact_payload_conformal_shift_j,strict_whole_payload_1g_pass,loaded_capacity_below_100j,loaded_capacity_below_10kj,loaded_capacity_below_1mj,loaded_capacity_strictly_below_10mj,complete_energy_established
BROAD_H0P100,0.1,250.0,0.25,OPTIMISTIC_FLAT_C1,4860745.645527984,-1.890219514543429e-10,4.828932097854315e-10,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,500.0,0.5,OPTIMISTIC_FLAT_C1,303797.540345499,-1.1812473656086993e-11,3.0180112659104207e-11,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,1000.0,1.0,OPTIMISTIC_FLAT_C1,18988.283771593688,-7.368953557783751e-13,1.8855476308741153e-12,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,2000.0,2.0,OPTIMISTIC_FLAT_C1,1187.7052357246055,-4.486328260645867e-14,1.1718771314257438e-13,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,5000.0,5.0,OPTIMISTIC_FLAT_C1,31.3796540345499,-1.3378868202973585e-15,2.810830770090255e-15,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,10000.0,10.0,OPTIMISTIC_FLAT_C1,2.898728377159369,-2.7825559007609566e-17,1.1826837808015793e-16,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,12000.0,12.0,OPTIMISTIC_FLAT_C1,1.9156676201578746,-3.9644817189395964e-18,4.6676201450705684e-17,False,False,,,,,,,,,,False,False,False,False,False,False
BROAD_H0P100,0.1,14000.0,14.0,OPTIMISTIC_FLAT_C1,1.4942545754788028,8.711071159340356e-19,2.1783683508611776e-17,True,True,774250.9873430148,48.837839580723085,774299.8251825955,774299.8251825976,2.7062847294207657e-15,11038475787.677284,539.4093389809942,7.857005939678069e-16,48.74134523352224,True,False,False,True,True,False
BROAD_H0P100,0.1,16000.0,16.0,OPTIMISTIC_FLAT_C1,1.2897229579405776,1.7612043419918625e-18,1.1428569760449697e-17,True,True,382970.2696167459,15.756820185983088,382986.02643693186,382986.0264369329,2.7357078956376738e-15,7763186441.652952,379.3581059038022,2.452331002300378e-16,15.759988718703344,True,False,False,True,True,False
BROAD_H0P100,0.1,18000.0,18.0,OPTIMISTIC_FLAT_C1,1.1808726163274814,1.6113163187772432e-18,6.626427670465135e-18,True,True,418607.42952705565,11.431331434112508,418618.86085848976,418618.86085849116,3.337125945683215e-15,8116232647.449112,396.61016353940863,1.7631447907745319e-16,11.443992731414705,True,False,False,True,True,False
