stage,grid_spacing_m,portal_scale_ev,portal_scale_kev,z_max,retained_energy_rank,discarded_near_null_dimension,energy_condition_number_retained,signed_margin_m_s2_per_j,signed_predicted_capacity_j,nonnegative_margin_m_s2_per_j,nonnegative_predicted_capacity_j,best_lane,best_predicted_capacity_j,physical_model_found,complete_energy_established
BROAD_H0P125,0.125,500.0,0.5,303797.540345499,15,0,163156.02382649624,-3.845213446747488e-11,,-10.074275252057701,,SIGNED_MULTIPOLAR,,False,False
BROAD_H0P125,0.125,750.0,0.75,60010.19315466647,15,0,163156.03392624005,-3.1556107730598064e-10,,-1.990078633109234,,SIGNED_MULTIPOLAR,,False,False
BROAD_H0P125,0.125,1000.0,1.0,18988.283771593688,15,0,163156.0610986924,-9.336787331000777e-11,,-0.6297568643877804,,SIGNED_MULTIPOLAR,,False,False
BROAD_H0P125,0.125,1250.0,1.25,7778.191432844775,15,0,163156.1183285284,-3.286629465205873e-11,,-0.2580201355105185,,SIGNED_MULTIPOLAR,,False,False
BROAD_H0P125,0.125,1500.0,1.5,3751.5745721666544,15,0,163156.22215512075,-1.2318137746565005e-11,,-0.124493182029762,,SIGNED_MULTIPOLAR,,False,False
BROAD_H0P125,0.125,2000.0,2.0,1187.7052357246055,15,0,163156.65207180727,1.2256963015913976e-12,8000880795077.392,-0.039469381336318894,,SIGNED_MULTIPOLAR,8000880795077.392,False,False
BROAD_H0P125,0.125,3000.0,3.0,235.4109107604159,15,0,163159.1023597124,1.6060190803454532e-09,6106185237.780985,-0.007870186842691492,,SIGNED_MULTIPOLAR,6106185237.780985,False,False
BROAD_H0P125,0.125,5000.0,5.0,31.3796540345499,15,0,163174.7519462622,4.255671271009505e-08,230437206.62366208,-0.0010052118479469056,,SIGNED_MULTIPOLAR,230437206.62366208,False,False
BROAD_H0P125,0.125,8000.0,8.0,5.63556732704924,15,0,163213.249301897,1.194543293323366e-06,8209539.206165308,-9.335749720399409e-05,,SIGNED_MULTIPOLAR,8209539.206165308,False,False
BROAD_H0P125,0.125,12000.0,12.0,1.9156676201578746,15,0,163242.14041302406,5.788807490882378e-05,169407.08454108893,3.298515873812682e-05,297304.9206116055,SIGNED_MULTIPOLAR,169407.08454108893,False,False
REFINED_H0P100,0.1,1000.0,1.0,18988.283771593688,15,0,166433.7664052572,-1.0752673609449227e-11,,-0.536883257255222,,SIGNED_MULTIPOLAR,,False,False
REFINED_H0P100,0.1,12000.0,12.0,1.9156676201578746,15,0,166515.20214040196,3.5793724456178113e-06,2739767.975809888,-5.82710169188709e-06,,SIGNED_MULTIPOLAR,2739767.975809888,False,False
REFINED_H0P100,0.1,8000.0,8.0,5.63556732704924,15,0,166490.28621505154,7.363817499193141e-07,13317345.250713399,-0.00016741424649857145,,SIGNED_MULTIPOLAR,13317345.250713399,False,False
REFINED_H0P100,0.1,5000.0,5.0,31.3796540345499,15,0,166459.16936318798,8.281009637267466e-08,118423361.75853018,-0.0016846358856482742,,SIGNED_MULTIPOLAR,118423361.75853018,False,False
