grid_spacing_m,field_energy_ratio_cap,selected_E_over_B,actual_field_energy_ratio,interface_driver_ratio_vs_equal_split
0.075,1.1,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.075,1.25,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.075,1.5,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.075,2.0,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.075,5.0,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.075,10.0,1.0034598491478393,1.0000059646413038,0.9999939057206074
0.05,1.1,1.0069316688518044,1.000023858636369,0.9999864718717213
0.05,1.25,1.0069316688518044,1.000023858636369,0.9999864718717213
0.05,1.5,1.0069316688518044,1.000023858636369,0.9999864718717213
0.05,2.0,1.0069316688518044,1.000023858636369,0.9999864718717213
0.05,5.0,1.0069316688518044,1.000023858636369,0.9999864718717213
0.05,10.0,1.0069316688518044,1.000023858636369,0.9999864718717213
