grid_spacing_m,fit_radius_m,lmax,relative_rms_field_residual,multipole_magnetic_exterior_energy_j,direct_numerical_magnetic_exterior_energy_j,exterior_energy_relative_error,electric_total_minimum_energy_j
0.075,2.2,8,0.009986704780316264,0.2875592909382941,0.28841442732086237,0.0029649570255961774,0.21566948138502517
0.075,2.2,12,0.00998254758250841,0.2875593105167537,0.28841442732086237,0.0029648891425162176,0.2156695000931023
0.075,2.2,16,0.009974337178648734,0.28755937106311613,0.28841442732086237,0.0029646792141746086,0.21566955866275467
0.075,2.4,8,0.011289573909120599,0.28746995708059286,0.28841442732086237,0.0032746983188145927,0.21560248732125903
0.075,2.4,12,0.011286964873207505,0.2874700207880749,0.28841442732086237,0.00327447743013505,0.21560254812906893
0.075,2.4,16,0.011281037046021241,0.2874704917356589,0.28841442732086237,0.0032728445451631846,0.21560300357009737
0.075,2.6,8,0.013352543172549287,0.2874431312230279,0.28841442732086237,0.0033677098155492123,0.21558238903303106
0.075,2.6,12,0.013350530605251595,0.2874434496098759,0.28841442732086237,0.0033666058941852406,0.21558269375810746
0.075,2.6,16,0.013346831815435993,0.2874468003504589,0.28841442732086237,0.0033549880960947547,0.2155859370615907
0.05,2.2,8,0.007808324386814277,0.3021964496503437,0.30319183408597206,0.0032830186163460688,0.22664733992693117
0.05,2.2,12,0.007808066331322729,0.30219645058143996,0.30319183408597206,0.003283015545365419,0.2266473408137575
0.05,2.2,16,0.00780759835924831,0.3021964532624048,0.30319183408597206,0.0032830067028949508,0.22664734340443413
0.05,2.4,8,0.009731766647820422,0.3021809180856764,0.30319183408597206,0.003334245473144995,0.22663569498934366
0.05,2.4,12,0.009731703069783692,0.3021809195243338,0.30319183408597206,0.00333424072810488,0.2266356963630148
0.05,2.4,16,0.009731629435742942,0.30218092634409854,0.30319183408597206,0.003334218234871269,0.22663570296916566
0.05,2.6,8,0.012263487634005817,0.3021683290658711,0.30319183408597206,0.003375767105293261,0.22662626376174905
0.05,2.6,12,0.012262872973675511,0.3021684115096475,0.30319183408597206,0.003375495185778458,0.2266263425834274
0.05,2.6,16,0.012262601774528259,0.30216866935144293,0.30319183408597206,0.003374644761174537,0.226626592236425
