portal_scale_ev,portal_scale_over_q,q_over_portal_scale,field_energy_j,optimistic_electron_rest_floor_j,partial_total_j,optimistic_fully_polarized_electron_count,strict_partial_sub10mj,complete_energy_certified
4.93317451e-08,0.5,2.0,1.5735278915167857e-41,1527880.527979243,1527880.527979243,1.8662034785148477e+19,True,False
9.86634902e-08,1.0,1.0,2.517644626426857e-40,6111522.111916972,6111522.111916972,7.464813914059391e+19,True,False
1.0852983922e-07,1.1,0.9090909090909091,3.686083497551564e-40,7394941.755419539,7394941.755419539,9.032424836011865e+19,True,False
1.1839618823999999e-07,1.2,0.8333333333333334,5.2205878973587306e-40,8800591.841160439,8800591.841160439,1.0749332036245522e+20,True,False
1.2620651681478093e-07,1.2791612840671729,0.7817622472284634,6.740554946131965e-40,10000000.0,10000000.0,1.2214328570461372e+20,False,False
1.973269804e-07,2.0,0.5,4.028231402282971e-39,24446088.44766789,24446088.44766789,2.9859255656237564e+20,False,False
9.86634902e-07,10.0,0.09999999999999999,2.5176446264268572e-36,611152211.1916972,611152211.1916972,7.464813914059391e+21,False,False
1e-06,10.13546143535879,0.0986634902,2.65685914205971e-36,627821867.5531608,627821867.5531608,7.668422574014988e+21,False,False
0.001,10135.461435358791,9.866349019999999e-05,2.6568591420597107e-24,627821867553161.0,627821867553161.0,7.66842257401499e+27,False,False
1.0,10135461.43535879,9.86634902e-08,2.656859142059712e-12,6.27821867553161e+20,6.27821867553161e+20,7.66842257401499e+33,False,False
1000.0,10135461435.358791,9.866349019999999e-11,2.6568591420597114,6.27821867553161e+26,6.27821867553161e+26,7.66842257401499e+39,False,False
