name,kind,source_norm,trace_12,trace_23,analytic_trace,trace_12_norm,trace_23_norm,analytic_reconstruction_error,projective_compatible
D0,DIAGONAL,4.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True
D1,DIAGONAL,4.898979485566356,"[0.0, 2.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]",2.0,2.0,0.0,False
D2,DIAGONAL,4.898979485566356,"[0.0, -2.0, 0.0, 0.0]","[0.0, -2.0, 0.0, 0.0]","[0.0, -2.0, 0.0, 0.0]",2.0,2.0,0.0,False
D3,DIAGONAL,4.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True
R01,REAL_CROSS,3.5355339059327373,"[-0.4999999999999999, 0.9999999999999998, 0.0, 0.0]","[-0.4999999999999999, 0.9999999999999998, 0.0, 0.0]","[-0.4999999999999999, 0.9999999999999998, 0.0, 0.0]",1.1180339887498947,1.1180339887498947,0.0,False
R02,REAL_CROSS,3.535533905932737,"[0.0, -0.9999999999999998, 0.0, -0.4999999999999999]","[0.0, -0.9999999999999998, 0.0, -0.4999999999999999]","[0.0, -0.9999999999999998, 0.0, -0.4999999999999999]",1.1180339887498947,1.1180339887498947,0.0,False
R03,REAL_CROSS,4.472135954999579,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True
R12,REAL_CROSS,2.4494897427831774,"[0.0, 0.0, 0.9999999999999998, 0.0]","[0.0, 0.0, 0.9999999999999998, 0.0]","[0.0, 0.0, 0.9999999999999998, 0.0]",0.9999999999999998,0.9999999999999998,0.0,False
R13,REAL_CROSS,3.535533905932737,"[0.0, 0.9999999999999998, 0.0, 0.4999999999999999]","[0.0, 0.9999999999999998, 0.0, 0.4999999999999999]","[0.0, 0.9999999999999998, 0.0, 0.4999999999999999]",1.1180339887498947,1.1180339887498947,0.0,False
R23,REAL_CROSS,3.5355339059327373,"[0.4999999999999999, -0.9999999999999998, 0.0, 0.0]","[0.4999999999999999, -0.9999999999999998, 0.0, 0.0]","[0.4999999999999999, -0.9999999999999998, 0.0, 0.0]",1.1180339887498947,1.1180339887498947,0.0,False
I01,IMAG_CROSS,4.582575694955839,"[-0.4999999999999999, 1.9999999999999996, 0.0, 0.4999999999999999]","[-0.4999999999999999, 1.9999999999999996, 0.0, 0.4999999999999999]","[-0.4999999999999999, 1.9999999999999996, 0.0, 0.4999999999999999]",2.121320343559642,2.121320343559642,0.0,False
I02,IMAG_CROSS,4.743416490252568,"[0.4999999999999999, -0.9999999999999998, 0.9999999999999998, 0.0]","[0.4999999999999999, -0.9999999999999998, 0.9999999999999998, 0.0]","[0.4999999999999999, -0.9999999999999998, 0.9999999999999998, 0.0]",1.4999999999999998,1.4999999999999998,0.0,False
I03,IMAG_CROSS,5.338539126015655,"[0.0, 0.0, 0.4999999999999999, 0.9999999999999998]","[0.0, 0.0, 0.4999999999999999, 0.9999999999999998]","[0.0, 0.0, 0.4999999999999999, 0.9999999999999998]",1.1180339887498947,1.1180339887498947,0.0,False
I12,IMAG_CROSS,2.9154759474226495,"[0.0, -0.9999999999999998, -0.4999999999999999, 0.0]","[0.0, -0.9999999999999998, -0.4999999999999999, 0.0]","[0.0, -0.9999999999999998, -0.4999999999999999, 0.0]",1.1180339887498947,1.1180339887498947,0.0,False
I13,IMAG_CROSS,4.3011626335213125,"[-0.4999999999999999, 0.9999999999999998, 0.0, -0.9999999999999998]","[-0.4999999999999999, 0.9999999999999998, 0.0, -0.9999999999999998]","[-0.4999999999999999, 0.9999999999999998, 0.0, -0.9999999999999998]",1.4999999999999998,1.4999999999999998,0.0,False
I23,IMAG_CROSS,3.872983346207416,"[-0.4999999999999999, -0.9999999999999998, 0.0, 0.4999999999999999]","[-0.4999999999999999, -0.9999999999999998, 0.0, 0.4999999999999999]","[-0.4999999999999999, -0.9999999999999998, 0.0, 0.4999999999999999]",1.224744871391589,1.224744871391589,0.0,False
