name,kind,raw_source_norm,projected_source_norm,projected_trace_12,projected_trace_23,projected_trace_12_norm,projected_trace_23_norm,projective_compatible_after_action_projection
D0,DIAGONAL,4.0,4.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
D1,DIAGONAL,4.898979485566356,4.732863826479693,"[0.0, -1.1102230246251565e-16, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.1102230246251565e-16,0.0,True
D2,DIAGONAL,4.898979485566356,4.732863826479693,"[0.0, 1.1102230246251565e-16, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.1102230246251565e-16,0.0,True
D3,DIAGONAL,4.0,4.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R01,REAL_CROSS,3.5355339059327373,3.464101615137754,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R02,REAL_CROSS,3.535533905932737,3.464101615137754,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R03,REAL_CROSS,4.472135954999579,4.472135954999579,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R12,REAL_CROSS,2.4494897427831774,2.366431913239846,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R13,REAL_CROSS,3.535533905932737,3.464101615137754,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
R23,REAL_CROSS,3.5355339059327373,3.464101615137754,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I01,IMAG_CROSS,4.582575694955839,4.381780460041328,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I02,IMAG_CROSS,4.743416490252568,4.6475800154488995,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I03,IMAG_CROSS,5.338539126015655,5.29150262212918,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I12,IMAG_CROSS,2.9154759474226495,2.8284271247461894,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I13,IMAG_CROSS,4.3011626335213125,4.195235392680606,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
I23,IMAG_CROSS,3.872983346207416,3.794733192202054,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,True
