sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
2607315,0.0313635912836777,981942677726.7307,983674858209.5841,0.1078327065553069,9.09172700733276e-06,1.0000000000826597,4.132982844851085e-11,24195600067.53502,2457038.024445202,0.00010154896004178822
6271187,0.031836581034992026,995674155893.8717,1000000000000.0,0.4923344939850178,9.081902788562145e-06,1.000000000082481,4.124056651733099e-11,24247969522.430267,5329265.9455238655,0.0002197819467149238
4793939,0.03196612016033022,999571502158.945,1000000000000.0,1.455981486723395,9.080504434690707e-06,1.0000000000824556,4.122790997485026e-11,24255413398.59375,9201925.078156812,0.00037937613871756603
1040595,0.031609317263740534,987883798417.2482,999148937879.8053,0.011690437482867282,9.075630041729275e-06,1.0000000000823672,4.118372309847018e-11,24281437538.053623,815344.8573196199,3.3578936833612906e-05
7837907,0.03144207595963096,980091992054.1178,988604140651.203,2.563819513772917,9.051939962671495e-06,1.0000000000819376,4.096878392090275e-11,24408827997.693832,12010629.655051831,0.0004920608910918053
9665747,0.03116805996362261,967543739274.1321,971447961895.9746,0.23457025402412773,9.014608555759845e-06,1.0000000000812632,4.0631720210626554e-11,24611313397.911873,3601281.5718911984,0.00014632626522876856
7307475,0.031693248841950655,982883315439.0483,1000000000000.0,0.21554973046730655,9.005778040748215e-06,1.000000000081104,4.055200619745847e-11,24659692423.86517,3510357.448189016,0.00014235203699425547
1571027,0.031504856276620835,976540167553.342,992555969010.5353,1.4942401204695734,9.001163397785625e-06,1.000000000081021,4.051048385633749e-11,24684968057.807076,9187525.091149643,0.0003721910868847132
1668691,0.032045967201693205,992582333554.044,1000000000000.0,0.03388041596720507,8.994544896142746e-06,1.000000000080902,4.045097590221758e-11,24721282433.76147,1407208.9532618967,5.6922975457781804e-05
3398867,0.03119089154209291,965947229541.354,972871715190.603,0.8638891889323995,8.993146108026148e-06,1.0000000000808766,4.043831935973685e-11,24729019796.89265,6916201.647391935,0.0002796795709735732
6524115,0.030968236991569437,958883737655.8018,959031702366.0096,0.03707844509837131,8.991569551037813e-06,1.0000000000808484,4.0424330549626575e-11,24737577256.16158,1422617.2731270583,5.75083508944966e-05
8874195,0.031313159580526176,968467249644.8291,980513962915.4983,0.41349220772725315,8.981400940151914e-06,1.0000000000806657,4.033284817239746e-11,24793686667.642002,4803650.424446025,0.00019374490324245415
4182227,0.03177197724165966,976512379448.8013,1000000000000.0,4.748362884534649,8.925232683622085e-06,1.0000000000796598,3.9829917142242266e-11,25106755719.043003,16516842.691013772,0.0006578644758345283
9037395,0.03195969527718864,982266867361.8336,1000000000000.0,0.022027899907958892,8.925096119483898e-06,1.0000000000796574,3.982880691921764e-11,25107455566.726852,1131618.4404337846,4.50710123702634e-05
8776275,0.03249909482580234,998838966195.5745,1000000000000.0,0.12010270071998339,8.925041579365032e-06,1.0000000000796565,3.982836283000779e-11,25107735516.72509,2686943.2295027603,0.00010701654984826884
1832147,0.030876694053298466,947666142606.1935,953370235660.9968,8.243655375563677,8.912727056503183e-06,1.0000000000794367,3.97184507505699e-11,25177215654.25488,21149570.261832464,0.0008400281648403105
2704979,0.03189893068327201,978694904389.7217,1000000000000.0,2.4971224992798193,8.909580146489815e-06,1.0000000000793807,3.9690473130349346e-11,25194962950.32445,12025603.69731355,0.0004773019004244532
6360659,0.03215992917792794,986678720445.1411,1000000000000.0,4.891532037881176,8.909364247993103e-06,1.0000000000793767,3.968847472890502e-11,25196231571.77422,16968692.2703481,0.0006734615143542766
3235411,0.0323910047464248,993534785198.1742,1000000000000.0,0.20994641647947004,8.907271577924714e-06,1.0000000000793396,3.966982298209132e-11,25208078202.200283,3540702.940974097,0.00014045905890061256
5487827,0.031127602450839068,954774033997.7957,968927634337.4823,2.8313355443304298,8.907195096043815e-06,1.000000000079338,3.9669156848276543e-11,25208501502.18017,12495458.044203816,0.00049568428504658
7935571,0.03212871865604615,985041143559.7812,1000000000000.0,0.11108765822340887,8.903217882746571e-06,1.0000000000792673,3.963362971148854e-11,25231098117.41849,2554683.7782063466,0.00010125139089537685
9567827,0.03236733169733573,990717772311.2369,1000000000000.0,0.7705178049980712,8.888512591222996e-06,1.0000000000790057,3.9502845439187695e-11,25314632120.347916,6778117.243697275,0.0002677549178464664
2093267,0.03180701220448719,973324380136.9644,1000000000000.0,0.1635482742319949,8.886295745945123e-06,1.0000000000789664,3.948330551395429e-11,25327160099.262142,3068715.997163615,0.00012116305125156991
4696275,0.03127938830054837,956285101545.7683,978400132456.4822,0.032901559891705484,8.878000700142952e-06,1.000000000078819,3.940958670511918e-11,25374536593.91214,1353559.4480841793,5.334321842980673e-05
9926867,0.03148366886477276,961748556256.167,991221405186.6616,5.7762352912619255,8.870788885679502e-06,1.000000000078691,3.934563785890077e-11,25415778073.95439,18051721.002428994,0.0007102564772914844
5218515,0.031588626165623246,964521266899.5106,997841303031.4977,6.899345325127926,8.86680395473434e-06,1.0000000000786202,3.931011072211277e-11,25438747986.977276,19794544.773745004,0.0007781257467497347
7674451,0.03263278294038384,995343660366.3887,1000000000000.0,0.019306985971600917,8.85737391885639e-06,1.000000000078453,3.9226621950660956e-11,25492891058.98017,1081738.262698621,4.243293788044357e-05
