complete_action_provenance,coupling,dlnc_dy,exterior_scalar_energy_j,jacobian_kinetic_eigenvalue,model_id,physical_energy_prediction,record_type,reference,scale_ev,static_outward,under_10mj_bare_only,y_source_surface
True,A(chi)=1+chi; static chi=-Y gives C=(1-Y)^2,-2.000002000002,,0.999999999999,BV_GOLDSTONE_LINEAR_A,,OPERATOR_SIGN_AUDIT,Brax_Valageas_PRD95_043515_2017_arXiv1611.08279,,False,,
False,derivative-conformal probe C=exp(-Y),-1.0,,0.9999999999995,ZGB_EXPONENTIAL_TRANSFORMATION_PROBE,,OPERATOR_SIGN_AUDIT,Zumalacarregui_GarciaBellido_PRD89_064046_2014_arXiv1308.4685,,False,,
False,derivative-conformal probe C=exp(-Y^2/2),-1e-06,,1.0000000000005,ZGB_GAUSSIAN_TRANSFORMATION_PROBE,,OPERATOR_SIGN_AUDIT,Zumalacarregui_GarciaBellido_PRD89_064046_2014_arXiv1308.4685,,False,,
False,A(chi)=1-chi; static chi=-Y gives C=(1+Y)^2,1.9999980000020001,,0.999999999999,OUTWARD_SIGN_TARGET,,OPERATOR_SIGN_AUDIT,V13_ACTION_MATCH_TARGET_NOT_UV_CERTIFIED,,True,,
,,,7.319477538308809e-28,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,0.001,,True,2.793310636082744e-15
,,,7.319477538308808e-16,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,1.0,,True,2.793310636082744e-15
,,,0.0007319477538308809,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,1000.0,,True,2.793310636082744e-15
,,,7.319477538308808,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,10000.0,,True,2.793310636082744e-15
,,,73194.77538308808,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,100000.0,,True,2.793310636082744e-15
,,,5928776.806030136,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,300000.0,,True,2.793310636082744e-15
,,,731947753.8308808,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,1000000.0,,False,2.793310636082744e-15
,,,7.319477538308809e+20,1.0,OUTWARD_SIGN_TARGET,False,COUNTERFACTUAL_EXTERIOR_ENERGY,V13_HARMONIC_EXTERIOR_ONLY,1000000000.0,,False,2.793310636082744e-15
