complete_operating_energy,label,partial_dipole_energy_j,rank,reason,record_type,scale_ev,status,under_strict_10mj_partial_only,universal_hard_bound
,REGULAR_STATIC_NET_MONOPOLE,,99,EXACT_SHIFT_CURRENT_FLUX_PLUS_REGULARITY,SOURCE_ROUTE,,CLOSED_UNDER_V13_V14_ASSUMPTIONS,,
,STATIC_COMPACT_ZERO_NET_DERIVATIVE_MULTIPOLE,,1,EXACT_SHIFT_SYMMETRY_AND_ZERO_NET_CHARGE_ALLOW_DIPOLE,SOURCE_ROUTE,,GREEN_PREFIELD,,
,TIME_LINEAR_SHIFT_BACKGROUND,,2,PUBLISHED_THEOREM_EVASION_BUT_BACKGROUND_ENERGY_REQUIRED,SOURCE_ROUTE,,OPEN_SECONDARY,,
,PHYSICAL_BOUNDARY_FLUX,,3,INNER_BOUNDARY_EVASION_REQUIRES_PHYSICAL_SUPPORT,SOURCE_ROUTE,,OPEN_WITH_SOURCE_SURFACE_LEDGER,,
,TOPOLOGICAL_OR_DEFECT_SECTOR,,4,TAIL_AND_SCAFFOLD_COST_EXPECTED,SOURCE_ROUTE,,LOW_PRIORITY_OPEN,,
,KINETIC_CRITICAL_Z_ZERO,,98,DEGENERACY_STRONG_COUPLING_HYPERBOLICITY_RISK,SOURCE_ROUTE,,RED_UNLESS_INDEPENDENT_HEALTH_PROOF,,
False,JHEP2024_DIRECT_LOW,0.0013012404512548993,,,SCALE_CONTEXT,1000.0,CONTEXTUAL_DIRECT_SENSITIVITY,True,False
False,JHEP2024_DIRECT_HIGH,13.012404512548995,,,SCALE_CONTEXT,10000.0,CONTEXTUAL_DIRECT_SENSITIVITY,True,False
False,V14_REFERENCE,130124.04512548992,,,SCALE_CONTEXT,100000.0,PREFIELD_REFERENCE,True,False
False,V14_EXACT_10MJ_DIPOLE_SCALE,10000000.000000004,,,SCALE_CONTEXT,296081.049223618,EXACT_EQUALITY_DOES_NOT_PASS_STRICT_LT,False,True
False,JHEP2024_INDIRECT_LOW,1.3012404512548992e+17,,,SCALE_CONTEXT,100000000.0,MODEL_DEPENDENT_ASTRO_COSMO,False,False
False,JHEP2024_BBN_ORDER,1.3012404512548992e+21,,,SCALE_CONTEXT,1000000000.0,MODEL_DEPENDENT_THERMAL_HISTORY,False,False
False,JHEP2024_INDIRECT_HIGH,1.3012404512548992e+29,,,SCALE_CONTEXT,100000000000.0,MODEL_DEPENDENT_ASTRO_COSMO,False,False
False,PRD2022_COLLIDER_CONTEXT,2.0819847220078387e+30,,,SCALE_CONTEXT,200000000000.0,SPECIFIC_MODEL_UV_DEPENDENT_COLLIDER_CONTEXT,False,False
