control_margin,gain_times_planck,historical_gradient_ratio_required_over_actual,required_b_at_historical_fpsi_ev,required_gradient_ev2
1.0,0.001,11.681733692481274,237.38502220672106,6443.742993135929
1.0,0.01,36.944542447108645,750.7516658138451,20378.92172472591
1.0,0.1,117.97960913629515,2397.468806602363,65078.5491021958
1.0,1.0,639.8342655800653,13002.100145554947,352937.9862728307
1.0,10.0,16561.699326003887,336551.0176640052,9135573.262986595
1.0,1000.0,16520453.828430176,335712866.1006149,9112821898.07917
5.0,0.001,130.60575315718876,2654.0452324726275,72043.2368109495
5.0,0.01,413.0525415468068,8393.658794904813,227843.27142317197
5.0,0.1,1319.0521299380562,26804.516127490904,727600.2983478386
5.0,1.0,7153.5645608534,145367.89887860385,3945966.6457396853
5.0,10.0,185165.4275792857,3762754.7669672407,102138814.14733794
5.0,1000.0,184704288.8975826,3753383947.6112986,101884446154.76842
