direct_v25b_scale_ev,direct_v25b_scale_over_source_k,effective_lambda3_ev,gain_times_planck,gradient_ev2,hessian_proxy_ev3,hessian_z,lambda2_ev,lambda3_parent_ev,lambda3_parent_over_source_k,length_m,local_canonical_scale_ev,local_canonical_scale_over_source_k,parent_scale_advantage_survives_coefficient_matching,parent_scale_invariance_relative_error,published_wbg_power_counting_analogy,q_effective,required_abs_g3x,source_k_ev,static_wbg_rg_uv_certified,x_le_one,x_wbg,y_effective,z_le_one
3.968054412873861e-06,1.9423556590156121,3.96805441287783e-06,1e-06,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,3.968054412873861e-06,1.9423556590156121,False,0.0,True,1.999999999998e-06,1803627780463336.0,2.042908256505853e-06,False,True,1.1088762446784988e-21,1.999999999996e-12,True
1.8418077052747637e-06,0.9015616337196427,1.8418077054589445e-06,1e-05,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,1.8418077052747637e-06,0.9015616337196427,False,0.0,True,1.9999999998e-05,1.803627780284777e+16,2.042908256505853e-06,False,True,1.1088762446784988e-21,1.9999999996000003e-10,True
8.548914022042487e-07,0.41846783842679103,8.548914107531628e-07,0.0001,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,8.548914022042488e-07,0.4184678384267911,False,1.2385095713185233e-16,True,0.00019999999800000002,1.803627762428862e+17,2.042908256505853e-06,False,True,1.1088762446784988e-21,1.9999999600000007e-08,True
3.968051767510426e-07,0.19423543641148613,3.9680557355602096e-07,0.001,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,3.968051767510426e-07,0.19423543641148613,False,0.0,True,0.001999998000003,1.8036259768400645e+18,2.042908256505853e-06,False,True,1.1088762446784988e-21,1.9999960000079996e-06,True
1.841684934586269e-07,0.0901501537683463,1.8418690938722238e-07,0.01,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,1.8416849345862692e-07,0.09015015376834631,False,1.437258844040187e-16,True,0.01999800029995001,1.8034474447370019e+19,2.042908256505853e-06,False,True,1.1088762446784988e-21,0.00019996000799840034,True
8.492669594918104e-08,0.04157146836071721,8.577175851375286e-08,0.1,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,8.492669594918104e-08,0.04157146836071721,False,0.0,True,0.19802950859533489,1.7858576152720307e+20,2.042908256505853e-06,False,True,1.1088762446784988e-21,0.019607843137254905,True
2.7512952644047157e-08,0.013467541949781302,4.7653831845726154e-08,1.0,551.6084480921974,0.0011268854529659302,0.01,4070002.5800778214,0.4830142284223188,236434.6156437079,0.09659120999271102,2.751295264404716e-08,0.013467541949781303,False,1.2026053666500977e-16,True,1.1547005383792515,1.0413249845694355e+21,2.042908256505853e-06,False,True,1.1088762446784988e-21,0.6666666666666666,True
3.968054412873861e-06,1.9423556590156121,3.96805441287783e-06,1e-06,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,3.968054412873861e-06,1.9423556590156121,False,0.0,True,1.999999999998e-06,180362778046333.6,2.042908256505853e-06,False,True,1.1088762446784988e-20,1.999999999996e-12,True
1.8418077052747637e-06,0.9015616337196427,1.8418077054589442e-06,1e-05,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,1.8418077052747635e-06,0.9015616337196426,False,1.1497304317227007e-16,True,1.9999999998e-05,1803627780284777.0,2.042908256505853e-06,False,True,1.1088762446784988e-20,1.9999999996000003e-10,True
8.548914022042487e-07,0.41846783842679103,8.548914107531627e-07,0.0001,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,8.548914022042487e-07,0.41846783842679103,False,0.0,True,0.00019999999800000002,1.803627762428862e+16,2.042908256505853e-06,False,True,1.1088762446784988e-20,1.9999999600000007e-08,True
3.968051767510426e-07,0.19423543641148613,3.96805573556021e-07,0.001,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,3.9680517675104266e-07,0.19423543641148616,False,1.3341448727270079e-16,True,0.001999998000003,1.8036259768400646e+17,2.042908256505853e-06,False,True,1.1088762446784988e-20,1.9999960000079996e-06,True
1.841684934586269e-07,0.0901501537683463,1.8418690938722238e-07,0.01,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,1.8416849345862692e-07,0.09015015376834631,False,1.437258844040187e-16,True,0.01999800029995001,1.8034474447370017e+18,2.042908256505853e-06,False,True,1.1088762446784988e-20,0.00019996000799840034,True
8.492669594918104e-08,0.04157146836071721,8.577175851375286e-08,0.1,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,8.492669594918104e-08,0.04157146836071721,False,0.0,True,0.19802950859533489,1.7858576152720308e+19,2.042908256505853e-06,False,True,1.1088762446784988e-20,0.019607843137254905,True
2.7512952644047157e-08,0.013467541949781302,4.7653831845726154e-08,1.0,551.6084480921974,0.0011268854529659302,0.1,2288730.644409102,0.2241953449121127,109743.22718513639,0.09659120999271102,2.751295264404716e-08,0.013467541949781303,False,1.2026053666500977e-16,True,1.1547005383792515,1.0413249845694356e+20,2.042908256505853e-06,False,True,1.1088762446784988e-20,0.6666666666666666,True
3.968054412873861e-06,1.9423556590156121,3.96805441287783e-06,1e-06,551.6084480921974,0.0011268854529659302,1.0,1287047.823580776,0.1040622609492028,50938.29378671595,0.09659120999271102,3.968054412873861e-06,1.9423556590156121,False,0.0,True,1.999999999998e-06,18036277804633.37,2.042908256505853e-06,False,True,1.1088762446784983e-19,1.999999999996e-12,True
1.8418077052747637e-06,0.9015616337196427,1.8418077054589442e-06,1e-05,551.6084480921974,0.0011268854529659302,1.0,1287047.823580776,0.1040622609492028,50938.29378671595,0.09659120999271102,1.8418077052747635e-06,0.9015616337196426,False,1.1497304317227007e-16,True,1.9999999998e-05,180362778028477.78,2.042908256505853e-06,False,True,1.1088762446784983e-19,1.9999999996000003e-10,True
