a_s,assumptions_pass,b_s,b_value,current,difference_identity_error,elasticity,exact_difference,jacobian,monotone_branch_cannot_antiscreen_source_current,reconstructed_difference
0.0,True,0.0,0.0,1.0,0.0,1.0,0.0,1.0,True,0.0
0.0,True,0.2,0.0,1.0,5.551115123125783e-17,1.2,0.2,1.2,True,0.19999999999999996
0.0,True,0.0,0.1,1.1,1.3877787807814457e-16,1.0909090909090908,0.1,1.2,True,0.09999999999999987
0.0,True,0.2,0.1,1.1,2.220446049250313e-16,1.2727272727272725,0.30000000000000004,1.4,True,0.2999999999999998
0.0,True,0.0,0.5,1.5,0.0,1.3333333333333333,0.5,2.0,True,0.5
0.0,True,0.2,0.5,1.5,2.220446049250313e-16,1.4666666666666668,0.7,2.2,True,0.7000000000000002
0.1,True,0.0,0.0,1.05,8.326672684688674e-17,1.0952380952380953,0.1,1.1500000000000001,True,0.10000000000000009
0.1,True,0.2,0.0,1.05,0.0,1.2857142857142858,0.30000000000000004,1.35,True,0.30000000000000004
0.1,True,0.0,0.1,1.1500000000000001,5.551115123125783e-17,1.1739130434782608,0.2,1.35,True,0.19999999999999996
0.1,True,0.2,0.1,1.1500000000000001,1.1102230246251565e-16,1.3478260869565217,0.4,1.55,True,0.3999999999999999
0.1,True,0.0,0.5,1.55,3.3306690738754696e-16,1.3870967741935485,0.6,2.1500000000000004,True,0.6000000000000003
0.1,True,0.2,0.5,1.55,4.440892098500626e-16,1.5161290322580647,0.8,2.3500000000000005,True,0.8000000000000005
0.5,True,0.0,0.0,1.25,0.0,1.4,0.5,1.75,True,0.5
0.5,True,0.2,0.0,1.25,0.0,1.56,0.7,1.95,True,0.7
0.5,True,0.0,0.1,1.35,1.1102230246251565e-16,1.4444444444444444,0.6,1.95,True,0.5999999999999999
0.5,True,0.2,0.1,1.35,2.220446049250313e-16,1.5925925925925923,0.8,2.15,True,0.7999999999999998
0.5,True,0.0,0.5,1.75,0.0,1.5714285714285714,1.0,2.75,True,1.0
0.5,True,0.2,0.5,1.75,2.220446049250313e-16,1.6857142857142857,1.2,2.95,True,1.2000000000000002
1.0,True,0.0,0.0,1.5,0.0,1.6666666666666667,1.0,2.5,True,1.0
1.0,True,0.2,0.0,1.5,2.220446049250313e-16,1.8,1.2,2.7,True,1.2000000000000002
1.0,True,0.0,0.1,1.6,0.0,1.6875,1.1,2.7,True,1.1
1.0,True,0.2,0.1,1.6,2.220446049250313e-16,1.8125000000000002,1.3,2.9000000000000004,True,1.3000000000000003
1.0,True,0.0,0.5,2.0,0.0,1.75,1.5,3.5,True,1.5
1.0,True,0.2,0.5,2.0,2.220446049250313e-16,1.85,1.7,3.7,True,1.7000000000000002
