a_value,d_value,metric_numerator_times_mpl,n2_over_zr,one_sixth_bound_pass,q_value,radial_canonical_braiding,scalar_principal_healthy,source_branch_regular,two_vertex_transfer_proxy,z_angular,z_radial,z_time
2.0,1.0,0.025,0.0006226650062266503,True,0.05,0.024953256425297485,True,True,0.024906600249066005,1.99875,1.00375,1.99875
2.0,1.0,0.05,0.002463054187192119,True,0.1,0.049629166698546515,True,True,0.049261083743842374,1.995,1.015,1.995
2.0,1.0,0.125,0.014285714285714285,True,0.25,0.11952286093343936,True,True,0.11428571428571428,1.96875,1.09375,1.96875
2.0,1.0,0.25,0.045454545454545456,True,0.5,0.21320071635561041,True,True,0.18181818181818182,1.875,1.375,1.875
2.0,1.0,0.5,0.1,True,1.0,0.31622776601683794,True,True,0.2,1.5,2.5,1.5
2.0,0.1,0.025,0.006024096385542169,True,0.05,0.07761505257063328,True,True,0.24096385542168675,1.99875,0.10375000000000001,1.99875
2.0,0.1,0.05,0.02173913043478261,True,0.1,0.14744195615489714,True,True,0.43478260869565216,1.995,0.115,1.995
2.0,0.1,0.125,0.08064516129032258,True,0.25,0.2839809171235324,True,True,0.6451612903225806,1.96875,0.19375,1.96875
2.0,0.1,0.25,0.13157894736842105,True,0.5,0.36273812505500586,True,True,0.5263157894736842,1.875,0.475,1.875
2.0,0.1,0.5,0.15625,True,1.0,0.3952847075210474,True,True,0.3125,1.5,1.6,1.5
2.0,0.01,0.025,0.045454545454545456,True,0.05,0.21320071635561044,True,True,1.8181818181818181,1.99875,0.013750000000000002,1.99875
2.0,0.01,0.05,0.10000000000000002,True,0.1,0.31622776601683794,True,True,2.0,1.995,0.025,1.995
2.0,0.01,0.125,0.15060240963855423,True,0.25,0.3880752628531664,True,True,1.2048192771084338,1.96875,0.10375,1.96875
2.0,0.01,0.25,0.16233766233766234,True,0.5,0.4029114820126901,True,True,0.6493506493506493,1.875,0.385,1.875
2.0,0.01,0.5,0.16556291390728478,True,1.0,0.40689422938557973,True,True,0.33112582781456956,1.5,1.51,1.5
2.0,0.001,0.025,0.13157894736842105,True,0.05,0.36273812505500586,True,True,5.263157894736842,1.99875,0.004750000000000001,1.99875
2.0,0.001,0.05,0.15625,True,0.1,0.3952847075210474,True,True,3.1249999999999996,1.995,0.016000000000000004,1.995
2.0,0.001,0.125,0.16490765171503957,True,0.25,0.4060882314411975,True,True,1.3192612137203166,1.96875,0.09475,1.96875
2.0,0.001,0.25,0.16622340425531915,True,0.5,0.40770504565840143,True,True,0.6648936170212766,1.875,0.376,1.875
2.0,0.001,0.5,0.16655562958027983,True,1.0,0.40811227570397807,True,True,0.33311125916055967,1.5,1.501,1.5
2.0,0.0,0.025,0.16666666666666666,True,0.05,0.408248290463863,True,False,6.666666666666666,1.99875,0.0037500000000000007,1.99875
2.0,0.0,0.05,0.16666666666666666,True,0.1,0.408248290463863,True,False,3.333333333333333,1.995,0.015000000000000003,1.995
2.0,0.0,0.125,0.16666666666666666,True,0.25,0.4082482904638631,True,False,1.3333333333333333,1.96875,0.09375,1.96875
2.0,0.0,0.25,0.16666666666666666,True,0.5,0.4082482904638631,True,False,0.6666666666666666,1.875,0.375,1.875
2.0,0.0,0.5,0.16666666666666666,True,1.0,0.4082482904638631,True,False,0.3333333333333333,1.5,1.5,1.5
