a_value,b_value,efficiency_bound_pass,geometry_normalized_efficiency,scalar_principal_healthy,z_angular,z_radial,z_time
0.1,0.01,True,0.16666666666666666,True,0.11995000000000001,0.14015000000000002,0.13995000000000002
0.1,0.1,True,0.6666666666666666,True,0.295,0.515,0.495
0.1,0.5,True,0.9090909090909091,True,0.9750000000000001,2.475,1.975
0.1,1.0,True,0.9523809523809523,True,1.5999999999999996,5.6,3.5999999999999996
1.0,0.01,True,0.0196078431372549,True,1.01995,1.0401500000000001,1.03995
1.0,0.1,True,0.16666666666666669,True,1.195,1.4149999999999998,1.395
1.0,0.5,True,0.5,True,1.875,3.375,2.875
1.0,1.0,True,0.6666666666666666,True,2.5,6.5,4.5
10.0,0.01,True,0.0019960079840319364,True,10.01995,10.040149999999999,10.03995
10.0,0.1,True,0.019607843137254905,True,10.195,10.415000000000001,10.395
10.0,0.5,True,0.09090909090909091,True,10.875,12.375,11.875
10.0,1.0,True,0.16666666666666666,True,11.5,15.5,13.5
