delta_g00,determinant,negative_eigenvalue_count,positive_eigenvalue_count,lorentzian_signature,invertible,minimum_absolute_eigenvalue
-0.9,-4.909599999999998,1,3,True,True,1.0
-0.5,-2.6999999999999997,1,3,True,True,1.0
-0.1,-1.2584000000000002,1,3,True,True,1.0
-1e-06,-1.0000024000017997,1,3,True,True,1.0
-2.1822739344396436e-17,-1.0,1,3,True,True,1.0
2.1822739344396436e-17,-1.0,1,3,True,True,1.0
1e-06,-0.9999976000017999,1,3,True,True,0.999999
0.1,-0.7776000000000001,1,3,True,True,0.9
0.5,-0.2,1,3,True,True,0.5
0.9,-0.006400000000000009,1,3,True,True,0.10000000000000009
