x,eta,F_over_F0,scaled_A4,A5,alpha_H,beta_1,alpha_H_plus_2_beta_1,no_decay_identity_pass,offstate,active_kmm,principal_eigenvalue_tuned,energy_point
0.0,0.05,1.0,0.015000000000000003,0.0,-0.0,0.0,0.0,True,True,False,False,False
1e-06,0.05,1.00000005,0.014999999250000041,0.0,-9.999999500000026e-08,4.999999750000013e-08,0.0,True,False,True,False,False
0.001,0.05,1.00005,0.014999250037498127,0.0,-9.99950002499875e-05,4.999750012499375e-05,0.0,True,False,True,False,False
0.01,0.05,1.0005,0.01499250374812594,0.0,-0.0009995002498750627,0.0004997501249375313,0.0,True,False,True,False,False
0.1,0.05,1.005,0.014925373134328363,0.0,-0.009950248756218909,0.004975124378109454,0.0,True,False,True,False,False
0.5,0.05,1.025,0.014634146341463419,0.0,-0.04878048780487806,0.02439024390243903,0.0,True,False,True,False,False
0.0,0.2,1.0,0.24000000000000005,0.0,-0.0,0.0,0.0,True,True,False,False,False
1e-06,0.2,1.0000002,0.23999995200000968,0.0,-3.9999992000001605e-07,1.9999996000000803e-07,0.0,True,False,True,False,False
0.001,0.2,1.0002,0.23995200959808044,0.0,-0.0003999200159968007,0.00019996000799840034,0.0,True,False,True,False,False
0.01,0.2,1.002,0.2395209580838324,0.0,-0.003992015968063872,0.001996007984031936,0.0,True,False,True,False,False
0.1,0.2,1.02,0.23529411764705888,0.0,-0.03921568627450981,0.019607843137254905,0.0,True,False,True,False,False
0.5,0.2,1.1,0.2181818181818182,0.0,-0.18181818181818182,0.09090909090909091,0.0,True,False,True,False,False
0.0,1.0,1.0,6.0,0.0,-0.0,0.0,0.0,True,True,False,False,False
1e-06,1.0,1.000001,5.999994000006001,0.0,-1.999998000002e-06,9.99999000001e-07,0.0,True,False,True,False,False
0.001,1.0,1.001,5.994005994005994,0.0,-0.0019980019980019984,0.0009990009990009992,0.0,True,False,True,False,False
0.01,1.0,1.01,5.9405940594059405,0.0,-0.019801980198019802,0.009900990099009901,0.0,True,False,True,False,False
0.1,1.0,1.1,5.454545454545454,0.0,-0.18181818181818182,0.09090909090909091,0.0,True,False,True,False,False
0.5,1.0,1.5,4.0,0.0,-0.6666666666666666,0.3333333333333333,0.0,True,False,True,False,False
