x,eta,A,A_x,B_x,D_map,x_tilde,d_x_tilde_d_x,A_positive,D_exactly_one,map_invertible,transformation_jacobian_margin_collapse,identity_scan_only,energy_point
0.0,-0.75,1.0,-0.75,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,-0.75,0.9625,-0.75,0.0,1.0,0.05194805194805195,1.0794400404790014,True,True,True,False,True,False
0.1,-0.75,0.925,-0.75,0.0,1.0,0.10810810810810811,1.168736303871439,True,True,True,False,True,False
0.25,-0.75,0.8125,-0.75,0.0,1.0,0.3076923076923077,1.514792899408284,True,True,True,False,True,False
0.5,-0.75,0.625,-0.75,0.0,1.0,0.8,2.56,True,True,True,False,True,False
1.0,-0.75,0.25,-0.75,0.0,1.0,4.0,16.0,True,True,True,False,True,False
0.0,-0.25,1.0,-0.25,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,-0.25,0.9875,-0.25,0.0,1.0,0.05063291139240506,1.025476686428457,True,True,True,False,True,False
0.1,-0.25,0.975,-0.25,0.0,1.0,0.10256410256410257,1.051939513477975,True,True,True,False,True,False
0.25,-0.25,0.9375,-0.25,0.0,1.0,0.26666666666666666,1.1377777777777778,True,True,True,False,True,False
0.5,-0.25,0.875,-0.25,0.0,1.0,0.5714285714285714,1.3061224489795917,True,True,True,False,True,False
1.0,-0.25,0.75,-0.25,0.0,1.0,1.3333333333333333,1.7777777777777777,True,True,True,False,True,False
0.0,0.1,1.0,0.1,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,0.1,1.005,0.1,0.0,0.9999999999999999,0.04975124378109454,0.9900745031063589,True,True,True,False,True,False
0.1,0.1,1.01,0.1,0.0,1.0,0.09900990099009901,0.9802960494069208,True,True,True,False,True,False
0.25,0.1,1.025,0.1,0.0,0.9999999999999999,0.24390243902439027,0.9518143961927423,True,True,True,False,True,False
0.5,0.1,1.05,0.1,0.0,1.0,0.47619047619047616,0.9070294784580498,True,True,True,False,True,False
1.0,0.1,1.1,0.1,0.0,1.0,0.9090909090909091,0.8264462809917354,True,True,True,False,True,False
0.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,0.5,1.025,0.5,0.0,0.9999999999999999,0.04878048780487806,0.9518143961927423,True,True,True,False,True,False
0.1,0.5,1.05,0.5,0.0,1.0,0.09523809523809523,0.9070294784580498,True,True,True,False,True,False
0.25,0.5,1.125,0.5,0.0,1.0,0.2222222222222222,0.7901234567901234,True,True,True,False,True,False
0.5,0.5,1.25,0.5,0.0,1.0,0.4,0.64,True,True,True,False,True,False
1.0,0.5,1.5,0.5,0.0,1.0,0.6666666666666666,0.4444444444444444,True,True,True,False,True,False
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,1.0,1.05,1.0,0.0,1.0,0.047619047619047616,0.9070294784580498,True,True,True,False,True,False
0.1,1.0,1.1,1.0,0.0,1.0,0.09090909090909091,0.8264462809917354,True,True,True,False,True,False
0.25,1.0,1.25,1.0,0.0,1.0,0.2,0.64,True,True,True,False,True,False
0.5,1.0,1.5,1.0,0.0,1.0,0.3333333333333333,0.4444444444444444,True,True,True,False,True,False
1.0,1.0,2.0,1.0,0.0,1.0,0.5,0.25,True,True,True,False,True,False
0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,True,True,True,False,True,False
0.05,2.0,1.1,2.0,0.0,1.0,0.045454545454545456,0.8264462809917354,True,True,True,False,True,False
0.1,2.0,1.2,2.0,0.0,1.0,0.08333333333333334,0.6944444444444444,True,True,True,False,True,False
0.25,2.0,1.5,2.0,0.0,1.0,0.16666666666666666,0.4444444444444444,True,True,True,False,True,False
0.5,2.0,2.0,2.0,0.0,1.0,0.25,0.25,True,True,True,False,True,False
1.0,2.0,3.0,2.0,0.0,1.0,0.3333333333333333,0.1111111111111111,True,True,True,False,True,False
