energy_fraction,gross_outward_share
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.442758559436778998e-01
2.000000000000000042e-02,3.612813807940278843e-01
2.999999999999999889e-02,4.515090037393086342e-01
4.000000000000000083e-02,5.240642224309577379e-01
5.000000000000000278e-02,5.870862989261913523e-01
5.999999999999999778e-02,6.425071417622665315e-01
7.000000000000000666e-02,6.894581956073684292e-01
8.000000000000000167e-02,7.306927379103720366e-01
8.999999999999999667e-02,7.668112234426117668e-01
1.000000000000000056e-01,7.994224272010863608e-01
1.100000000000000006e-01,8.284745456000484065e-01
1.199999999999999956e-01,8.541648942994694016e-01
1.300000000000000044e-01,8.772047385786740925e-01
1.400000000000000133e-01,8.976212958687642685e-01
1.499999999999999944e-01,9.151114917798669479e-01
1.600000000000000033e-01,9.302212425701789078e-01
1.700000000000000122e-01,9.432000581899706582e-01
1.799999999999999933e-01,9.543606325104010413e-01
1.900000000000000022e-01,9.636830015041686348e-01
2.000000000000000111e-01,9.716628958498978452e-01
2.099999999999999922e-01,9.783278616298111130e-01
2.200000000000000011e-01,9.836014220273202602e-01
2.300000000000000100e-01,9.877198734921973644e-01
2.399999999999999911e-01,9.909983192271051289e-01
2.500000000000000000e-01,9.935316895365634560e-01
2.600000000000000089e-01,9.954550137914488506e-01
2.700000000000000178e-01,9.969119271041917418e-01
2.800000000000000266e-01,9.980084820669563594e-01
2.899999999999999800e-01,9.988036812708643852e-01
2.999999999999999889e-01,9.993238610608881078e-01
3.099999999999999978e-01,9.996346572009418008e-01
3.200000000000000067e-01,9.998149695809391835e-01
3.300000000000000155e-01,9.999171955950363344e-01
3.400000000000000244e-01,9.999709674016817873e-01
3.500000000000000333e-01,9.999928215370661455e-01
3.599999999999999867e-01,9.999998073352264205e-01
3.699999999999999956e-01,9.999999999996888045e-01
3.800000000000000044e-01,9.999999999996888045e-01
3.900000000000000133e-01,9.999999999996888045e-01
4.000000000000000222e-01,9.999999999996888045e-01
4.100000000000000311e-01,9.999999999996888045e-01
4.199999999999999845e-01,9.999999999996888045e-01
4.299999999999999933e-01,9.999999999996888045e-01
4.400000000000000022e-01,9.999999999996888045e-01
4.500000000000000111e-01,9.999999999996888045e-01
4.600000000000000200e-01,9.999999999996888045e-01
4.700000000000000289e-01,9.999999999996888045e-01
4.799999999999999822e-01,9.999999999996888045e-01
4.899999999999999911e-01,9.999999999996888045e-01
5.000000000000000000e-01,9.999999999996888045e-01
5.100000000000000089e-01,9.999999999996888045e-01
5.200000000000000178e-01,9.999999999996888045e-01
5.300000000000000266e-01,9.999999999996888045e-01
5.400000000000000355e-01,9.999999999996888045e-01
5.500000000000000444e-01,9.999999999996888045e-01
5.600000000000000533e-01,9.999999999996888045e-01
5.700000000000000622e-01,9.999999999996888045e-01
5.799999999999999600e-01,9.999999999996888045e-01
5.899999999999999689e-01,9.999999999996888045e-01
5.999999999999999778e-01,9.999999999996888045e-01
6.099999999999999867e-01,9.999999999996888045e-01
6.199999999999999956e-01,9.999999999996888045e-01
6.300000000000000044e-01,9.999999999996888045e-01
6.400000000000000133e-01,9.999999999996888045e-01
6.500000000000000222e-01,9.999999999996888045e-01
6.600000000000000311e-01,9.999999999996888045e-01
6.700000000000000400e-01,9.999999999996888045e-01
6.800000000000000488e-01,9.999999999996888045e-01
6.900000000000000577e-01,9.999999999996888045e-01
7.000000000000000666e-01,9.999999999996888045e-01
7.099999999999999645e-01,9.999999999996888045e-01
7.199999999999999734e-01,9.999999999996888045e-01
7.299999999999999822e-01,9.999999999996888045e-01
7.399999999999999911e-01,9.999999999996888045e-01
7.500000000000000000e-01,9.999999999996888045e-01
7.600000000000000089e-01,9.999999999996888045e-01
7.700000000000000178e-01,9.999999999996888045e-01
7.800000000000000266e-01,9.999999999996888045e-01
7.900000000000000355e-01,9.999999999996888045e-01
8.000000000000000444e-01,9.999999999996888045e-01
8.100000000000000533e-01,9.999999999996888045e-01
8.200000000000000622e-01,9.999999999996888045e-01
8.300000000000000711e-01,9.999999999996888045e-01
8.399999999999999689e-01,9.999999999996888045e-01
8.499999999999999778e-01,9.999999999996888045e-01
8.599999999999999867e-01,9.999999999996888045e-01
8.699999999999999956e-01,9.999999999996888045e-01
8.800000000000000044e-01,9.999999999996888045e-01
8.900000000000000133e-01,9.999999999996888045e-01
9.000000000000000222e-01,9.999999999996888045e-01
9.100000000000000311e-01,9.999999999996888045e-01
9.200000000000000400e-01,9.999999999996888045e-01
9.300000000000000488e-01,9.999999999996888045e-01
9.400000000000000577e-01,9.999999999996888045e-01
9.500000000000000666e-01,9.999999999996888045e-01
9.599999999999999645e-01,9.999999999996888045e-01
9.699999999999999734e-01,9.999999999996888045e-01
9.799999999999999822e-01,9.999999999996888045e-01
9.899999999999999911e-01,9.999999999996888045e-01
1.000000000000000000e+00,1.000000000000000000e+00
