radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
2.847005481080494560e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.541016443241483680e-02,-1.235474597367258509e+00,6.196838108151074831e-01,-5.365541875238322850e-02,8.239528675492849175e+00
1.423502740540247280e-01,-3.676739533762483525e+00,1.900525059438828990e+00,-1.617482990633389850e-01,2.463974977092844654e+01
1.992903836756346192e-01,-3.575171952590390223e+00,1.990686617210778442e+00,-1.584691942641071050e-01,2.347337247655697823e+01
2.562304932972445104e-01,-4.221745616337829077e+00,3.017280825849494974e+00,-2.123033280591357652e-01,2.785119490700028777e+01
3.131706029188544016e-01,-7.502744745844411867e+00,8.001432759964778541e+00,-4.692029859265461900e-01,4.861758584873883393e+01
3.701107125404642928e-01,-2.428352388006299378e+00,1.912174800560813281e+01,-4.645544449407048027e-01,9.347856364341202706e+00
4.270508221620741840e-01,4.905522367427594510e+00,1.636792019931159459e+01,-5.066082460379318919e-02,-3.088961357469321989e+00
4.839909317836840752e-01,4.877327704455553459e+01,5.928655519227310577e+01,-7.321625882373257455e-02,-1.849409946842690999e+01
5.409310414052939109e-01,7.199063266891118928e+01,6.736288918306971141e+01,1.456603300946857082e-02,6.206588407417875430e+00
5.978711510269039131e-01,1.992686456904134786e+02,1.648028299975333937e+02,5.025343956538863566e-03,2.894618052563850519e+00
6.548112606485136933e-01,1.733021751892232487e+02,1.361611400334086284e+02,3.661091386625292543e-03,2.389767244558484993e+00
7.117513702701236955e-01,2.138449281430317797e+02,1.640196068499024022e+02,-1.626471226788092639e-03,-1.108499987816061516e+00
7.686914798917334757e-01,3.427133668508469668e+02,2.631565294898102820e+02,8.723126650665713466e-04,5.546044877131898199e-01
8.256315895133434779e-01,1.777376636017438045e+02,1.413490573765864724e+02,-3.477756544427446084e-04,-1.829297385649896190e-01
8.825716991349532581e-01,2.462163521857653450e+02,2.063276723955785599e+02,1.262387922860472300e-03,5.151140800253661833e-01
9.395118087565632603e-01,1.903775826492677083e+02,1.776827324099292298e+02,-1.150706010874621987e-03,-2.992221629550068651e-01
