radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
2.847005481080494560e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.541016443241483680e-02,-1.235471210002005549e+00,6.196822370611752007e-01,-5.365541875238322850e-02,8.239506084746592407e+00
1.423502740540247280e-01,-3.676391112004656403e+00,1.900834475898545151e+00,-1.617482990633389850e-01,2.463741481495760155e+01
1.992903836756346192e-01,-3.573917323213629871e+00,1.991484604378188195e+00,-1.584691942641071050e-01,2.346513500348679671e+01
2.562304932972445104e-01,-4.219018541651851528e+00,3.019026568391218746e+00,-2.123033280591357652e-01,2.783320417626768517e+01
3.131706029188544016e-01,-7.493664699987703237e+00,8.006979414796726147e+00,-4.692029859265461900e-01,4.855874739375959592e+01
3.701107125404642928e-01,-2.411350328244538765e+00,1.913192726200341909e+01,-4.645544449407048027e-01,9.282407538488801180e+00
4.270508221620741840e-01,4.922452372212855032e+00,1.637749331605587599e+01,-5.066082460379318919e-02,-3.099622022460003734e+00
4.839909317836840752e-01,4.877235080814922696e+01,5.928743753817568773e+01,-7.321625882373257455e-02,-1.849374825339139150e+01
5.409310414052939109e-01,7.198570984791379601e+01,6.736141822078073460e+01,1.456603300946857082e-02,6.206163992148812092e+00
5.978711510269039131e-01,1.992441306247796717e+02,1.647920817717499631e+02,5.025343956538863566e-03,2.894261941589655329e+00
6.548112606485136933e-01,1.732322889825395009e+02,1.361257094739658271e+02,3.661091386625292543e-03,2.388803541896375116e+00
7.117513702701236955e-01,2.138173307122834785e+02,1.640065269700401416e+02,-1.626471226788092639e-03,-1.108356932042357190e+00
7.686914798917334757e-01,3.426460473847072308e+02,2.631225751570137845e+02,8.723126650665713466e-04,5.544955463013779839e-01
8.256315895133434779e-01,1.777287651097407775e+02,1.413456215480256049e+02,-3.477756544427446084e-04,-1.829205801301213574e-01
8.825716991349532581e-01,2.461929100922017142e+02,2.063163292563619393e+02,1.262387922860472300e-03,5.150650363596929182e-01
9.395118087565632603e-01,1.903813006953586182e+02,1.776876672530170538e+02,-1.150706010874621987e-03,-2.992280067196865789e-01
9.964519183781730405e-01,9.142037466058110340e+01,9.829383584294006937e+01,1.012163029429802297e-03,1.597408279298099809e-01
1.053392027999783043e+00,7.790413623872950666e+01,9.711853736362692757e+01,-5.930425366221375727e-04,-5.629906084896270368e-02
1.110332137621392823e+00,4.175149043158199191e+01,6.823171843445038576e+01,-3.253127244655790173e-04,-1.468013855163464824e-02
1.167272247243002825e+00,1.516525472117961826e+01,3.986756825460482645e+01,5.007523262439972367e-04,8.067552190118239264e-03
1.224212356864612605e+00,3.400396138307926641e+00,2.486432483102797875e+01,-2.842961957261608275e-04,-9.102938150400407278e-04
1.281152466486222608e+00,-1.573031917045885297e+00,1.597389150098214117e+01,2.502204216773135093e-04,-3.001426014589482797e-04
1.338092576107832388e+00,-2.286016320646885980e+00,6.281231837360895298e+00,-1.801479196722882703e-04,3.709235880020742221e-04
1.395032685729442390e+00,-2.151595837001523570e+00,4.003665978681553383e+00,1.483923147175686408e-04,-2.204725677040647331e-04
1.451972795351052170e+00,-1.153092421567234682e+00,1.687927114106163584e+00,2.050925402811987208e-05,-1.651387300344236972e-05
1.508912904972662172e+00,-6.753987439079265354e-01,8.817324723531797526e-01,-2.028279559030121693e-04,7.669906127175338283e-05
1.565853014594271952e+00,-2.897773406743935354e-01,3.563959460911565458e-01,1.797208381667386723e-04,-2.955790871965021925e-05
1.622793124215881955e+00,-1.265302340200752385e-01,1.493727212162768991e-01,-1.705294496126552595e-04,1.253241849580894307e-05
1.679733233837491735e+00,-6.949665708391228325e-02,8.302010706879106583e-02,1.128264550221969031e-04,-3.867490694917243661e-06
1.736673343459101737e+00,-3.063730077838802690e-02,3.642462784819842925e-02,-3.700122586242082789e-05,5.337251237174705156e-07
1.793613453080711517e+00,-1.497534417266253512e-02,1.823632658264206022e-02,2.786895306557124474e-05,-1.657326557212989117e-07
1.850553562702321519e+00,-5.764300428703217870e-03,7.069444214627209483e-03,2.081212153093314754e-05,-4.873000938505259482e-08
1.907493672323931300e+00,-2.527907750315332679e-03,3.118613797735815887e-03,-9.080632824326473340e-05,8.972328737253866685e-08
1.964433781945541302e+00,-1.114503859127517153e-03,1.354995006806780080e-03,6.272565149212372404e-05,-2.586082887920805676e-08
2.021373891567151304e+00,-4.921328804593303862e-04,5.826742082141760830e-04,-3.367842183349400997e-05,6.006133138481371408e-09
2.078314001188760862e+00,-2.519546843134003048e-04,2.914381256059671256e-04,1.918850908844138559e-05,-1.451504173027701246e-09
2.135254110810370864e+00,-1.007732355140716701e-04,1.139963618567887120e-04,-2.206708302104898323e-05,7.033193106357100498e-10
2.192194220431980867e+00,-4.830341181694769134e-05,5.500298284110431208e-05,2.230322874144374801e-05,-3.180668520606926054e-10
2.249134330053590425e+00,-2.291497052125509169e-05,2.621334748488232384e-05,-2.044005667903303625e-06,1.260127193273402441e-11
2.306074439675200871e+00,-1.030139127041845805e-05,1.200049495120748636e-05,1.370920237081518778e-06,-3.634259214148145915e-12
2.363014549296810429e+00,-4.320270507163910840e-06,5.090462128815055395e-06,4.417763547398534385e-06,-4.841414741868244662e-12
2.419954658918420431e+00,-2.015051771338681518e-06,2.415015566225061410e-06,-2.356289290458835062e-05,1.117727293647083239e-11
2.476894768540030434e+00,-8.581126775977295735e-07,1.015912275923139324e-06,1.454847381951451801e-05,-2.751297868219519118e-12
2.533834878161639992e+00,-3.560667328061263268e-07,4.198337250381231341e-07,-1.318045979840920534e-05,1.115360428188954986e-12
2.590774987783249994e+00,-1.764749629572344134e-07,2.012457737399648044e-07,2.280394794924867075e-05,-8.336751390743303478e-13
2.647715097404859996e+00,-8.396171217524273434e-08,9.420500356096601855e-08,-1.321559934429339389e-05,2.158351892386877961e-13
2.704655207026469554e+00,-3.668546281260936513e-08,4.030943049015837092e-08,-2.684568066402270858e-06,1.921692744625725429e-14
2.761595316648080001e+00,-1.764065868954323368e-08,1.929671966035477080e-08,4.673777422720126751e-06,-1.466089922404453384e-14
2.818535426269689559e+00,-8.196666863026974040e-09,8.957289535587391177e-09,-1.376763058046071020e-05,1.981153799105501196e-14
2.875475535891299561e+00,-3.534789212584438503e-09,3.982867846562403696e-09,1.953154716251292999e-05,-1.220674305885264783e-14
2.932415645512909563e+00,-1.932439763724650539e-09,2.171911673041788779e-09,-1.930071083625084505e-05,5.681252234229276745e-15
